Dataset: cit-HepTh
Vertices: 27769
Edges: 352285
Max PageRank Centrality (normalized): 1.000000
Damping Factor: 0.850000
Runtime (seconds): 0.341000
Memory Usage (MB): 3.54

=== Top 100 Vertices by PageRank Centrality ===
Rank	Vertex_ID	PageRank
1	22153	1.000000
2	22743	0.714258
3	14159	0.638971
4	22709	0.638804
5	26699	0.552049
6	25991	0.531219
7	19155	0.519658
8	26167	0.481448
9	14350	0.459979
10	16726	0.453828
11	15603	0.443844
12	22116	0.348874
13	16907	0.320005
14	16838	0.307194
15	19400	0.305654
16	14724	0.298985
17	17389	0.270185
18	13240	0.222830
19	10572	0.214146
20	17550	0.208939
21	15156	0.207493
22	14487	0.206261
23	22923	0.203278
24	17829	0.198235
25	14908	0.189091
26	22119	0.180251
27	4345	0.176053
28	17578	0.174165
29	11054	0.168428
30	17852	0.166458
31	19576	0.166447
32	21761	0.165171
33	20363	0.161362
34	18733	0.160417
35	12064	0.158938
36	27040	0.158312
37	27554	0.155689
38	13758	0.154569
39	11439	0.153465
40	20230	0.150862
41	19688	0.150087
42	15270	0.149431
43	15195	0.147041
44	16520	0.145160
45	16870	0.141349
46	17569	0.139450
47	5228	0.139445
48	14328	0.137823
49	17225	0.137213
50	17596	0.136473
51	17211	0.135823
52	22668	0.134216
53	13270	0.132695
54	24493	0.130990
55	7079	0.130188
56	6386	0.128355
57	3159	0.127346
58	15793	0.126957
59	17208	0.126582
60	18675	0.126557
61	22797	0.126529
62	16963	0.125646
63	22645	0.125604
64	20496	0.124587
65	15960	0.124227
66	25870	0.122662
67	16612	0.122448
68	1642	0.120525
69	16340	0.119468
70	14829	0.119335
71	16376	0.118906
72	10544	0.118060
73	13302	0.117965
74	23361	0.117816
75	5338	0.116283
76	11905	0.114936
77	25016	0.114740
78	10559	0.113433
79	25611	0.113319
80	651	0.113122
81	13253	0.112268
82	17398	0.112197
83	22774	0.112135
84	13294	0.112075
85	24152	0.111959
86	23111	0.111473
87	621	0.111212
88	22653	0.110795
89	11461	0.110624
90	16195	0.110443
91	23415	0.109963
92	19392	0.107890
93	17847	0.106328
94	245	0.105859
95	10750	0.105775
96	17145	0.104940
97	26897	0.104678
98	10331	0.104394
99	10396	0.104373
100	19694	0.104099
