Dataset: citeseer
Vertices: 3264
Edges: 4536
Max PageRank Centrality (normalized): 1.000000
Damping Factor: 0.850000
Runtime (seconds): 0.009000
Memory Usage (MB): 0.13

=== Top 100 Vertices by PageRank Centrality ===
Rank	Vertex_ID	PageRank
1	2907	1.000000
2	870	0.816192
3	1219	0.340995
4	795	0.319888
5	802	0.306780
6	2092	0.304082
7	2039	0.303195
8	181	0.290636
9	1177	0.280520
10	2686	0.263141
11	1907	0.255197
12	2041	0.250081
13	2366	0.244862
14	3123	0.236125
15	2695	0.235834
16	1487	0.235160
17	3222	0.233651
18	858	0.232286
19	924	0.231811
20	205	0.229140
21	800	0.224273
22	2201	0.223753
23	790	0.219793
24	564	0.215924
25	854	0.213228
26	830	0.199742
27	179	0.191756
28	2093	0.190081
29	190	0.188271
30	1643	0.183550
31	2754	0.182157
32	1978	0.181894
33	1200	0.180026
34	1348	0.179576
35	170	0.174697
36	34	0.173457
37	2798	0.171831
38	919	0.169658
39	555	0.166374
40	1488	0.166034
41	2507	0.165672
42	446	0.164808
43	209	0.163145
44	1352	0.162807
45	1872	0.162793
46	40	0.161017
47	1284	0.159381
48	133	0.159367
49	718	0.157929
50	1948	0.156358
51	2024	0.156348
52	1298	0.156245
53	1645	0.156150
54	334	0.155542
55	1850	0.155050
56	1090	0.155018
57	735	0.154812
58	8	0.154004
59	1371	0.153561
60	871	0.151784
61	1306	0.151151
62	291	0.147419
63	2716	0.146289
64	609	0.144528
65	2809	0.143874
66	1559	0.142336
67	875	0.141641
68	2199	0.139577
69	2624	0.139075
70	502	0.138303
71	840	0.138205
72	2073	0.137516
73	2496	0.137201
74	279	0.136952
75	2134	0.136390
76	510	0.136328
77	447	0.136282
78	2553	0.135593
79	12	0.135378
80	2033	0.134846
81	79	0.134833
82	3190	0.134493
83	748	0.134104
84	143	0.133777
85	852	0.133687
86	1444	0.132635
87	1859	0.132379
88	726	0.132371
89	73	0.132312
90	1603	0.132088
91	2852	0.132014
92	1816	0.130322
93	1558	0.129761
94	153	0.129291
95	2218	0.128756
96	1668	0.128451
97	506	0.128357
98	2698	0.128357
99	1510	0.128076
100	1577	0.126830
