Dataset: cora
Vertices: 2708
Edges: 5278
Max PageRank Centrality (normalized): 1.000000
Damping Factor: 0.850000
Runtime (seconds): 0.007000
Memory Usage (MB): 0.12

=== Top 100 Vertices by PageRank Centrality ===
Rank	Vertex_ID	PageRank
1	1	1.000000
2	29	0.510805
3	72	0.437443
4	122	0.415189
5	16	0.296939
6	85	0.260560
7	3	0.229176
8	73	0.219180
9	329	0.215718
10	28	0.207380
11	48	0.197795
12	334	0.195622
13	380	0.189946
14	88	0.172588
15	123	0.172579
16	53	0.171945
17	14	0.171518
18	174	0.154900
19	223	0.147700
20	810	0.136992
21	199	0.129251
22	280	0.124019
23	465	0.123112
24	183	0.122046
25	356	0.120316
26	237	0.119822
27	49	0.115089
28	31	0.115064
29	241	0.114588
30	544	0.113531
31	69	0.110884
32	86	0.109258
33	32	0.108832
34	208	0.108045
35	536	0.105285
36	55	0.105052
37	65	0.104950
38	375	0.104599
39	51	0.104423
40	510	0.104365
41	296	0.104329
42	823	0.103872
43	1253	0.102825
44	1713	0.102434
45	92	0.101988
46	4	0.096367
47	132	0.095823
48	1218	0.095389
49	68	0.094654
50	1707	0.094654
51	151	0.092887
52	643	0.092860
53	491	0.092514
54	103	0.092152
55	1211	0.091174
56	644	0.090632
57	505	0.090549
58	50	0.089968
59	839	0.089351
60	499	0.088158
61	318	0.086060
62	1086	0.085555
63	201	0.085398
64	101	0.084492
65	525	0.083093
66	468	0.082466
67	150	0.082406
68	43	0.081223
69	797	0.081053
70	80	0.080957
71	202	0.079807
72	709	0.079192
73	425	0.077803
74	302	0.077556
75	352	0.077431
76	590	0.075999
77	75	0.075876
78	209	0.074572
79	512	0.074313
80	1208	0.074195
81	1732	0.074019
82	1345	0.073905
83	558	0.073747
84	583	0.073191
85	923	0.072719
86	818	0.072693
87	473	0.071953
88	118	0.070770
89	658	0.070710
90	234	0.070651
91	177	0.070622
92	120	0.070123
93	98	0.069938
94	787	0.069256
95	341	0.069218
96	287	0.068962
97	45	0.068700
98	215	0.068336
99	1503	0.068139
100	206	0.067968
