Dataset: er_10k_dense
Vertices: 10000
Edges: 50066
Max PageRank Centrality (normalized): 1.000000
Damping Factor: 0.850000
Runtime (seconds): 0.014000
Memory Usage (MB): 0.69

=== Top 100 Vertices by PageRank Centrality ===
Rank	Vertex_ID	PageRank
1	3911	1.000000
2	6164	0.983365
3	9369	0.940171
4	4188	0.937627
5	2207	0.935178
6	2232	0.923276
7	8756	0.913971
8	6714	0.905071
9	2127	0.901780
10	7725	0.901224
11	5073	0.898314
12	8118	0.892440
13	4558	0.892371
14	2658	0.891421
15	1992	0.891005
16	6997	0.882539
17	3044	0.875579
18	2334	0.874532
19	390	0.866890
20	2618	0.866585
21	1244	0.863464
22	3516	0.861056
23	4619	0.859847
24	6619	0.859033
25	7572	0.857181
26	4926	0.856158
27	4489	0.856042
28	5025	0.854529
29	6461	0.850204
30	1133	0.847007
31	7412	0.846573
32	2352	0.844152
33	8591	0.841678
34	6379	0.840790
35	2820	0.838448
36	7596	0.836535
37	7672	0.835972
38	1350	0.834384
39	4985	0.829891
40	5672	0.829802
41	5265	0.829099
42	141	0.828636
43	2311	0.828208
44	2374	0.827950
45	447	0.826254
46	9871	0.825543
47	7991	0.824543
48	8812	0.824207
49	6123	0.823555
50	3833	0.822068
51	3958	0.820847
52	1958	0.819931
53	3608	0.819816
54	2970	0.819064
55	3815	0.818975
56	7685	0.818499
57	9489	0.817599
58	7284	0.817047
59	9241	0.816877
60	5954	0.816305
61	6114	0.815444
62	905	0.815320
63	3924	0.812258
64	9530	0.811909
65	8342	0.811219
66	1451	0.810558
67	2890	0.808435
68	8637	0.807853
69	3207	0.807609
70	2577	0.807170
71	7815	0.806660
72	6707	0.806507
73	8299	0.805916
74	5459	0.805669
75	3496	0.804988
76	2611	0.803216
77	8689	0.801617
78	5292	0.799799
79	3903	0.796146
80	610	0.794865
81	3623	0.791738
82	907	0.791465
83	7203	0.790847
84	8574	0.789984
85	2927	0.789912
86	3790	0.789594
87	3008	0.788237
88	9885	0.787176
89	9035	0.786770
90	6506	0.786652
91	5564	0.784875
92	4701	0.784818
93	5089	0.784735
94	3845	0.783775
95	435	0.783337
96	4233	0.783034
97	2322	0.782891
98	9501	0.782733
99	758	0.782653
100	9974	0.782121
