Dataset: er_10k_sparse
Vertices: 10000
Edges: 25210
Max PageRank Centrality (normalized): 1.000000
Damping Factor: 0.850000
Runtime (seconds): 0.015000
Memory Usage (MB): 0.50

=== Top 100 Vertices by PageRank Centrality ===
Rank	Vertex_ID	PageRank
1	9250	1.000000
2	1510	0.938698
3	2389	0.933055
4	9617	0.924702
5	4397	0.911454
6	6897	0.899201
7	5127	0.874135
8	8530	0.862261
9	4719	0.820945
10	8366	0.811464
11	8710	0.809117
12	6497	0.807976
13	2393	0.802514
14	5972	0.799604
15	3953	0.786145
16	9746	0.786119
17	1958	0.784220
18	5289	0.783709
19	9755	0.783131
20	9784	0.781803
21	3366	0.777447
22	1773	0.776411
23	6336	0.776213
24	3540	0.773120
25	5144	0.767888
26	4951	0.763196
27	3743	0.762215
28	3059	0.760775
29	9665	0.757970
30	8676	0.755009
31	4136	0.750931
32	6538	0.747781
33	5380	0.742322
34	3783	0.739823
35	6390	0.738346
36	6626	0.735106
37	2454	0.734498
38	1539	0.734321
39	886	0.733154
40	7696	0.731775
41	1587	0.729542
42	1202	0.729513
43	3188	0.729075
44	2536	0.727400
45	3175	0.726786
46	3142	0.725320
47	471	0.724051
48	8831	0.721829
49	9980	0.721497
50	7036	0.720086
51	5043	0.719640
52	3357	0.719297
53	1672	0.719076
54	3723	0.718855
55	7546	0.718383
56	3781	0.717486
57	3514	0.717067
58	1386	0.716200
59	8564	0.714838
60	9723	0.714617
61	8043	0.709287
62	3369	0.709211
63	8631	0.709047
64	103	0.708533
65	3667	0.708095
66	5017	0.707835
67	910	0.707720
68	3702	0.704152
69	2156	0.704077
70	9888	0.703742
71	9499	0.703280
72	3177	0.703156
73	861	0.702218
74	395	0.701804
75	556	0.701600
76	9546	0.700898
77	531	0.700783
78	2116	0.700614
79	39	0.700590
80	3607	0.700258
81	3127	0.699934
82	9450	0.699281
83	1123	0.698723
84	7065	0.696168
85	4857	0.696160
86	5105	0.695831
87	6693	0.694493
88	515	0.692448
89	3525	0.692438
90	7378	0.692263
91	5210	0.691855
92	7149	0.691334
93	189	0.687533
94	1670	0.687488
95	9481	0.687272
96	9955	0.687271
97	2850	0.686646
98	8877	0.686316
99	630	0.685316
100	6853	0.684600
