Dataset: er_500_dense
Vertices: 500
Edges: 6207
Max PageRank Centrality (normalized): 1.000000
Damping Factor: 0.850000
Runtime (seconds): 0.000000
Memory Usage (MB): 0.06

=== Top 100 Vertices by PageRank Centrality ===
Rank	Vertex_ID	PageRank
1	73	1.000000
2	481	0.900197
3	109	0.838880
4	89	0.835220
5	401	0.832368
6	318	0.816712
7	66	0.815967
8	335	0.804359
9	58	0.799194
10	111	0.798626
11	213	0.793126
12	445	0.789288
13	186	0.782836
14	271	0.782611
15	214	0.779573
16	117	0.777271
17	325	0.775187
18	453	0.772451
19	69	0.771749
20	452	0.763408
21	422	0.759507
22	87	0.757922
23	108	0.757537
24	474	0.757480
25	473	0.757236
26	157	0.756096
27	488	0.754915
28	197	0.751802
29	26	0.750330
30	478	0.749536
31	344	0.739695
32	132	0.738726
33	301	0.738110
34	185	0.737623
35	15	0.735934
36	228	0.735567
37	390	0.735402
38	324	0.735043
39	305	0.732327
40	272	0.732068
41	343	0.729763
42	463	0.723968
43	211	0.723851
44	313	0.722297
45	28	0.721633
46	138	0.721140
47	82	0.720930
48	39	0.719420
49	77	0.717930
50	74	0.717804
51	135	0.716978
52	437	0.715755
53	458	0.715652
54	435	0.715389
55	423	0.713765
56	385	0.713640
57	393	0.713251
58	432	0.712716
59	60	0.712410
60	396	0.712202
61	80	0.709989
62	454	0.709769
63	262	0.709248
64	125	0.708711
65	337	0.705659
66	83	0.705085
67	360	0.702354
68	304	0.702326
69	183	0.700582
70	154	0.699574
71	207	0.699034
72	51	0.698297
73	230	0.698210
74	172	0.698182
75	406	0.697117
76	210	0.696865
77	147	0.696424
78	277	0.696321
79	297	0.696225
80	417	0.695829
81	88	0.695538
82	436	0.695404
83	336	0.695231
84	50	0.694105
85	195	0.693826
86	480	0.693749
87	127	0.693058
88	240	0.692440
89	223	0.690942
90	119	0.690740
91	19	0.684511
92	171	0.682387
93	483	0.681252
94	391	0.679880
95	321	0.679491
96	439	0.678554
97	194	0.678363
98	253	0.677700
99	222	0.677137
100	218	0.677070
