Dataset: er_500_sparse
Vertices: 500
Edges: 1245
Max PageRank Centrality (normalized): 1.000000
Damping Factor: 0.850000
Runtime (seconds): 0.000000
Memory Usage (MB): 0.02

=== Top 100 Vertices by PageRank Centrality ===
Rank	Vertex_ID	PageRank
1	82	1.000000
2	44	0.983797
3	32	0.953347
4	216	0.912716
5	206	0.893958
6	487	0.891466
7	337	0.889512
8	26	0.884675
9	326	0.882334
10	283	0.877520
11	368	0.874732
12	314	0.871862
13	234	0.862613
14	498	0.859332
15	455	0.854424
16	48	0.841731
17	489	0.839443
18	412	0.834304
19	286	0.832479
20	25	0.819645
21	232	0.805234
22	180	0.797395
23	343	0.797317
24	328	0.793057
25	471	0.792071
26	19	0.790873
27	300	0.790651
28	295	0.788105
29	278	0.786375
30	491	0.785656
31	241	0.776701
32	496	0.771342
33	460	0.769429
34	444	0.768923
35	113	0.768340
36	235	0.768082
37	42	0.753546
38	395	0.746388
39	184	0.746354
40	299	0.744170
41	351	0.738791
42	404	0.735870
43	225	0.733914
44	141	0.730089
45	443	0.729817
46	221	0.725445
47	296	0.724104
48	137	0.724004
49	87	0.722154
50	456	0.722099
51	463	0.722077
52	63	0.722058
53	81	0.720040
54	165	0.719561
55	364	0.719231
56	316	0.718995
57	202	0.718039
58	195	0.705160
59	192	0.704985
60	288	0.703593
61	217	0.702493
62	68	0.702208
63	383	0.692050
64	134	0.687190
65	3	0.686104
66	228	0.685091
67	369	0.680936
68	120	0.677186
69	99	0.670123
70	215	0.665189
71	256	0.665171
72	226	0.663733
73	131	0.661668
74	115	0.657554
75	341	0.656642
76	8	0.655333
77	344	0.654333
78	153	0.654263
79	495	0.653457
80	187	0.652733
81	477	0.651092
82	127	0.648362
83	70	0.648064
84	114	0.647061
85	171	0.645288
86	490	0.643581
87	166	0.642146
88	69	0.641080
89	357	0.640794
90	421	0.640627
91	183	0.639348
92	103	0.639273
93	325	0.638798
94	245	0.636903
95	49	0.636668
96	116	0.635956
97	475	0.632991
98	254	0.632923
99	310	0.631819
100	76	0.631043
