Dataset,Vertices,Edges,MaxPageRank,Runtime_sec,Memory_MB,AvgDegree,Density,Damping
verify_complete_7,7,21,1.000000,0.000000,0.00,6.0000,1.000000e+00,0.850000
verify_cycle_6,6,6,1.000000,0.000000,0.00,2.0000,4.000000e-01,0.850000
verify_known_structure,20,35,1.000000,0.000000,0.00,3.5000,1.842105e-01,0.850000
verify_path_5,5,4,1.000000,0.000000,0.00,1.6000,4.000000e-01,0.850000
verify_star_9,9,8,1.000000,0.000000,0.00,1.7778,2.222222e-01,0.850000
er_1000_dense,1000,10019,1.000000,0.001000,0.11,20.0380,2.005806e-02,0.850000
er_1000_sparse,1000,2501,1.000000,0.001000,0.05,5.0020,5.007007e-03,0.850000
er_100_dense,100,992,1.000000,0.000000,0.01,19.8400,2.004040e-01,0.850000
er_100_sparse,100,233,1.000000,0.000000,0.00,4.6600,4.707071e-02,0.850000
er_10k_dense,10000,49948,1.000000,0.017000,0.69,9.9896,9.990599e-04,0.850000
er_10k_sparse,10000,24717,1.000000,0.021000,0.49,4.9434,4.943894e-04,0.850000
er_500_dense,500,6207,1.000000,0.000000,0.06,24.8280,4.975551e-02,0.850000
er_500_sparse,500,1248,1.000000,0.000000,0.02,4.9920,1.000401e-02,0.850000
er_5k_dense,5000,37087,1.000000,0.007000,0.44,14.8348,2.967554e-03,0.850000
er_5k_sparse,5000,12677,1.000000,0.011000,0.25,5.0708,1.014363e-03,0.850000
ba_1k_m3,1000,2991,1.000000,0.001000,0.05,5.9820,5.987988e-03,0.850000
ba_1k_m5,1000,4975,1.000000,0.002000,0.07,9.9500,9.959960e-03,0.850000
ws_1k_k10_p03,1000,5000,1.000000,0.001000,0.07,10.0000,1.001001e-02,0.850000
ws_1k_k6_p01,1000,3000,1.000000,0.002000,0.05,6.0000,6.006006e-03,0.850000
er_5k_dense,5000,37087,1.000000,0.007000,0.44,14.8348,2.967554e-03,0.850000
er_5k_sparse,5000,12677,1.000000,0.008000,0.25,5.0708,1.014363e-03,0.850000
er_10k_dense,10000,49948,1.000000,0.014000,0.69,9.9896,9.990599e-04,0.850000
er_10k_sparse,10000,24717,1.000000,0.022000,0.49,4.9434,4.943894e-04,0.850000
ba_5k_m3,5000,14991,1.000000,0.006000,0.27,5.9964,1.199520e-03,0.850000
ba_5k_m5,5000,24975,1.000000,0.006000,0.34,9.9900,1.998400e-03,0.850000
ba_10k_m3,10000,29991,1.000000,0.016000,0.53,5.9982,5.998800e-04,0.850000
ws_5k_k6_p01,5000,15000,1.000000,0.005000,0.27,6.0000,1.200240e-03,0.850000
cit-DBLP,12592,49621,1.000000,0.056000,0.76,7.8814,6.259513e-04,0.850000
cit-HepTh,27769,352285,1.000000,0.239000,3.54,25.3725,9.137330e-04,0.850000
citeseer,3264,4536,1.000000,0.008000,0.13,2.7794,8.517964e-04,0.850000
cora,2708,5278,1.000000,0.004000,0.12,3.8981,1.440000e-03,0.850000
