Dataset: ws_5k_k6_p01
Vertices: 5000
Edges: 15000
Max PageRank Centrality (normalized): 1.000000
Damping Factor: 0.850000
Runtime (seconds): 0.005000
Memory Usage (MB): 0.27

=== Top 100 Vertices by PageRank Centrality ===
Rank	Vertex_ID	PageRank
1	430	1.000000
2	2950	0.842017
3	1876	0.839768
4	2942	0.836420
5	1281	0.831460
6	3058	0.830035
7	2772	0.829217
8	2382	0.827076
9	3902	0.826933
10	4636	0.825965
11	4225	0.825526
12	3925	0.823180
13	3931	0.814526
14	4864	0.809598
15	883	0.775676
16	2443	0.772240
17	1337	0.771644
18	3536	0.769149
19	3623	0.766960
20	4459	0.766473
21	1078	0.766058
22	1267	0.765871
23	3999	0.765861
24	2855	0.765389
25	3688	0.762135
26	3351	0.761821
27	4818	0.761249
28	3052	0.760808
29	2917	0.760158
30	3572	0.759870
31	1892	0.759839
32	813	0.758858
33	2138	0.758627
34	3455	0.758223
35	717	0.757935
36	561	0.757536
37	1986	0.757316
38	1660	0.757261
39	277	0.756228
40	4574	0.755500
41	3431	0.755376
42	3781	0.755155
43	1728	0.754745
44	3041	0.754274
45	4239	0.753700
46	3320	0.752926
47	1254	0.752868
48	3212	0.752756
49	1052	0.752653
50	4958	0.752207
51	4376	0.752051
52	243	0.751762
53	3248	0.751380
54	400	0.750704
55	217	0.750639
56	4306	0.750585
57	1039	0.749577
58	571	0.749464
59	2017	0.749264
60	1516	0.749233
61	774	0.749102
62	1904	0.748983
63	830	0.748921
64	4427	0.748818
65	3245	0.748797
66	3556	0.748629
67	4125	0.748550
68	2770	0.748544
69	2345	0.748497
70	1061	0.748301
71	210	0.748033
72	4156	0.747997
73	3063	0.747994
74	4656	0.747709
75	2819	0.747249
76	1435	0.747103
77	4372	0.746721
78	4266	0.746591
79	1163	0.746554
80	1468	0.746124
81	1834	0.746087
82	791	0.745956
83	3410	0.745917
84	4525	0.745675
85	576	0.745668
86	3890	0.745206
87	1630	0.744428
88	1005	0.743597
89	1537	0.743451
90	2408	0.743260
91	3678	0.743141
92	2286	0.742963
93	2119	0.742921
94	1920	0.742676
95	1503	0.742228
96	462	0.741816
97	2197	0.741668
98	2056	0.741306
99	2818	0.741283
100	2308	0.741239
