Node,InDegree,OutDegree,TotalDegree
9698,0,3,3
9374,0,3,3
8592,0,3,3
9763,0,3,3
9618,0,3,3
8768,0,3,3
9500,0,3,3
8961,0,3,3
9418,0,3,3
8406,0,3,3
8907,0,3,3
9748,0,3,3
7207,1,3,4
8751,0,3,3
9038,0,3,3
8767,0,3,3
9001,0,3,3
8880,0,3,3
9509,0,3,3
9681,0,3,3
7809,0,3,3
7708,1,3,4
8810,0,3,3
8213,0,3,3
7047,0,3,3
8737,0,3,3
8145,1,3,4
7103,1,3,4
9675,0,3,3
7065,0,3,3
8132,0,3,3
9918,0,3,3
9547,0,3,3
9512,1,3,4
8305,0,3,3
7316,1,3,4
9628,0,3,3
7957,0,3,3
8463,0,3,3
8418,0,3,3
9519,0,3,3
8738,0,3,3
7785,0,3,3
9105,0,3,3
8182,1,3,4
6671,2,3,5
7696,1,3,4
7110,0,3,3
8486,0,3,3
8156,0,3,3
8265,0,3,3
5820,0,3,3
7819,0,3,3
7537,0,3,3
9393,0,3,3
9615,0,3,3
6718,1,3,4
7645,0,3,3
8944,1,3,4
5409,1,3,4
9320,0,3,3
9417,0,3,3
5790,0,3,3
8297,1,3,4
9378,0,3,3
9944,0,3,3
5426,1,3,4
7748,0,3,3
9504,0,3,3
7996,0,3,3
9732,0,3,3
9569,1,3,4
8138,0,3,3
8914,1,3,4
6823,1,3,4
9079,0,3,3
8868,1,3,4
9765,0,3,3
9543,0,3,3
7155,2,3,5
8133,0,3,3
5217,0,3,3
9355,1,3,4
9729,0,3,3
6523,0,3,3
9015,1,3,4
8619,0,3,3
8978,0,3,3
7564,1,3,4
8784,2,3,5
8941,1,3,4
6456,0,3,3
7246,1,3,4
8585,0,3,3
5693,0,3,3
9582,0,3,3
8177,0,3,3
5410,1,3,4
8858,1,3,4
9648,0,3,3
7966,0,3,3
8687,1,3,4
7243,2,3,5
8870,0,3,3
8437,0,3,3
7289,0,3,3
5667,0,3,3
7726,0,3,3
8493,0,3,3
7462,0,3,3
5508,2,3,5
8557,0,3,3
9434,0,3,3
8139,0,3,3
6240,0,3,3
9299,0,3,3
6005,1,3,4
6323,1,3,4
7972,1,3,4
9651,0,3,3
9058,0,3,3
8522,0,3,3
5925,2,3,5
8013,4,3,7
8388,0,3,3
6339,2,3,5
8306,0,3,3
7522,0,3,3
5180,1,3,4
7441,0,3,3
9760,0,3,3
6132,0,3,3
9556,1,3,4
8630,0,3,3
8130,0,3,3
9381,0,3,3
5070,2,3,5
6210,0,3,3
7930,1,3,4
9073,0,3,3
9023,0,3,3
5988,4,3,7
4803,3,3,6
5812,2,3,5
7855,1,3,4
7598,3,3,6
6080,2,3,5
7686,0,3,3
6174,0,3,3
6056,0,3,3
9232,0,3,3
5548,3,3,6
9207,0,3,3
9248,0,3,3
6397,1,3,4
7742,0,3,3
4939,0,3,3
8016,1,3,4
9401,1,3,4
6957,0,3,3
4461,0,3,3
9092,0,3,3
9475,0,3,3
8022,1,3,4
7193,0,3,3
5782,1,3,4
7937,0,3,3
8762,0,3,3
8692,0,3,3
9662,0,3,3
6004,3,3,6
5804,0,3,3
9215,0,3,3
9362,0,3,3
9482,0,3,3
8946,0,3,3
6605,1,3,4
7512,0,3,3
8343,0,3,3
5560,0,3,3
9090,0,3,3
8916,0,3,3
9579,0,3,3
7560,0,3,3
8996,0,3,3
5419,2,3,5
6225,0,3,3
8881,0,3,3
7904,0,3,3
9853,0,3,3
6023,1,3,4
9037,1,3,4
8610,0,3,3
6778,1,3,4
8580,0,3,3
