Node,InDegree,OutDegree,TotalDegree
12591,1,1,2
12590,1,0,1
12589,0,1,1
12588,1,0,1
12587,0,1,1
12586,1,0,1
12585,0,1,1
12584,1,0,1
12583,0,1,1
12582,1,0,1
12581,0,1,1
12580,1,0,1
12579,0,1,1
12578,1,0,1
12577,0,1,1
12576,1,0,1
12575,0,1,1
12574,1,0,1
12573,0,1,1
12572,1,0,1
12571,0,1,1
12570,1,0,1
12569,0,1,1
12568,1,0,1
12567,0,1,1
12566,1,0,1
12565,0,1,1
12564,1,0,1
12455,0,1,1
12454,0,1,1
12422,0,1,1
12414,0,1,1
12413,0,1,1
12412,0,1,1
12411,0,1,1
12410,0,1,1
12409,0,1,1
12408,0,1,1
12377,0,1,1
12317,0,1,1
12316,0,1,1
12315,0,1,1
12314,0,1,1
12313,0,1,1
12312,0,1,1
12311,0,1,1
12310,0,1,1
12309,0,1,1
12308,0,1,1
12307,0,1,1
12306,0,1,1
12305,0,1,1
12304,0,1,1
12284,0,1,1
12283,0,1,1
12282,0,1,1
12281,0,1,1
12280,0,1,1
12279,0,1,1
12278,0,1,1
12277,0,1,1
12276,0,1,1
12275,0,1,1
12274,0,1,1
12273,0,1,1
12272,0,1,1
12271,0,1,1
12270,0,1,1
12269,0,1,1
12268,0,1,1
12236,0,1,1
12235,0,1,1
12172,0,1,1
12171,0,1,1
12170,0,1,1
12168,0,1,1
12167,0,1,1
12166,0,1,1
12165,0,1,1
12127,0,1,1
12125,0,1,1
12123,0,1,1
12122,1,0,1
12120,0,1,1
12119,1,0,1
12118,0,1,1
12117,0,1,1
12116,0,1,1
12115,0,1,1
12113,0,1,1
12111,0,1,1
12110,0,1,1
12109,0,1,1
12108,0,1,1
12106,0,1,1
12105,0,1,1
12104,0,1,1
12103,0,1,1
12102,0,1,1
12101,0,1,1
12099,0,1,1
12098,0,1,1
12097,0,1,1
12096,0,1,1
12095,0,1,1
12094,0,1,1
12093,0,1,1
12092,0,1,1
12091,0,1,1
12090,0,1,1
12088,0,1,1
12087,0,1,1
12084,0,1,1
12083,1,0,1
12082,0,1,1
12081,0,1,1
12080,0,1,1
12079,0,1,1
12078,0,1,1
12077,0,1,1
12076,0,1,1
12075,0,1,1
12074,0,1,1
12073,0,1,1
12072,0,1,1
12071,0,1,1
12069,0,1,1
12068,0,1,1
12067,0,1,1
12066,0,1,1
12065,0,1,1
12063,0,1,1
12062,0,1,1
12061,0,1,1
12059,0,1,1
12058,0,1,1
12057,2,0,2
12056,0,1,1
12055,0,1,1
12054,0,1,1
12053,0,1,1
12052,0,1,1
12050,0,1,1
12049,0,1,1
12047,0,1,1
12046,0,1,1
12042,0,1,1
12040,1,1,2
12039,0,1,1
12038,0,1,1
12037,0,1,1
12036,0,1,1
12035,0,1,1
12034,0,1,1
12033,0,1,1
12031,0,1,1
12030,0,1,1
12029,0,1,1
12026,0,1,1
12023,0,1,1
12022,0,1,1
12021,0,1,1
12020,0,1,1
12019,0,1,1
12018,0,1,1
12017,0,1,1
12012,0,1,1
12011,0,1,1
12010,0,1,1
12009,0,1,1
12008,0,1,1
12007,0,1,1
12006,0,1,1
12005,0,1,1
12004,0,1,1
12003,0,1,1
12002,0,1,1
12001,0,1,1
12000,0,1,1
11999,0,1,1
11998,0,1,1
11997,0,1,1
11996,0,1,1
11995,0,1,1
11994,0,1,1
11993,0,1,1
11992,0,1,1
11991,0,1,1
11990,0,1,1
11989,0,1,1
11988,0,1,1
11987,0,1,1
11986,0,1,1
11985,0,1,1
11984,0,1,1
11982,0,1,1
11981,0,1,1
11980,0,1,1
11979,0,1,1
11978,0,1,1
11977,0,1,1
11976,0,1,1
11975,0,1,1
11973,0,1,1
11972,1,0,1
11971,0,1,1
11959,0,1,1
11958,0,1,1
11957,0,1,1
11956,0,1,1
11921,0,1,1
11920,0,1,1
11919,0,1,1
11918,0,1,1
11917,0,1,1
11916,0,1,1
11913,1,1,2
11912,0,1,1
11911,0,1,1
11910,0,1,1
11909,0,1,1
11908,0,1,1
11878,0,1,1
11877,0,1,1
11876,0,1,1
11875,0,1,1
11874,0,1,1
11871,0,1,1
11869,0,1,1
11868,0,1,1
11866,0,1,1
11865,0,1,1
11864,0,1,1
11863,0,1,1
11862,0,1,1
11861,0,1,1
11860,0,1,1
11859,0,1,1
11858,0,1,1
11857,0,1,1
11856,0,1,1
11855,0,1,1
11854,0,1,1
11853,0,1,1
11852,0,1,1
11851,0,1,1
11850,0,1,1
11849,0,1,1
11848,0,1,1
11847,0,1,1
11845,0,1,1
11844,0,1,1
11843,0,1,1
11842,0,1,1
11841,0,1,1
11840,0,1,1
11839,0,1,1
11838,0,1,1
11837,0,1,1
11836,0,1,1
11834,0,1,1
11833,0,1,1
11830,0,1,1
11828,0,1,1
11827,0,1,1
11826,0,1,1
11824,0,1,1
11823,0,1,1
11822,0,1,1
11821,0,1,1
11820,0,1,1
11819,0,1,1
11818,1,1,2
11805,0,1,1
11804,0,1,1
11803,0,1,1
11802,0,1,1
11795,0,1,1
11794,0,1,1
11793,0,1,1
11792,0,1,1
11791,0,1,1
11790,0,1,1
11789,0,1,1
11786,0,1,1
11784,0,1,1
11783,0,1,1
11782,0,1,1
11780,0,1,1
11779,0,1,1
11778,0,1,1
11777,0,1,1
11769,0,1,1
11765,1,1,2
11763,0,1,1
11762,0,1,1
11761,0,1,1
11760,0,1,1
11759,0,1,1
11758,0,1,1
11757,0,1,1
11756,0,1,1
11755,0,1,1
11754,0,1,1
11745,0,1,1
11744,0,1,1
11743,0,1,1
11742,0,1,1
11741,0,1,1
11740,0,1,1
11739,0,1,1
11737,0,1,1
11721,0,1,1
11719,0,1,1
11718,0,1,1
11717,0,1,1
11715,0,1,1
11713,0,1,1
11693,0,1,1
11690,0,1,1
11689,0,1,1
11687,0,1,1
11686,0,1,1
11684,0,1,1
11683,0,1,1
11681,0,1,1
11680,0,1,1
11679,0,1,1
11678,0,1,1
11677,0,1,1
11676,0,1,1
11672,0,1,1
11670,0,1,1
11669,1,1,2
11668,0,1,1
11667,0,1,1
11666,0,1,1
11665,0,1,1
11663,0,1,1
11662,0,1,1
11661,0,1,1
11660,0,1,1
11659,0,1,1
11658,0,1,1
11656,0,1,1
11655,0,1,1
11654,0,1,1
11653,0,1,1
11652,0,1,1
11969,0,1,1
11968,0,1,1
11967,0,1,1
11966,0,1,1
11965,0,1,1
11964,0,1,1
11963,0,1,1
11962,0,1,1
11961,0,1,1
11960,0,1,1
12240,0,1,1
11650,0,1,1
11649,0,1,1
11648,0,1,1
11646,1,1,2
11645,0,1,1
11644,0,1,1
11643,0,1,1
11640,0,1,1
11639,0,1,1
11638,0,1,1
11637,0,1,1
11623,0,1,1
11622,0,1,1
11728,0,1,1
11727,0,1,1
11726,0,1,1
11725,0,1,1
11724,0,1,1
11723,0,1,1
11620,0,1,1
11619,0,1,1
11618,0,1,1
11617,1,1,2
11616,0,1,1
11615,0,1,1
11614,0,1,1
11613,0,1,1
11611,0,1,1
11610,1,1,2
11601,1,1,2
11599,0,1,1
11598,0,1,1
11597,0,1,1
11596,0,1,1
11595,0,1,1
11594,0,1,1
11593,0,1,1
11591,0,1,1
11590,0,1,1
11589,0,1,1
11588,0,1,1
11587,0,1,1
11586,0,1,1
11585,0,1,1
11584,0,1,1
11583,0,1,1
11582,0,1,1
11580,0,1,1
11577,0,1,1
11576,0,1,1
11572,0,1,1
11554,0,1,1
11553,0,1,1
11551,0,1,1
11550,0,1,1
11549,0,1,1
11547,0,1,1
11546,0,1,1
11545,0,1,1
11544,0,1,1
11543,0,1,1
11542,0,1,1
11541,0,1,1
11538,0,1,1
11537,0,1,1
11535,0,1,1
11534,0,1,1
11533,0,1,1
11532,0,1,1
11531,0,1,1
11530,0,1,1
11529,0,1,1
11528,0,1,1
11524,0,1,1
11523,0,1,1
11522,0,1,1
11520,0,1,1
11519,0,1,1
11518,0,1,1
11517,0,1,1
11516,0,1,1
11515,0,1,1
11514,0,1,1
11513,0,1,1
11512,0,1,1
11511,0,1,1
11510,0,1,1
11509,0,1,1
11508,0,1,1
11506,0,1,1
11501,0,1,1
11498,0,1,1
11486,0,1,1
11485,0,1,1
11481,0,1,1
11480,0,1,1
11479,0,1,1
11478,0,1,1
11477,1,1,2
11476,0,1,1
11475,0,1,1
11463,0,1,1
11462,0,1,1
11461,0,1,1
11460,0,1,1
11459,0,1,1
11458,0,1,1
11457,0,1,1
11456,0,1,1
11455,0,1,1
11454,0,1,1
11453,0,1,1
11452,0,1,1
11451,0,1,1
11444,0,1,1
11443,1,0,1
11442,0,1,1
11441,0,1,1
11437,0,1,1
11434,0,1,1
11433,0,1,1
11425,0,1,1
11421,0,1,1
11417,0,1,1
11416,1,0,1
11415,0,1,1
11413,0,1,1
11411,0,1,1
11409,0,1,1
11408,2,1,3
11407,0,1,1
11404,0,1,1
11385,1,1,2
11381,0,1,1
11380,0,1,1
11379,0,1,1
11378,0,1,1
11377,0,1,1
11376,0,1,1
11373,0,1,1
11372,0,1,1
11371,0,1,1
11369,1,1,2
11368,0,1,1
11367,0,1,1
11366,0,1,1
11365,0,1,1
11364,0,1,1
11361,0,1,1
11360,0,1,1
11358,0,1,1
11356,0,1,1
11355,0,1,1
11354,0,1,1
11353,0,1,1
11351,0,1,1
11342,0,1,1
11341,0,1,1
11340,1,1,2
11339,0,1,1
11338,0,1,1
11337,0,1,1
11334,0,1,1
11322,0,1,1
11320,0,1,1
11319,0,1,1
11312,0,1,1
11311,0,1,1
11310,0,1,1
11308,0,1,1
11307,0,1,1
11306,0,1,1
11302,1,1,2
11301,0,1,1
11300,0,1,1
11299,0,1,1
11298,0,1,1
11297,0,1,1
11296,0,1,1
11294,0,1,1
11293,0,1,1
11292,0,1,1
11291,0,1,1
11290,0,1,1
11289,0,1,1
11286,1,1,2
11284,0,1,1
