Node,InDegree,OutDegree,TotalDegree
27705,0,1,1
27038,0,1,1
26999,1,0,1
26998,1,0,1
26956,0,1,1
26536,1,0,1
26545,1,2,3
26361,0,1,1
27576,0,1,1
26147,1,0,1
27211,0,1,1
26534,0,2,2
26088,1,0,1
26029,1,0,1
26018,1,0,1
27459,0,1,1
26674,0,1,1
25891,3,0,3
25875,1,0,1
25740,1,0,1
26010,1,3,4
25940,0,2,2
25586,1,1,2
25578,2,0,2
26532,0,3,3
27578,3,4,7
27004,0,1,1
25414,0,1,1
25264,1,0,1
26760,0,2,2
25259,1,0,1
25470,1,1,2
26235,0,1,1
25229,1,0,1
26212,0,1,1
25063,0,1,1
26636,0,2,2
24980,0,1,1
24949,1,0,1
26108,2,3,5
26342,0,1,1
26832,0,8,8
25833,0,1,1
24842,1,0,1
26739,0,3,3
26533,0,2,2
24736,1,0,1
27511,0,2,2
26188,2,1,3
24667,1,0,1
24655,1,0,1
27598,0,6,6
26202,0,1,1
27410,1,3,4
25339,0,1,1
24354,1,0,1
24350,1,0,1
24346,1,0,1
24648,0,3,3
24304,1,0,1
25050,1,3,4
25042,1,2,3
24551,2,1,3
24276,3,0,3
24263,1,0,1
26526,0,1,1
24238,3,0,3
24537,0,1,1
26856,0,4,4
27104,0,2,2
24523,0,2,2
23858,1,0,1
23829,2,0,2
23828,3,0,3
23827,3,0,3
25065,0,1,1
25268,0,1,1
23772,1,0,1
24322,1,1,2
27343,0,1,1
24694,0,1,1
23629,1,0,1
23527,1,0,1
23747,0,2,2
23746,1,1,2
23454,3,0,3
24420,1,1,2
24945,1,1,2
24431,0,1,1
23250,1,0,1
25902,0,1,1
23194,1,0,1
23151,1,0,1
24202,6,2,8
24976,0,1,1
25718,0,2,2
23023,5,0,5
23001,1,0,1
26817,0,11,11
25044,0,1,1
27474,0,2,2
26199,0,2,2
25493,1,1,2
22803,2,0,2
22764,1,0,1
24442,0,1,1
22712,2,0,2
22681,1,0,1
25282,0,2,2
23550,0,8,8
22968,3,4,7
27136,0,6,6
24161,1,1,2
22629,2,0,2
26537,1,1,2
26272,0,1,1
22618,1,0,1
22698,0,1,1
22567,2,0,2
22533,2,0,2
24687,0,1,1
22451,1,1,2
25236,2,4,6
23558,0,2,2
24030,1,2,3
24599,0,1,1
23284,1,2,3
22258,2,0,2
22255,1,0,1
24185,1,4,5
24028,2,3,5
26330,0,1,1
24245,0,2,2
24967,1,1,2
27437,0,14,14
26275,1,9,10
26106,0,5,5
25977,2,32,34
25947,1,18,19
25826,0,2,2
24915,2,6,8
24201,0,6,6
23602,1,2,3
24320,1,2,3
23816,0,2,2
23365,2,1,3
22142,4,0,4
22141,1,0,1
25444,0,1,1
22101,1,0,1
25819,0,2,2
22020,1,0,1
21996,1,0,1
21981,1,0,1
21977,2,0,2
25423,0,2,2
21926,1,0,1
26587,1,5,6
23623,8,6,14
21866,1,0,1
22848,0,3,3
21845,3,0,3
24767,1,2,3
27597,0,3,3
21769,2,0,2
21767,1,0,1
24306,0,1,1
23703,2,3,5
21701,3,0,3
22577,1,1,2
24257,0,3,3
25970,1,2,3
27121,0,5,5
26969,0,7,7
21591,2,0,2
21873,1,1,2
21568,2,0,2
21557,1,0,1
21771,0,1,1
22368,0,2,2
21607,1,1,2
21549,2,0,2
21502,1,0,1
24328,0,2,2
21484,1,0,1
