Node,InDegree,OutDegree,TotalDegree
3229,0,1,1
3228,1,0,1
3197,1,0,1
3189,1,0,1
3179,2,0,2
3127,0,1,1
3124,0,1,1
3122,1,0,1
3211,0,1,1
3110,1,0,1
3162,0,1,1
3108,1,0,1
3085,1,0,1
3077,1,0,1
3131,0,1,1
3071,1,0,1
3168,0,1,1
3056,1,0,1
3147,0,1,1
3052,1,0,1
3040,1,0,1
3057,0,1,1
3030,1,0,1
3261,0,1,1
3026,1,0,1
3104,0,1,1
3014,1,0,1
2991,1,0,1
2990,1,0,1
3253,0,2,2
3252,0,2,2
2984,2,0,2
2982,1,0,1
2975,1,0,1
2976,0,1,1
2967,1,0,1
2965,1,0,1
2963,2,0,2
3234,0,1,1
2920,1,0,1
2916,1,0,1
3073,0,1,1
3144,0,2,2
2927,1,1,2
3125,0,2,2
3118,1,1,2
2893,1,0,1
2882,1,0,1
2856,1,0,1
2866,1,2,3
2855,2,0,2
3092,0,1,1
3088,1,1,2
2847,0,1,1
2890,0,1,1
2869,0,1,1
2819,1,0,1
3170,1,2,3
2813,2,0,2
2812,1,0,1
3078,0,2,2
2811,1,0,1
2822,0,1,1
2807,1,0,1
2966,0,2,2
3090,0,1,1
2799,0,1,1
2797,1,0,1
2795,1,0,1
2794,1,0,1
2777,1,0,1
3080,0,1,1
2776,1,0,1
2772,1,0,1
3097,0,2,2
2771,1,0,1
2768,1,0,1
2914,0,1,1
2755,1,0,1
2749,1,0,1
3263,0,1,1
2880,0,1,1
2731,1,0,1
2752,0,1,1
2727,1,0,1
2917,0,1,1
2739,0,1,1
2720,1,0,1
3033,0,1,1
2718,1,0,1
2837,0,1,1
3081,0,2,2
2978,1,1,2
2711,2,0,2
3165,1,2,3
2710,2,0,2
3248,0,1,1
3113,0,2,2
3112,0,2,2
2844,0,1,1
2871,0,1,1
2857,2,1,3
3202,0,1,1
2671,1,0,1
2791,0,1,1
2845,0,1,1
2663,1,0,1
2995,0,1,1
2721,0,1,1
2897,0,2,2
2651,1,0,1
3004,0,1,1
2738,0,1,1
2680,0,1,1
2640,1,0,1
3195,0,1,1
2636,1,0,1
3150,0,1,1
2632,2,0,2
2629,1,1,2
2628,2,0,2
2879,0,1,1
2618,1,0,1
2615,2,0,2
2943,0,1,1
2606,1,0,1
2784,0,1,1
2605,1,0,1
3238,0,1,1
2603,1,0,1
3188,0,1,1
2599,1,0,1
3025,0,1,1
2594,1,0,1
2650,0,1,1
2635,1,1,2
2581,2,0,2
3142,0,2,2
2566,1,1,2
2902,1,1,2
