Node,InDegree,OutDegree,TotalDegree
1875,2,0,2
1877,0,4,4
2586,0,1,1
2581,0,1,1
1870,1,0,1
1868,0,1,1
1867,1,0,1
2577,0,1,1
1864,1,0,1
2572,0,1,1
1859,1,0,1
2567,0,2,2
1854,3,0,3
2566,0,4,4
2558,0,1,1
1853,3,0,3
2557,0,1,1
1850,1,0,1
2569,0,1,1
2568,0,2,2
1858,1,3,4
1848,1,2,3
1846,6,0,6
2556,0,1,1
1845,1,0,1
2590,0,1,1
1842,3,0,3
2550,0,1,1
1837,0,1,1
1835,1,0,1
1834,1,0,1
1833,2,0,2
2698,0,1,1
2536,0,1,1
1824,1,0,1
2535,0,1,1
1821,1,0,1
2534,0,1,1
1808,1,0,1
2521,0,1,1
1807,1,0,1
1797,0,1,1
2514,0,2,2
1792,1,1,2
1789,2,0,2
2509,0,3,3
1787,1,1,2
2505,0,4,4
2501,0,1,1
2496,0,1,1
1776,1,0,1
2495,0,1,1
2494,0,1,1
1773,1,0,1
2490,0,2,2
1772,1,1,2
2532,0,1,1
1769,1,0,1
1765,2,0,2
2472,0,1,1
1760,1,0,1
2473,0,2,2
2474,0,2,2
1758,1,2,3
1757,3,1,4
1756,3,0,3
1752,1,0,1
2469,0,2,2
1750,4,0,4
2464,0,1,1
1745,1,0,1
1735,1,1,2
2688,0,1,1
1736,0,1,1
1731,2,0,2
2463,0,2,2
1729,2,2,4
1725,2,0,2
1724,1,0,1
1732,2,3,5
1723,1,0,1
1720,0,1,1
1719,0,1,1
1717,1,1,2
2465,0,3,3
2461,0,2,2
2452,0,2,2
1730,4,3,7
1727,4,1,5
2446,0,1,1
2445,0,1,1
2444,0,2,2
1709,1,1,2
1708,2,0,2
2466,0,2,2
2460,0,4,4
2443,0,1,1
1744,0,3,3
1743,1,2,3
1738,1,2,3
1733,3,1,4
1715,1,2,3
2442,0,1,1
1728,1,2,3
1707,13,1,14
1704,3,0,3
1726,1,2,3
1703,7,0,7
1702,1,0,1
2453,0,3,3
2439,0,1,1
2438,0,1,1
1700,1,0,1
1686,0,1,1
1685,1,0,1
1669,0,1,1
1668,1,0,1
2685,0,2,2
2412,0,2,2
1665,1,2,3
1664,2,1,3
1663,4,0,4
2410,0,1,1
1662,1,0,1
2409,0,1,1
1661,1,0,1
2408,0,1,1
1660,1,0,1
1659,1,0,1
2684,0,1,1
1656,1,0,1
2393,0,1,1
1649,1,0,1
2390,0,1,1
2389,0,1,1
1646,3,0,3
1637,2,0,2
2382,0,1,1
1636,1,0,1
2380,0,1,1
1634,1,0,1
1632,1,0,1
2675,0,2,2
1630,1,1,2
1616,1,0,1
1615,1,0,1
2378,0,3,3
1612,3,0,3
1619,0,1,1
1607,2,0,2
1606,3,0,3
1594,1,0,1
2353,0,2,2
1591,1,0,1
1625,0,2,2
1624,1,1,2
2373,0,4,4
2366,0,4,4
1585,2,1,3
2678,0,2,2
1581,0,2,2
2340,0,1,1
2489,0,1,1
1623,1,1,2
2580,0,1,1
2333,0,1,1
1543,3,0,3
2328,0,1,1
2327,0,1,1
1542,2,1,3
1539,0,2,2
1746,0,1,1
1541,3,1,4
1535,1,1,2
2322,0,1,1
1524,1,0,1
1523,3,1,4
1521,2,0,2
2515,0,1,1
1794,1,1,2
1520,2,0,2
2315,0,1,1
1514,3,0,3
2313,0,1,1
2310,0,1,1
2308,0,1,1
1751,2,3,5
1576,2,1,3
2690,0,4,4
2471,0,3,3
2372,0,2,2
1489,1,0,1
2288,0,1,1
1488,1,0,1
2284,0,1,1
1737,1,1,2
2502,0,1,1
1780,1,1,2
1476,2,0,2
1983,0,1,1
1475,1,0,1
1463,1,0,1
2695,0,1,1
1456,1,0,1
1680,1,1,2
2543,0,2,2
1798,1,2,3
1437,1,0,1
2238,0,1,1
1431,1,0,1
2232,0,1,1
1427,1,0,1
1466,0,1,1
1426,2,0,2
1425,1,0,1
1423,3,0,3
1454,0,1,1
1422,1,0,1
2226,0,1,1
1843,0,2,2
1840,1,1,2
1419,3,0,3
1416,1,0,1
2216,0,1,1
1387,1,0,1
2191,0,1,1
2190,0,1,1
1384,1,0,1
1383,1,0,1
1382,1,0,1
2582,0,1,1
2448,0,2,2
1712,1,2,3
2623,0,1,1
1366,1,0,1
2522,0,2,2
1484,0,1,1
1588,3,2,5
1354,1,0,1
2663,0,2,2
1346,1,0,1
1569,1,2,3
1341,0,1,1
2631,0,1,1
1334,1,0,1
