Node,InDegree,OutDegree,TotalDegree
80,2,0,2
95,0,2,2
82,1,4,5
76,2,1,3
69,4,1,5
40,1,0,1
98,0,3,3
65,1,5,6
88,2,2,4
74,2,3,5
57,2,2,4
35,5,0,5
45,5,1,6
34,6,0,6
61,0,2,2
33,1,2,3
27,8,0,8
32,2,1,3
73,1,4,5
26,4,1,5
25,4,0,4
49,2,3,5
47,7,4,11
36,1,2,3
84,1,2,3
44,2,2,4
23,4,0,4
71,1,6,7
63,3,4,7
59,0,1,1
37,4,1,5
24,7,1,8
67,1,4,5
64,3,2,5
55,2,2,4
39,2,1,3
20,5,0,5
96,0,4,4
94,1,5,6
38,3,1,4
97,0,9,9
9,4,0,4
68,0,2,2
46,4,3,7
7,2,0,2
66,1,4,5
86,0,6,6
93,1,8,9
6,5,0,5
85,0,5,5
5,2,0,2
8,1,0,1
100,1,1,2
41,3,1,4
22,6,1,7
81,1,5,6
48,0,4,4
29,5,3,8
58,0,4,4
87,1,6,7
52,2,4,6
2,5,0,5
1,4,0,4
30,4,2,6
89,1,10,11
62,0,5,5
3,3,0,3
4,3,1,4
21,2,2,4
50,1,3,4
70,2,3,5
11,6,0,6
78,0,4,4
19,5,1,6
79,1,2,3
10,4,0,4
31,2,3,5
90,0,3,3
51,3,5,8
53,3,2,5
56,0,1,1
92,0,4,4
226,0,1,1
99,0,2,2
12,2,0,2
13,6,0,6
72,1,2,3
42,1,3,4
75,2,3,5
16,3,0,3
15,2,0,2
54,3,4,7
83,1,6,7
17,4,0,4
18,8,0,8
77,3,4,7
43,1,1,2
91,0,5,5
