Node,InDegree,OutDegree,TotalDegree
9645,0,3,3
8206,1,2,3
7109,2,0,2
7298,1,2,3
9369,0,3,3
8902,1,4,5
8673,0,4,4
6068,5,0,5
6989,5,3,8
8975,0,7,7
9100,0,2,2
7627,2,6,8
9003,4,6,10
5746,7,0,7
6091,7,1,8
9921,1,6,7
6959,1,3,4
7877,1,3,4
6182,3,2,5
6303,4,2,6
6562,7,3,10
9163,0,4,4
6128,3,1,4
7984,4,5,9
8863,4,1,5
8566,0,4,4
6483,1,1,2
5507,6,0,6
8743,1,3,4
9837,0,10,10
6661,2,4,6
5223,3,0,3
9960,0,3,3
8773,1,7,8
5535,5,1,6
5018,5,0,5
6524,4,1,5
6419,4,2,6
4964,5,0,5
7518,1,6,7
4839,3,0,3
5651,4,1,5
5560,7,2,9
4782,7,0,7
8463,2,7,9
6274,3,3,6
5963,1,4,5
8169,1,6,7
4747,4,0,4
7858,2,5,7
6592,3,2,5
5117,2,1,3
8380,1,9,10
6926,4,2,6
8422,1,3,4
9550,0,5,5
5528,5,2,7
4637,3,0,3
9815,0,4,4
5547,7,3,10
7275,2,5,7
6136,2,3,5
7397,2,3,5
4970,3,1,4
6733,3,1,4
4549,5,0,5
5396,8,1,9
9391,1,8,9
6105,2,3,5
7190,3,4,7
9988,0,4,4
9389,2,8,10
4475,4,0,4
4799,4,2,6
4439,4,0,4
9473,1,5,6
4461,5,1,6
6432,1,1,2
4734,4,3,7
8200,3,3,6
8913,2,6,8
7148,6,4,10
8228,0,8,8
4727,5,2,7
4354,4,0,4
4351,7,0,7
9746,0,4,4
4293,5,0,5
8869,2,4,6
4275,3,1,4
4348,7,1,8
4270,4,0,4
6837,4,3,7
6980,2,2,4
5943,3,5,8
5269,4,1,5
4197,8,0,8
4184,5,0,5
7969,3,7,10
4174,12,0,12
7732,2,4,6
4159,5,0,5
5220,4,1,5
7629,6,4,10
6655,4,6,10
4983,1,1,2
8351,3,9,12
9178,1,6,7
8724,0,7,7
9976,0,5,5
7257,2,1,3
8224,2,9,11
9615,0,7,7
7999,3,5,8
6666,5,1,6
4115,5,1,6
5803,5,3,8
4030,4,0,4
9372,0,3,3
6827,3,1,4
4418,7,1,8
6627,2,3,5
6097,4,2,6
4773,9,1,10
8767,1,8,9
6575,5,3,8
7033,4,8,12
8010,4,1,5
8363,0,3,3
8733,0,6,6
9941,0,9,9
3867,1,0,1
6900,7,3,10
8850,1,7,8
7029,1,2,3
9488,0,8,8
4149,5,1,6
7552,2,5,7
8186,3,7,10
6879,4,3,7
3823,9,0,9
4421,4,2,6
9689,1,7,8
7867,0,8,8
4631,5,2,7
3941,12,1,13
3805,5,0,5
8204,2,5,7
8498,2,4,6
6026,4,4,8
4430,5,1,6
6681,6,3,9
3770,5,0,5
6065,4,3,7
7757,2,7,9
3971,4,1,5
4301,9,1,10
3741,7,0,7
3732,8,0,8
8084,0,6,6
7672,3,3,6
4441,2,1,3
3713,4,0,4
5213,7,2,9
6386,11,1,12
4429,1,1,2
3706,5,1,6
3684,6,0,6
3683,6,0,6
6277,3,3,6
3825,8,1,9
4472,9,1,10
4230,8,1,9
8835,1,5,6
9232,1,10,11
5546,3,2,5
7953,4,8,12
8365,3,4,7
6310,4,7,11
9466,0,5,5
3620,3,0,3
4033,3,1,4
5302,3,4,7
9997,0,11,11
9907,0,10,10
6414,3,2,5
6252,3,4,7
7195,1,5,6
5703,10,4,14
6255,1,4,5
4603,5,1,6
3541,2,0,2
8369,2,7,9
6697,2,8,10
6005,0,1,1
9148,0,3,3
3909,2,1,3
3746,6,2,8
7239,5,4,9
6089,4,3,7
7434,4,1,5
6271,3,4,7
8624,1,4,5
4658,7,3,10
8694,1,5,6
3493,3,0,3
4201,9,2,11
3682,5,1,6
3482,9,0,9
3474,6,0,6
6217,10,3,13
8352,2,8,10
3463,7,0,7
7549,1,5,6
4547,4,2,6
6212,5,3,8
3455,11,0,11
6907,1,5,6
9964,0,8,8
6672,1,4,5
6563,2,4,6
9867,1,6,7
8569,1,5,6
6547,4,6,10
4542,7,2,9
7366,5,5,10
5895,7,3,10
5260,7,4,11
3638,10,1,11
3403,7,0,7
3931,8,2,10
8147,4,7,11
6007,4,5,9
6433,4,3,7
3396,3,1,4
7232,2,5,7
9328,2,4,6
8802,2,4,6
6203,4,3,7
7898,2,8,10
4298,7,2,9
3717,6,1,7
8559,1,6,7
4933,6,2,8
9169,0,8,8
5046,3,4,7
8113,2,6,8
3333,7,0,7
8980,2,6,8
9472,1,10,11
8558,0,6,6
7637,3,2,5
9640,0,9,9
9152,0,6,6
9775,1,10,11
4975,7,6,13
8790,1,6,7
5294,9,6,15
9477,2,5,7
5393,10,6,16
3777,6,1,7
5011,2,4,6
9936,0,7,7
7270,1,6,7
8935,0,3,3
3262,8,0,8
3261,7,0,7
9246,1,8,9
9652,0,7,7
7140,4,12,16
4761,7,2,9
8344,3,10,13
6056,4,4,8
3891,10,2,12
5275,4,3,7
5587,3,4,7
9654,0,5,5
4105,3,2,5
3393,5,1,6
9103,1,5,6
9609,0,9,9
9463,1,6,7
3181,14,0,14
3386,6,1,7
8609,2,2,4
5987,3,6,9
6970,2,5,7
3172,7,0,7
4133,4,2,6
3553,5,3,8
5983,3,4,7
4942,1,2,3
8672,2,14,16
7562,6,6,12
5748,4,4,8
5682,5,1,6
3144,6,0,6
8155,0,5,5
9376,0,8,8
9919,2,6,8
4255,8,1,9
4335,3,1,4
3397,7,1,8
9520,0,14,14
7226,2,4,6
