Node,InDegree,OutDegree,TotalDegree
9772,1,0,1
9597,1,0,1
9936,0,1,1
9534,0,1,1
9145,1,0,1
9123,1,0,1
9107,1,0,1
9023,1,0,1
9390,0,1,1
8980,1,0,1
9366,2,1,3
9449,1,1,2
8567,1,0,1
9991,0,1,1
8465,2,0,2
9112,0,1,1
8439,2,0,2
9480,0,1,1
8396,2,0,2
8560,0,1,1
8391,3,0,3
8375,1,0,1
9251,0,2,2
8818,0,1,1
8330,2,0,2
8955,1,1,2
8478,0,1,1
8172,2,0,2
8308,0,2,2
8025,1,0,1
8829,2,1,3
7959,1,0,1
9544,0,1,1
9237,1,2,3
7941,2,0,2
8497,0,1,1
9458,3,1,4
8885,0,2,2
9555,0,2,2
9375,0,4,4
7620,2,0,2
7586,2,0,2
7574,3,0,3
9596,1,2,3
7566,2,0,2
9191,0,2,2
7853,0,1,1
7548,1,0,1
8733,0,1,1
8361,2,2,4
7471,4,0,4
9944,0,1,1
7366,1,0,1
7462,0,1,1
9554,0,5,5
7321,1,0,1
9222,1,2,3
8944,0,1,1
7314,1,0,1
7521,2,1,3
8921,1,4,5
7493,2,2,4
8605,1,2,3
7214,1,0,1
9954,0,3,3
9676,0,2,2
7175,2,0,2
7168,1,0,1
9206,1,1,2
7940,1,1,2
7109,2,0,2
8420,0,3,3
7626,0,1,1
7030,3,0,3
7000,2,0,2
6979,2,0,2
9723,0,1,1
9244,1,2,3
8151,1,2,3
8541,0,1,1
9584,0,2,2
8857,2,1,3
6840,3,0,3
6845,1,1,2
8696,1,3,4
9387,0,2,2
9493,0,2,2
8113,2,3,5
6807,3,1,4
9703,0,1,1
6725,1,0,1
9443,0,2,2
7157,0,1,1
6687,3,0,3
6639,3,0,3
6627,2,0,2
7882,2,2,4
6753,2,1,3
9734,0,1,1
6588,1,0,1
7346,0,2,2
6954,2,1,3
6561,1,0,1
7683,1,1,2
8325,0,2,2
6536,1,0,1
6533,1,0,1
7092,1,1,2
6518,2,0,2
6504,1,0,1
7612,0,1,1
9226,0,2,2
6462,4,0,4
8949,0,4,4
6457,3,0,3
6448,2,0,2
6633,1,2,3
6437,2,0,2
7089,4,1,5
6380,1,0,1
9720,0,4,4
9559,1,4,5
7606,1,2,3
9564,0,3,3
7395,2,2,4
9181,0,4,4
6281,1,0,1
9333,0,1,1
6270,3,0,3
9126,0,2,2
7229,0,1,1
6254,2,0,2
7931,2,1,3
8195,1,1,2
6229,1,0,1
6227,1,0,1
7188,1,1,2
6205,4,0,4
6197,1,0,1
6194,2,0,2
6481,1,1,2
8925,1,2,3
6938,2,2,4
6593,3,2,5
6153,3,0,3
6149,2,0,2
7295,4,1,5
8654,0,3,3
6137,3,0,3
9488,2,3,5
6117,3,0,3
6113,2,0,2
9384,0,2,2
8340,1,3,4
9106,0,1,1
7301,1,2,3
6076,1,0,1
6073,2,0,2
6072,1,0,1
9372,1,3,4
9190,0,4,4
9721,0,1,1
6064,3,0,3
9048,1,2,3
6063,3,0,3
9839,0,1,1
6109,0,1,1
9550,0,2,2
6026,4,0,4
6021,1,0,1
6018,1,0,1
7066,4,1,5
6017,3,0,3
7641,1,3,4
6003,2,0,2
7302,2,1,3
8381,1,2,3
5984,1,0,1
8304,0,4,4
5979,2,0,2
7508,2,2,4
7697,2,2,4
7706,0,1,1
7890,1,1,2
5929,3,0,3
6400,1,1,2
8117,1,2,3
5922,2,0,2
5907,2,0,2
5901,1,0,1
9325,2,2,4
5889,3,0,3
7430,3,1,4
7991,1,2,3
7906,0,2,2
6816,1,1,2
9264,0,4,4
5865,3,0,3
9782,0,5,5
6027,2,1,3
6372,1,2,3
8119,0,4,4
9628,0,1,1
8477,1,4,5
9249,0,3,3
6365,4,1,5
5797,1,0,1
8200,2,5,7
5789,4,0,4
5786,2,0,2
7630,0,1,1
5784,2,0,2
6000,1,2,3
8307,1,2,3
7423,3,2,5
9775,1,2,3
7013,1,1,2
9058,1,6,7
5756,1,0,1
9063,1,4,5
5746,6,0,6
9916,0,1,1
7298,2,1,3
5982,2,1,3
5743,6,0,6
8670,1,3,4
9165,1,1,2
8145,2,1,3
5722,2,0,2
5810,2,3,5
7129,1,2,3
8811,1,2,3
5703,1,0,1
9957,0,5,5
5694,4,0,4
9547,0,6,6
5673,2,0,2
6332,6,2,8
5667,2,0,2
5657,2,0,2
8300,0,2,2
7613,1,2,3
7234,1,3,4
5650,3,0,3
5647,5,0,5
7685,0,2,2
7775,1,3,4
