Node,InDegree,OutDegree,TotalDegree
176,11,4,15
417,2,19,21
236,12,12,24
257,5,11,16
162,22,7,29
302,9,17,26
424,3,15,18
363,8,16,24
483,1,23,24
76,23,0,23
293,10,10,20
183,21,8,29
203,13,9,22
263,10,9,19
161,10,5,15
143,25,5,30
110,16,1,17
84,19,1,20
253,13,10,23
357,6,15,21
348,7,15,22
281,10,15,25
202,10,10,20
159,14,8,22
490,0,25,25
452,2,17,19
448,3,26,29
262,18,11,29
246,12,10,22
498,0,28,28
462,2,26,28
313,4,7,11
131,15,7,22
325,7,14,21
179,15,7,22
206,14,6,20
80,16,2,18
377,3,16,19
185,14,7,21
173,16,7,23
419,6,21,27
267,9,9,18
171,13,5,18
384,3,21,24
339,6,12,18
274,10,7,17
122,17,8,25
238,9,7,16
231,15,11,26
135,24,3,27
46,20,0,20
156,20,10,30
479,1,20,21
319,10,11,21
496,0,26,26
493,0,23,23
461,3,18,21
324,7,19,26
457,2,16,18
330,7,22,29
251,15,8,23
196,11,8,19
108,21,6,27
436,1,22,23
379,7,15,22
316,8,19,27
219,9,15,24
451,1,23,24
311,11,14,25
303,12,15,27
192,8,14,22
170,17,6,23
71,27,1,28
468,1,28,29
431,2,19,21
167,17,4,21
163,20,11,31
126,15,3,18
95,20,7,27
40,28,1,29
415,3,21,24
240,13,6,19
36,19,0,19
359,8,14,22
295,8,10,18
275,13,11,24
113,18,4,22
428,3,21,24
248,12,10,22
200,16,8,24
92,16,1,17
72,23,2,25
51,23,2,25
487,0,25,25
454,5,26,31
401,5,20,25
395,6,14,20
351,5,19,24
350,9,22,31
331,5,24,29
124,22,6,28
33,16,0,16
58,19,1,20
47,21,2,23
453,3,23,26
367,7,18,25
294,10,11,21
277,10,9,19
198,19,12,31
130,20,4,24
74,15,4,19
478,1,23,24
252,12,7,19
480,2,23,25
466,2,23,25
445,4,21,25
443,4,26,30
441,2,25,27
213,15,12,27
207,13,10,23
134,16,7,23
94,24,6,30
87,24,6,30
455,4,22,26
427,5,21,26
306,11,9,20
288,10,16,26
239,13,9,22
226,6,16,22
218,18,9,27
82,19,4,23
61,29,3,32
482,0,29,29
463,4,31,35
314,9,14,23
220,14,8,22
149,21,5,26
140,19,5,24
335,10,17,27
150,26,10,36
470,0,26,26
430,3,21,24
347,4,22,26
304,6,14,20
258,11,12,23
208,14,7,21
142,14,6,20
28,21,2,23
484,1,28,29
429,6,16,22
407,3,18,21
403,4,21,25
329,7,14,21
266,13,17,30
212,10,13,23
210,14,8,22
201,10,7,17
497,0,32,32
398,11,20,31
360,6,15,21
318,8,29,37
271,10,11,21
138,21,7,28
70,27,1,28
35,29,1,30
368,9,21,30
355,12,11,23
342,7,18,25
199,10,14,24
190,15,10,25
154,14,2,16
469,1,24,25
383,1,18,19
289,12,7,19
216,15,15,30
155,18,6,24
73,21,2,23
471,0,18,18
409,4,16,20
340,9,19,28
222,12,16,28
187,21,14,35
115,17,9,26
69,22,2,24
60,15,4,19
59,22,4,26
444,4,18,22
433,2,22,24
402,5,13,18
361,8,24,32
343,9,22,31
287,8,13,21
280,10,11,21
100,21,3,24
97,24,5,29
64,23,3,26
439,5,32,37
437,5,20,25
378,6,16,22
241,18,18,36
223,11,15,26
205,10,6,16
146,16,7,23
57,27,4,31
458,2,24,26
421,4,16,20
244,19,17,36
229,15,5,20
211,9,13,22
166,13,4,17
158,14,6,20
139,24,10,34
53,22,2,24
41,30,1,31
21,20,2,22
408,9,23,32
337,12,17,29
245,10,6,16
224,12,12,24
221,15,9,24
184,20,8,28
136,15,9,24
114,17,4,21
88,25,6,31
79,17,5,22
56,26,4,30
44,21,1,22
31,28,2,30
24,29,2,31
16,27,0,27
426,0,29,29
326,12,25,37
278,9,16,25
268,8,11,19
195,12,10,22
77,24,6,30
54,21,5,26
20,23,1,24
15,20,0,20
494,0,28,28
491,0,24,24
486,3,21,24
440,2,23,25
460,2,29,31
438,0,15,15
181,14,10,24
23,21,1,22
404,6,14,20
147,17,4,21
243,11,13,24
500,1,31,32
118,17,6,23
375,5,20,25
499,0,22,22
242,21,14,35
332,4,10,14
75,23,3,26
459,1,20,21
449,4,20,24
413,5,17,22
394,2,27,29
137,19,5,24
392,12,20,32
117,25,5,30
374,8,20,28
371,5,25,30
315,10,14,24
215,19,9,28
472,1,14,15
204,15,7,22
321,9,14,23
67,24,3,27
194,16,8,24
308,9,11,20
160,17,10,27
141,14,8,22
85,16,3,19
42,28,3,31
299,9,15,24
420,3,22,25
39,12,3,15
296,13,11,24
26,17,5,22
283,6,14,20
476,1,22,23
65,21,2,23
322,8,21,29
446,2,31,33
189,16,12,28
411,7,27,34
485,1,21,22
228,18,11,29
358,9,18,27
101,24,11,35
227,8,12,20
354,9,15,24
312,4,18,22
55,22,5,27
292,6,17,23
290,10,9,19
197,14,14,28
191,6,6,12
148,16,9,25
405,5,16,21
120,19,5,24
385,7,16,23
128,25,6,31
4,35,1,36
261,15,10,25
63,26,6,32
320,13,19,32
152,14,8,22
25,21,4,25
282,15,17,32
475,1,23,24
3,28,0,28
62,22,3,25
388,4,20,24
307,6,10,16
50,23,2,25
434,3,17,20
177,11,7,18
297,16,14,30
43,23,6,29
260,13,10,23
6211,0,1,1
300,14,8,22
356,9,27,36
99,29,6,35
102,18,7,25
270,9,16,25
13,19,1,20
397,8,13,21
489,1,23,24
232,14,17,31
362,4,21,25
105,17,3,20
389,4,19,23
132,23,6,29
8,31,2,33
265,11,18,29
37,19,2,21
477,0,18,18
96,14,8,22
353,7,24,31
327,7,14,21
336,7,23,30
209,16,11,27
172,24,11,35
45,15,2,17
432,4,16,20
175,24,13,37
178,24,11,35
435,3,26,29
273,14,15,29
400,4,17,21
285,10,13,23
412,7,21,28
447,2,28,30
193,11,13,24
450,5,22,27
86,29,3,32
272,13,17,30
145,20,14,34
106,14,6,20
369,6,13,19
112,18,5,23
256,11,12,23
2,33,0,33
259,14,10,24
234,10,10,20
90,19,7,26
386,4,20,24
129,12,9,21
5,17,1,18
264,6,14,20
7,27,0,27
1,19,0,19
255,15,11,26
373,8,23,31
116,24,5,29
186,15,11,26
473,1,24,25
346,12,22,34
89,21,3,24
249,10,14,24
6,24,1,25
133,21,6,27
390,7,15,22
387,6,14,20
91,15,7,22
345,8,22,30
366,2,16,18
109,24,6,30
380,4,16,20
123,17,3,20
269,10,10,20
12,12,0,12
396,3,17,20
492,0,24,24
235,9,14,23
103,25,8,33
144,14,11,25
157,6,12,18
414,6,23,29
182,13,13,26
233,13,13,26
298,12,11,23
323,17,14,31
66,20,3,23
349,4,19,23
365,10,16,26
376,3,14,17
119,21,8,29
381,6,15,21
393,4,30,34
474,3,24,27
217,11,9,20
27,25,2,27
284,6,15,21
38,25,5,30
52,25,5,30
309,9,14,23
250,15,9,24
310,6,17,23
341,10,26,36
352,5,14,19
406,2,21,23
456,4,19,23
465,3,23,26
495,0,19,19
19,26,2,28
276,14,14,28
30,14,4,18
34,32,1,33
291,10,18,28
48,18,3,21
305,7,20,27
68,23,3,26
93,16,4,20
174,17,8,25
214,14,9,23
225,10,14,24
317,14,11,25
416,6,24,30
422,4,36,40
165,13,9,22
9,26,0,26
83,21,5,26
121,23,9,32
127,24,5,29
153,24,10,34
410,5,19,24
180,16,10,26
286,14,18,32
29,24,1,25
370,4,28,32
399,6,20,26
418,2,30,32
464,5,32,37
467,3,23,26
488,0,20,20
10,22,0,22
104,22,4,26
111,26,11,37
188,19,10,29
334,13,11,24
364,9,14,23
107,15,6,21
11,26,0,26
17,31,1,32
18,17,1,18
151,22,7,29
169,22,7,29
237,11,8,19
247,16,11,27
423,6,24,30
442,5,20,25
32,26,3,29
49,26,2,28
164,23,9,32
230,25,14,39
301,12,18,30
338,10,18,28
81,14,5,19
372,3,22,25
391,3,21,24
78,20,2,22
98,18,2,20
279,8,15,23
22,24,3,27
333,3,17,20
382,4,17,21
125,25,10,35
481,1,30,31
14,29,0,29
168,11,4,15
425,4,16,20
254,13,22,35
328,5,13,18
344,15,12,27
