Node,InDegree,OutDegree,TotalDegree
997,3,3,6
995,3,3,6
994,3,3,6
992,3,3,6
991,3,3,6
990,3,2,5
987,3,2,5
985,3,3,6
982,3,3,6
979,3,3,6
978,3,3,6
976,3,3,6
975,3,3,6
973,3,3,6
972,3,3,6
971,3,3,6
968,3,2,5
967,3,3,6
966,3,3,6
964,3,2,5
958,3,3,6
957,3,3,6
956,3,3,6
955,3,3,6
954,3,3,6
953,3,3,6
950,3,1,4
951,3,3,6
949,3,2,5
946,3,2,5
944,3,2,5
943,3,2,5
940,3,3,6
939,4,3,7
938,3,2,5
937,3,2,5
931,3,3,6
930,3,3,6
969,3,4,7
929,3,3,6
927,3,2,5
925,3,2,5
922,3,3,6
921,3,2,5
920,3,3,6
984,2,5,7
919,3,3,6
917,3,1,4
916,3,3,6
915,3,3,6
913,3,2,5
910,3,3,6
908,3,3,6
907,3,2,5
942,2,4,6
905,3,3,6
903,3,2,5
902,4,3,7
901,3,3,6
899,3,2,5
898,3,3,6
895,3,3,6
894,3,3,6
888,3,3,6
887,3,3,6
886,3,3,6
885,3,2,5
884,3,3,6
883,3,3,6
882,3,3,6
881,3,3,6
880,3,3,6
878,3,3,6
877,3,3,6
876,3,3,6
875,3,3,6
874,3,3,6
873,3,3,6
871,3,2,5
870,3,3,6
869,3,2,5
866,3,3,6
863,3,3,6
862,3,3,6
861,3,3,6
974,3,4,7
856,3,3,6
854,3,3,6
853,3,2,5
904,2,4,6
962,2,3,5
906,3,4,7
851,3,3,6
850,3,2,5
849,5,2,7
848,3,2,5
947,2,5,7
845,3,3,6
844,3,3,6
843,4,2,6
841,3,2,5
840,3,3,6
839,3,1,4
837,3,3,6
836,3,3,6
835,3,1,4
833,3,3,6
996,2,4,6
831,3,3,6
830,3,3,6
829,4,1,5
980,3,4,7
827,3,3,6
825,3,3,6
824,3,3,6
918,2,4,6
822,3,3,6
820,3,3,6
818,3,3,6
817,3,3,6
816,3,3,6
815,3,2,5
811,3,3,6
808,3,3,6
807,3,3,6
806,3,2,5
805,3,3,6
802,3,3,6
801,3,2,5
796,3,3,6
794,3,1,4
795,3,3,6
793,3,1,4
789,3,2,5
788,3,2,5
784,3,3,6
783,3,2,5
779,3,3,6
778,3,2,5
777,3,3,6
775,3,2,5
773,3,3,6
770,3,3,6
769,3,2,5
768,3,3,6
767,3,3,6
765,3,3,6
764,3,3,6
762,3,2,5
759,3,3,6
758,3,3,6
757,3,3,6
756,3,2,5
872,3,4,7
755,3,3,6
754,3,3,6
753,3,3,6
752,3,2,5
750,3,3,6
747,3,2,5
745,4,3,7
744,3,3,6
743,3,2,5
742,3,3,6
740,3,3,6
739,3,3,6
738,3,3,6
737,3,3,6
736,3,3,6
868,2,4,6
735,3,1,4
819,3,4,7
926,2,3,5
732,4,3,7
731,4,3,7
730,4,3,7
728,3,3,6
