Node,Hub
1000,0.0042245472
2991,0.0000000000
1,0.0000000000
2,0.0163159793
3,0.0163159793
4,0.0163159793
5,0.0370636085
6,0.0993952784
7,0.1178983126
8,0.0993952784
10,0.1076277489
11,0.0461130059
12,0.1178983126
24,0.0253450324
25,0.0991656804
33,0.0358424422
52,0.0272842414
57,0.0192877601
81,0.0246255695
98,0.0220860438
106,0.0934394767
110,0.0198712067
129,0.0250275315
133,0.0221897423
186,0.0182049815
193,0.0193542354
197,0.0217423675
253,0.0227034851
271,0.0183378240
272,0.0180237449
301,0.0194505409
304,0.0173275202
347,0.0233383920
381,0.0246762418
382,0.0188470087
436,0.0920612286
445,0.0258494304
481,0.0183455488
491,0.0188764722
503,0.0202774206
516,0.0176044110
537,0.0180052269
549,0.0173936171
650,0.0230268071
659,0.0437460861
675,0.0167775104
678,0.0201479154
741,0.0174181781
765,0.0177446792
811,0.0176162522
812,0.0168995543
827,0.0178951580
848,0.0166023296
863,0.0181489583
909,0.0237835003
941,0.0196983869
966,0.0920214647
15,0.0465598557
18,0.0948084262
20,0.1038955515
29,0.0416824277
48,0.0972135061
62,0.0210826208
67,0.0884621330
78,0.0179198188
79,0.0324519288
88,0.0169055310
93,0.0943277465
107,0.0275377771
115,0.0143621567
116,0.0203808747
118,0.0219265164
127,0.0883035169
138,0.0471849126
146,0.0886514001
180,0.0173037171
195,0.0401201878
210,0.0407823070
211,0.0210612746
296,0.0429054800
314,0.0441131164
315,0.0172425756
330,0.0151224958
333,0.0135604780
340,0.0164551167
385,0.0145147854
392,0.0167458936
397,0.0151348962
430,0.0183250513
589,0.0137384784
603,0.0235137797
660,0.0131032454
699,0.0134625880
837,0.0168961516
872,0.0244716066
882,0.0134163858
992,0.0130220028
9,0.1097461806
13,0.0301009950
14,0.1108804143
17,0.0398251733
19,0.0389945123
44,0.0626318439
83,0.0107276979
87,0.0160318159
89,0.0841441242
101,0.0094492692
103,0.0310635334
163,0.0114427818
219,0.0389337401
320,0.0086636048
343,0.0424683309
428,0.0088543084
634,0.0085748874
696,0.0093019990
701,0.0093344676
846,0.0085628216
854,0.0101974323
918,0.0151233428
16,0.0884899351
21,0.1191128848
22,0.0852061993
26,0.1100257594
28,0.1071231634
34,0.0919389164
38,0.1057461170
43,0.0813637299
56,0.1068195786
59,0.0937435340
71,0.0825270306
84,0.0827734433
96,0.1037390294
111,0.1041976446
121,0.0840577194
122,0.1112966056
124,0.0810751604
125,0.0882473330
134,0.0832874613
135,0.0871028256
139,0.0782406610
145,0.0784156717
148,0.0794927087
150,0.1064447864
151,0.0830382930
162,0.0784373102
169,0.0782544528
172,0.0945551291
179,0.0778399969
183,0.0814116995
185,0.0772738144
215,0.0788167154
238,0.0921417976
241,0.0763319383
246,0.0799028411
262,0.1038559335
267,0.0870520081
273,0.1038375992
276,0.0763575449
288,0.0765999003
295,0.0815367818
324,0.0820399218
332,0.0800564439
351,0.1082573972
359,0.0797969256
364,0.0771242325
391,0.1042076127
419,0.0768196747
427,0.0823410289
435,0.1191128848
438,0.0769958884
448,0.0825440845
450,0.0783918185
464,0.0779192159
470,0.0838693921
489,0.0777043107
538,0.0765535733
539,0.0765423474
546,0.0783815224
562,0.0807286950
588,0.0765888055
605,0.0763753898
662,0.0765467326
671,0.0787585294
673,0.0773735422
712,0.0922472838
718,0.0788781519
720,0.0829603354
729,0.0793818939
732,0.0784326836
734,0.0768873099
801,0.0819891341
820,0.0762485579
840,0.0795029891
849,0.0774788169
878,0.0781949574
935,0.0768182651
988,0.0769076795
994,0.0768382075
996,0.0811530062
23,0.0371062189
37,0.0328115867
39,0.0624022458
40,0.0293547820
42,0.0326937336
45,0.0385547061
53,0.0454949635
54,0.0583282075
60,0.0328261355
65,0.0340732457
69,0.0341146499
73,0.0306904166
76,0.0356959346
102,0.0316697054
120,0.0300106578
128,0.0472029486
131,0.0454307723
132,0.0564634670
152,0.0344247095
153,0.0563661814
154,0.0322413021
173,0.0291350995
188,0.0345614694
189,0.0331374661
203,0.0503723914
206,0.0312296213
230,0.0289470965
231,0.0274348266
239,0.0298870976
244,0.0552267920
265,0.0283338319
290,0.0276262094
306,0.0342417221
317,0.0291249748
350,0.0294275962
352,0.0272972196
374,0.0276283031
387,0.0289053573
402,0.0276938826
414,0.0294354102
469,0.0277135744
483,0.0278773750
497,0.0374336287
522,0.0274612596
554,0.0338155291
560,0.0289454265
565,0.0302782832
574,0.0290867627
597,0.0364136094
629,0.0277589684
642,0.0272112581
647,0.0282729299
686,0.0276150519
702,0.0278025671
728,0.0271778466
833,0.0345238184
845,0.0274239462
985,0.0331015821
30,0.0140183960
31,0.0167102333
50,0.0059340322
58,0.0353161427
66,0.0091984016
123,0.0113994631
345,0.0093066403
363,0.0058565280
379,0.0052625510
411,0.0055659686
421,0.0040113759
424,0.0047201858
528,0.0058693393
563,0.0043929265
586,0.0112658961
595,0.0041123174
607,0.0060831500
681,0.0116788111
716,0.0125746163
766,0.0044172213
776,0.0051603072
967,0.0046256776
36,0.0122898053
74,0.0156417205
90,0.0073058428
112,0.0115787643
156,0.0085839069
164,0.0100954591
310,0.0059431914
344,0.0059629317
377,0.0153898971
413,0.0063576091
499,0.0092752780
502,0.0076913409
505,0.0071661683
27,0.0257058753
41,0.0219616101
46,0.0222177755
47,0.0316397592
49,0.0214055915
92,0.0478522495
140,0.0178202382
143,0.0510259455
170,0.0199621644
178,0.0182728898
196,0.0200434505
208,0.0254795986
255,0.0216632703
266,0.0177928549
274,0.0229156507
277,0.0210876188
367,0.0285423543
389,0.0191650625
400,0.0177530301
406,0.0170984906
412,0.0264590093
456,0.0185571290
463,0.0243907318
548,0.0245987073
564,0.0215813356
655,0.0174819846
742,0.0167914219
747,0.0171204751
843,0.0176141143
844,0.0212917032
908,0.0169349265
916,0.0193725382
920,0.0169342832
983,0.0208774397
161,0.0033848626
217,0.0094779401
260,0.0066311333
261,0.0038080771
293,0.0043335562
356,0.0096228012
395,0.0052446678
410,0.0040184113
451,0.0033540756
478,0.0046960294
480,0.0056281091
487,0.0048653477
559,0.0045073762
637,0.0047720069
698,0.0056005114
738,0.0077057639
873,0.0037377317
948,0.0051444174
64,0.0129885359
155,0.0322444010
405,0.0102595761
462,0.0063852443
476,0.0050397977
635,0.0043150429
641,0.0392740911
656,0.0084101643
61,0.0409872166
63,0.0351239342
108,0.0347470538
158,0.0311319772
159,0.0335023622
168,0.0306852889
249,0.0360105997
268,0.0291693766
278,0.0362505205
297,0.0290521048
327,0.0302259362
331,0.0292590219
370,0.0296084935
376,0.0319556102
408,0.0291250297
420,0.0307938050
440,0.0288477947
444,0.0287813556
453,0.0380760867
507,0.0289507552
515,0.0360675964
557,0.0297447141
590,0.0304486706
620,0.0297155147
628,0.0283841313
666,0.0354413848
724,0.0317551273
744,0.0291137307
787,0.0299270281
804,0.0284413840
816,0.0296664425
861,0.0294030593
881,0.0286201470
883,0.0287792965
888,0.0291583213
889,0.0302342383
952,0.0284194551
978,0.0294592454
999,0.0283384845
35,0.0175447238
119,0.0160935087
142,0.0087631573
214,0.0078597518
223,0.0079052517
227,0.0103443233
237,0.0117562790
251,0.0084975996
264,0.0172571068
326,0.0093093140
383,0.0089542191
425,0.0079251577
519,0.0080152388
551,0.0075521228
579,0.0089168694
652,0.0074789826
887,0.0098558766
981,0.0074483728
989,0.0074806499
55,0.0121752992
77,0.0125146832
91,0.0057775116
167,0.0057437624
209,0.0044005678
308,0.0031853451
318,0.0064158315
337,0.0061290075
355,0.0069382938
828,0.0023976677
850,0.0042498787
857,0.0061189018
72,0.0195208397
109,0.0195208397
166,0.0214573637
174,0.0162903852
234,0.0118790076
250,0.0120425837
256,0.0117734801
360,0.0130018310
422,0.0099360747
431,0.0125479712
567,0.0122929123
583,0.0104372261
617,0.0111635771
619,0.0241518899
768,0.0099517784
834,0.0099519473
890,0.0099516631
900,0.0110484298
85,0.0036032810
204,0.0037468485
467,0.0105271527
602,0.0047449259
638,0.0024718118
960,0.0045013394
75,0.0212661303
80,0.0103615174
97,0.0139975900
141,0.0126710722
177,0.0115152964
192,0.0106761051
212,0.0085360435
229,0.0116930964
257,0.0097118623
281,0.0102120638
294,0.0111353884
303,0.0096935819
307,0.0083423524
312,0.0102010883
373,0.0082653637
396,0.0087769063
429,0.0149917037
437,0.0086440301
443,0.0083712093
454,0.0093448686
479,0.0090949411
599,0.0096246980
627,0.0100357517
680,0.0090697839
694,0.0097277089
754,0.0082439010
763,0.0096186373
795,0.0083771888
800,0.0086227222
832,0.0087611683
884,0.0080814779
895,0.0093780788
910,0.0083529395
947,0.0083271382
963,0.0089995314
964,0.0090970178
32,0.0112693122
130,0.0055868333
247,0.0048188142
285,0.0029654211
582,0.0021374751
692,0.0030934770
740,0.0024927045
813,0.0031424880
829,0.0087314543
349,0.0017968927
719,0.0023845219
723,0.0014279683
726,0.0016146849
730,0.0015778633
777,0.0021447244
877,0.0055546177
936,0.0020390675
940,0.0022452995
198,0.0049098394
221,0.0065011740
226,0.0048921441
289,0.0061392888
323,0.0043101214
403,0.0040967215
407,0.0052244983
433,0.0045918477
474,0.0059907434
514,0.0046351675
580,0.0039570383
653,0.0068463767
731,0.0039533878
737,0.0062983589
781,0.0081672580
791,0.0037263459
858,0.0091578818
997,0.0045626351
322,0.0051769744
394,0.0128166703
415,0.0101486523
432,0.0050112185
509,0.0059070949
639,0.0049091512
746,0.0050173843
750,0.0107433606
799,0.0064085534
819,0.0054522867
982,0.0042120735
117,0.0081378322
136,0.0073958180
199,0.0068860205
225,0.0069715544
449,0.0079594225
461,0.0087729284
495,0.0069097962
508,0.0083231800
520,0.0061156419
561,0.0080573790
566,0.0062468911
611,0.0079340001
643,0.0071262484
682,0.0067207320
714,0.0078420191
778,0.0115731641
868,0.0065892324
885,0.0070406249
912,0.0078150505
938,0.0064400145
943,0.0068041706
95,0.0100787988
113,0.0127247828
144,0.0085250592
346,0.0090442395
371,0.0136101363
545,0.0099843185
631,0.0066169864
661,0.0076849438
674,0.0073899459
709,0.0068399145
736,0.0073327421
891,0.0074633187
903,0.0066922966
953,0.0101173480
973,0.0103295561
222,0.0031517854
806,0.0018186319
86,0.0060790597
258,0.0037011949
284,0.0087031536
353,0.0048341200
482,0.0031245355
526,0.0031745264
553,0.0058309341
753,0.0042823468
771,0.0033874087
798,0.0037862490
99,0.0026378296
114,0.0053310103
286,0.0074592875
342,0.0022990844
361,0.0020976031
626,0.0004677259
82,0.0083285971
291,0.0038953606
316,0.0038993137
486,0.0034895200
498,0.0099174556
774,0.0066796093
51,0.0054178562
248,0.0045381485
442,0.0044502305
458,0.0035970043
500,0.0101298014
657,0.0036537812
679,0.0028603158
783,0.0057468010
240,0.0012118653
305,0.0005223014
325,0.0024207365
471,0.0025859907
690,0.0012655055
715,0.0025691844
236,0.0027390772
792,0.0022996095
216,0.0034180614
311,0.0026080875
358,0.0016621827
348,0.0070434138
357,0.0076219183
426,0.0028854084
670,0.0023449608
756,0.0029488192
915,0.0025127737
165,0.0041921826
201,0.0050583702
386,0.0016946538
105,0.0070640135
187,0.0031433373
399,0.0043980102
213,0.0067450216
259,0.0078518080
328,0.0056318573
475,0.0053626859
494,0.0054077637
523,0.0055092331
532,0.0057544120
570,0.0054166171
578,0.0091423248
769,0.0053543223
797,0.0062495051
809,0.0055788099
821,0.0056196355
100,0.0051304265
126,0.0046125668
543,0.0088744807
717,0.0015077204
871,0.0020548944
205,0.0048684523
270,0.0022649946
547,0.0014986905
866,0.0009050674
904,0.0011449393
942,0.0009383126
971,0.0010695078
243,0.0055439810
517,0.0032346623
527,0.0027961252
640,0.0015062356
492,0.0006835662
727,0.0025780205
880,0.0002860970
722,0.0035544361
733,0.0020414656
826,0.0009857801
282,0.0037249527
441,0.0016527540
94,0.0099221109
220,0.0081504548
339,0.0085272009
362,0.0083183187
465,0.0070218157
568,0.0105104523
775,0.0080183852
977,0.0073800739
70,0.0045717956
228,0.0041520301
365,0.0025874362
644,0.0022129775
668,0.0027354472
725,0.0035075317
823,0.0041720148
875,0.0022254899
68,0.0068882295
137,0.0028708811
393,0.0043426751
175,0.0042495819
384,0.0034405313
541,0.0017755137
569,0.0024541313
624,0.0026952705
874,0.0016477658
896,0.0024127263
147,0.0038081865
242,0.0078225773
252,0.0037472003
780,0.0018091111
867,0.0017175366
287,0.0045793912
149,0.0027317001
683,0.0019228446
104,0.0067392149
157,0.0060970311
171,0.0040495899
354,0.0035787500
544,0.0051224834
555,0.0046912637
707,0.0044446948
836,0.0040509963
933,0.0023970883
995,0.0023755933
194,0.0058784251
533,0.0043621429
974,0.0075048484
986,0.0048122270
484,0.0007580296
711,0.0007692490
762,0.0002334008
181,0.0034620284
409,0.0027100967
439,0.0027492406
468,0.0024666648
525,0.0027751142
944,0.0024104180
969,0.0038832036
218,0.0034686014
232,0.0054794193
459,0.0025384685
512,0.0034408316
632,0.0027950928
831,0.0016802977
862,0.0028588529
922,0.0013623465
190,0.0022528899
416,0.0029985603
601,0.0008617717
447,0.0015924753
587,0.0020322039
279,0.0018050423
923,0.0015524979
263,0.0036589878
466,0.0018847493
897,0.0022475385
368,0.0056347737
404,0.0031292789
530,0.0023764377
651,0.0027460126
788,0.0035199318
939,0.0027314588
684,0.0021791707
987,0.0030278102
200,0.0048882299
269,0.0017820763
417,0.0005728682
292,0.0020873418
460,0.0019003908
493,0.0006538363
695,0.0015085771
713,0.0009737750
815,0.0016473677
825,0.0005897023
224,0.0031863349
418,0.0041916896
452,0.0016601526
749,0.0057510733
772,0.0017910916
924,0.0053995801
176,0.0020680681
388,0.0010537175
182,0.0064247062
233,0.0046146952
536,0.0048443691
865,0.0039719053
886,0.0038636556
926,0.0038715715
979,0.0044855970
609,0.0009326881
914,0.0008915570
245,0.0011303894
380,0.0017449708
477,0.0018909109
581,0.0019968836
608,0.0008074058
645,0.0008252632
160,0.0063183119
235,0.0031819044
506,0.0025474925
518,0.0025172995
575,0.0033895499
748,0.0027509259
968,0.0024127058
390,0.0020867768
902,0.0011581835
928,0.0010910656
606,0.0011484095
818,0.0011484921
998,0.0010841703
504,0.0018726385
280,0.0017956568
302,0.0010067437
535,0.0012667137
759,0.0023146919
649,0.0015527797
814,0.0008217179
372,0.0007437404
375,0.0013587654
472,0.0012989577
511,0.0020084440
770,0.0004831567
299,0.0028292076
300,0.0023425378
378,0.0028412611
457,0.0022267989
571,0.0019669880
585,0.0020323077
618,0.0023530775
703,0.0027829651
784,0.0026094353
542,0.0002762715
594,0.0009218732
254,0.0030810376
648,0.0015833416
767,0.0015525599
785,0.0013235822
898,0.0011852951
336,0.0004670080
556,0.0016349595
676,0.0013623370
945,0.0011277862
366,0.0010359118
369,0.0044158922
604,0.0004100334
793,0.0026484442
184,0.0011265800
207,0.0021479200
596,0.0007222395
633,0.0014491876
752,0.0007233132
949,0.0017540623
309,0.0015937139
616,0.0014114627
665,0.0020304397
