Node,Hub,Authority
5000,0.0000049671,0.0000000000
14991,0.0000000000,0.0000000000
1,0.0000000000,0.8138006061
2,0.0568926121,0.3749180364
3,0.0568926121,0.0143586060
4,0.0568926121,0.1414988581
5,0.0929951978,0.1792044481
9,0.0751763900,0.0341573321
10,0.0718260884,0.1163077733
11,0.1003555562,0.0476627397
14,0.0799007593,0.0514580939
17,0.0662456719,0.0035917643
19,0.0651054503,0.0295021681
32,0.0822761725,0.0310980553
42,0.0613268391,0.0190989202
47,0.0605744865,0.0023298468
50,0.0861078606,0.0091128574
57,0.0689359193,0.0295133715
60,0.0622871930,0.0775370382
61,0.0616218656,0.0015038015
62,0.0793129061,0.0347492041
70,0.0621835068,0.0039075100
83,0.0668981046,0.0050513985
90,0.0629942304,0.0024940892
91,0.0839229669,0.0050805390
95,0.0615572739,0.0048110953
96,0.0822761725,0.0046207956
107,0.0612681578,0.0014479771
129,0.0603436525,0.0080124373
138,0.0609061872,0.0024720181
141,0.0625037282,0.0023840696
160,0.0589668717,0.0101929815
163,0.0646204087,0.0031452339
180,0.0581230047,0.0002285611
189,0.0588961569,0.0004698054
192,0.0585960928,0.0094322130
213,0.0603072202,0.0006121717
222,0.0581563495,0.0065132010
226,0.0630274540,0.0057273996
241,0.0618326875,0.0058797980
261,0.0596954931,0.0014581445
265,0.0577364152,0.0030345697
266,0.0674078158,0.0007465366
278,0.0745455242,0.0055169303
282,0.0724255689,0.0033221315
292,0.0607196956,0.0023684910
301,0.0707792980,0.0004307503
328,0.0671977195,0.0035779675
335,0.0839410882,0.0037037182
342,0.0579813199,0.0108499224
357,0.0712775501,0.0009530805
369,0.0596693111,0.0017838248
373,0.0631997085,0.0012694957
395,0.0601027491,0.0022178106
401,0.0588884226,0.0003482988
409,0.0590914822,0.0005393071
428,0.0592130134,0.0038828478
451,0.0700134290,0.0012284881
453,0.0609274425,0.0003344406
468,0.0580374871,0.0004883318
471,0.0836011139,0.0007203262
478,0.0619008458,0.0009873405
481,0.0613191762,0.0080353248
513,0.0590203568,0.0032748715
518,0.0581137637,0.0052440364
521,0.0643764815,0.0007261307
532,0.0606322473,0.0000000000
534,0.0580643353,0.0004789372
555,0.0577841153,0.0000000000
577,0.0577495869,0.0011692685
594,0.0587439179,0.0020581053
608,0.0580215883,0.0051586337
651,0.0604793526,0.0009510244
684,0.0657977628,0.0005463708
701,0.0576520175,0.0008606486
724,0.0580498504,0.0020824994
730,0.0580759535,0.0008661468
768,0.0591436912,0.0003610140
777,0.0586681516,0.0002881064
829,0.0586031978,0.0032277656
832,0.0578820201,0.0001560387
861,0.0595466871,0.0006896518
887,0.0591809076,0.0047890566
888,0.0588443990,0.0000131831
910,0.0577576449,0.0000653957
933,0.0595716924,0.0000000000
