Node,Authority
5000,0.0000000000
14991,0.0000000000
1,0.8138006061
2,0.3749180364
3,0.0143586060
4,0.1414988581
5,0.1792044481
9,0.0341573321
10,0.1163077733
11,0.0476627397
14,0.0514580939
17,0.0035917643
19,0.0295021681
32,0.0310980553
42,0.0190989202
47,0.0023298468
50,0.0091128574
57,0.0295133715
60,0.0775370382
61,0.0015038015
62,0.0347492041
70,0.0039075100
83,0.0050513985
90,0.0024940892
91,0.0050805390
95,0.0048110953
96,0.0046207956
107,0.0014479771
129,0.0080124373
138,0.0024720181
141,0.0023840696
160,0.0101929815
163,0.0031452339
180,0.0002285611
189,0.0004698054
192,0.0094322130
213,0.0006121717
222,0.0065132010
226,0.0057273996
241,0.0058797980
261,0.0014581445
265,0.0030345697
266,0.0007465366
278,0.0055169303
282,0.0033221315
292,0.0023684910
301,0.0004307503
328,0.0035779675
335,0.0037037182
342,0.0108499224
357,0.0009530805
369,0.0017838248
373,0.0012694957
395,0.0022178106
401,0.0003482988
409,0.0005393071
428,0.0038828478
451,0.0012284881
453,0.0003344406
468,0.0004883318
471,0.0007203262
478,0.0009873405
481,0.0080353248
513,0.0032748715
518,0.0052440364
521,0.0007261307
532,0.0000000000
534,0.0004789372
555,0.0000000000
577,0.0011692685
594,0.0020581053
608,0.0051586337
651,0.0009510244
684,0.0005463708
701,0.0008606486
724,0.0020824994
730,0.0008661468
768,0.0003610140
777,0.0002881064
829,0.0032277656
832,0.0001560387
861,0.0006896518
887,0.0047890566
888,0.0000131831
910,0.0000653957
933,0.0000000000
956,0.0001556697
972,0.0000047669
974,0.0002575554
1035,0.0002076076
1061,0.0001511113
1067,0.0001369313
1089,0.0000392488
1110,0.0083428644
1186,0.0006983851
1205,0.0012628338
1221,0.0000000593
1243,0.0013594827
1259,0.0001399212
1287,0.0033416795
1297,0.0000098309
1311,0.0001413909
1315,0.0006098984
1389,0.0021814336
1397,0.0000952814
1475,0.0000942427
1526,0.0000053807
1649,0.0041778796
1674,0.0041696037
1713,0.0002278253
1731,0.0002711296
1748,0.0000446652
1771,0.0000014759
1783,0.0042737414
1798,0.0022973342
1805,0.0001011848
1811,0.0001524060
1821,0.0001259855
1823,0.0000000000
1841,0.0000125145
1853,0.0003129959
1904,0.0000000000
1948,0.0000293809
1959,0.0000000000
2006,0.0019067564
2117,0.0003687299
2218,0.0005786644
2269,0.0000329393
2502,0.0003236934
2601,0.0000060062
2611,0.0000000000
2622,0.0000000000
2631,0.0000000000
2646,0.0000482327
2677,0.0000000000
2699,0.0000268721
2717,0.0000295340
2741,0.0000253013
2776,0.0000056246
2785,0.0000000000
2795,0.0000105356
2797,0.0000310331
2810,0.0000000000
2868,0.0000000000
2889,0.0000000004
2994,0.0000088635
3002,0.0000000000
3043,0.0000011125
3062,0.0000000000
3134,0.0000000000
3176,0.0000374892
3215,0.0000169496
3287,0.0000000000
3334,0.0000138991
3372,0.0001781158
3378,0.0000000000
3417,0.0000293558
3478,0.0000000000
3497,0.0000000000
3505,0.0000000000
3555,0.0000000000
3562,0.0000980772
3589,0.0013095939
3598,0.0000000000
3625,0.0000080466
3694,0.0000000000
3708,0.0001205355
3734,0.0000000000
3773,0.0000212653
3787,0.0000000000
3837,0.0000166286
3866,0.0000000000
3869,0.0001152146
3954,0.0000000000
4005,0.0000000000
4009,0.0000000000
4015,0.0000000000
4027,0.0000000000
4058,0.0002022435
4139,0.0000036054
4174,0.0000000000
4175,0.0000000000
4270,0.0000000000
4306,0.0000000000
4326,0.0000000000
4342,0.0000000000
4601,0.0000000000
4619,0.0000208259
4667,0.0000000000
4715,0.0000000000
4862,0.0000000000
4882,0.0000000000
6,0.0344062749
7,0.2467825482
8,0.0823295007
12,0.0351481905
13,0.0203369115
20,0.0061969984
27,0.0559615308
33,0.0187916830
39,0.0144626734
69,0.0139935170
72,0.0117282830
75,0.0010712595
81,0.0080751017
89,0.0038344584
109,0.0032186852
117,0.0069687615
124,0.0073869280
139,0.0221699397
143,0.0089122205
156,0.0093022626
159,0.0059681204
170,0.0025013974
184,0.0102166767
193,0.0006683281
195,0.0019661919
216,0.0007143617
220,0.0017517650
247,0.0014648118
260,0.0019971113
264,0.0034200384
285,0.0000313009
317,0.0023305455
324,0.0026059791
332,0.0058061068
358,0.0040489956
363,0.0055166223
371,0.0000000000
380,0.0029435450
384,0.0000000000
397,0.0012820111
400,0.0009172145
426,0.0006364813
438,0.0016575655
445,0.0065022256
447,0.0006837234
449,0.0000000000
452,0.0002295739
469,0.0000291742
495,0.0007436101
506,0.0009887610
526,0.0045310813
537,0.0007632167
683,0.0021882412
703,0.0003728020
714,0.0034231223
715,0.0005035732
750,0.0000546122
917,0.0041411936
947,0.0001428990
966,0.0063651513
980,0.0000387940
981,0.0058174248
996,0.0041734107
999,0.0007096221
1062,0.0001111671
1118,0.0000178785
1122,0.0001039793
1126,0.0000251684
1226,0.0000330062
1236,0.0012827197
1244,0.0012180261
1250,0.0000000000
1269,0.0003070416
1277,0.0000902405
1284,0.0000292793
1312,0.0001432340
1320,0.0000032159
1337,0.0000202996
1395,0.0001213149
1410,0.0001644102
1414,0.0000232328
1424,0.0000000000
1434,0.0000031446
1454,0.0000000000
1498,0.0000181352
1530,0.0000116751
1580,0.0000000000
1601,0.0000000000
1611,0.0008854661
1626,0.0001717033
1635,0.0023722503
1801,0.0000000000
1856,0.0000575502
1906,0.0000244862
1933,0.0000000000
1966,0.0002152146
2092,0.0000487034
2108,0.0000996005
2111,0.0000172887
2113,0.0001245060
2171,0.0000068408
2240,0.0000017095
2258,0.0000218713
2267,0.0000034913
2291,0.0000338966
2416,0.0000990252
2438,0.0000000000
2445,0.0001920026
2451,0.0019869655
2519,0.0000000000
2527,0.0000252421
2597,0.0000093451
2645,0.0043355055
2782,0.0000000000
2813,0.0000000000
2863,0.0001071009
2870,0.0000000000
2880,0.0000002615
2930,0.0000008424
3070,0.0004204738
3121,0.0000000000
3168,0.0000000000
3211,0.0000000000
3225,0.0000000000
3238,0.0001225827
3247,0.0000000000
3375,0.0000130848
3439,0.0000029012
3483,0.0000000000
3530,0.0000000000
3547,0.0000000000
3641,0.0000022899
3685,0.0000674110
3690,0.0000448423
3698,0.0000000000
3766,0.0000000000
3784,0.0000643641
3792,0.0000000000
3839,0.0000013402
3849,0.0003344032
3894,0.0000000000
4023,0.0000000000
4109,0.0000000383
4112,0.0000000000
4120,0.0000000000
4131,0.0000000000
4165,0.0000000000
4272,0.0000000000
4279,0.0000000000
4295,0.0000000000
4356,0.0000029329
4389,0.0000000000
4409,0.0000000000
4416,0.0000000000
4421,0.0000000000
4563,0.0000000000
4740,0.0000000000
4746,0.0000000000
4751,0.0000000000
4855,0.0003826935
4900,0.0000036236
4926,0.0000000000
123,0.0087633887
190,0.0022632915
553,0.0013329112
841,0.0001142512
1041,0.0001578900
1166,0.0000443906
1518,0.0000088535
1639,0.0000875683
1672,0.0000000000
1682,0.0002321132
1789,0.0005983932
1873,0.0000211548
1909,0.0000289747
1946,0.0007242361
2387,0.0000046880
2406,0.0000453453
2423,0.0000942427
2514,0.0000397997
2826,0.0000778573
3437,0.0001933387
3534,0.0000000000
3572,0.0009222090
3675,0.0000000000
3821,0.0000000000
4282,0.0001214373
4426,0.0000034576
4483,0.0000000000
4753,0.0000000000
4836,0.0000000000
4913,0.0000000000
21,0.0655830534
26,0.0230633728
28,0.0201348305
36,0.0016627211
40,0.0126346820
49,0.0114301475
53,0.0167221158
71,0.0087641045
80,0.0010048189
84,0.0016591221
104,0.0006460024
110,0.0080680589
116,0.0033020851
118,0.0017240839
127,0.0029082065
132,0.0006649776
146,0.0229039906
167,0.0048064570
171,0.0069459549
172,0.0047632997
198,0.0075510251
205,0.0024661999
248,0.0001702646
271,0.0032373743
315,0.0008011611
331,0.0119874929
385,0.0020688177
396,0.0007057127
398,0.0010351376
431,0.0009898583
465,0.0003344394
472,0.0000000000
558,0.0045403998
566,0.0025774376
572,0.0005420404
639,0.0001025481
731,0.0013844139
744,0.0001760616
758,0.0013845454
791,0.0015692157
816,0.0002743334
895,0.0002860163
952,0.0000898447
955,0.0003037110
970,0.0000866276
977,0.0005858078
1025,0.0000080458
1032,0.0000478159
1088,0.0040176044
1151,0.0001396894
1180,0.0002813458
1219,0.0000011968
1257,0.0000000000
1294,0.0033562886
1296,0.0012018535
1353,0.0002399413
1417,0.0001812578
1487,0.0000000000
1513,0.0001813816
1553,0.0002918795
1602,0.0000263212
1633,0.0000876199
1677,0.0001077300
1726,0.0000837655
1740,0.0000001984
1804,0.0003428538
1842,0.0000098792
1917,0.0001540154
1936,0.0000000000
1965,0.0001739457
1990,0.0000500168
2039,0.0000002034
2084,0.0040204016
2119,0.0000000000
2241,0.0001325505
2278,0.0000000000
2332,0.0000496404
2342,0.0000001528
2429,0.0000000000
2473,0.0003092798
2705,0.0001385943
2737,0.0000000000
2748,0.0000236516
3009,0.0020484998
3124,0.0000000000
3189,0.0000621853
3244,0.0000000000
3261,0.0002210478
3284,0.0000000000
3396,0.0000000000
3399,0.0000474488
3413,0.0000000000
3524,0.0000000000
3755,0.0000000000
3871,0.0000452097
4031,0.0000004362
4037,0.0000000000
4076,0.0000000000
4233,0.0000012664
4267,0.0000290212
4301,0.0000000000
4316,0.0000000000
4352,0.0000000000
4603,0.0000000000
4626,0.0000000000
4695,0.0000000000
4755,0.0000000000
15,0.0675582449
22,0.0429813363
23,0.0237483495
24,0.0119697655
43,0.0070888162
73,0.0082767044
97,0.0056000772
102,0.0088242576
115,0.0126970201
125,0.0012019080
152,0.0143484683
165,0.0088935340
168,0.0024396580
174,0.0062480238
177,0.0046680887
223,0.0007837817
250,0.0045701358
269,0.0005520067
270,0.0071244489
308,0.0009318184
320,0.0046750190
474,0.0006282730
482,0.0011663254
507,0.0002080142
552,0.0044425755
589,0.0000000000
595,0.0000000000
634,0.0025166972
698,0.0000000000
707,0.0000000000
769,0.0020375001
771,0.0015562707
788,0.0001535829
802,0.0000208262
842,0.0004271187
893,0.0003868381
906,0.0047955846
914,0.0000004607
916,0.0011592679
988,0.0000387940
1030,0.0007249955
1052,0.0002838883
1085,0.0000492011
1094,0.0000000000
1095,0.0002445801
1131,0.0001872151
1153,0.0000626221
1162,0.0001771220
1176,0.0005548242
1327,0.0001341188
1348,0.0002213455
1394,0.0000081430
1415,0.0000000000
1429,0.0003560971
1460,0.0000000000
1483,0.0040667250
1494,0.0001129125
1573,0.0004482536
1617,0.0000452830
1660,0.0000623335
1718,0.0040172130
1762,0.0000000000
1773,0.0000912736
1828,0.0000170928
1849,0.0000000000
1852,0.0000000000
1891,0.0000000000
1939,0.0000215533
1947,0.0000032869
2086,0.0000000000
2177,0.0012721958
2281,0.0000980315
2353,0.0000036364
2556,0.0000000000
2594,0.0000000000
2625,0.0000232691
2649,0.0001003849
2733,0.0000748900
2751,0.0000482249
2758,0.0000000000
2831,0.0000000000
2879,0.0000000000
2944,0.0000000000
3035,0.0000210683
3123,0.0000028790
3162,0.0000000000
3196,0.0000000000
3338,0.0000076662
3342,0.0000000000
3350,0.0000902802
3354,0.0000993893
3405,0.0000009012
3450,0.0000000000
3539,0.0000000000
3617,0.0000000000
3650,0.0000000000
3823,0.0000000000
3908,0.0000000000
4022,0.0000108658
4033,0.0000000000
4054,0.0000009881
4103,0.0000000000
4113,0.0000000000
4183,0.0018640640
4222,0.0000000000
4264,0.0000000000
4271,0.0000013672
4341,0.0000159310
4349,0.0000000000
4419,0.0000000000
4449,0.0000000000
4461,0.0000000000
4588,0.0000000000
4602,0.0000000000
4645,0.0000000000
4779,0.0000000000
4861,0.0000000000
4986,0.0000000000
34,0.0072990407
65,0.0092733467
76,0.0007638805
112,0.0169973949
137,0.0129791091
162,0.0006276581
218,0.0004401859
245,0.0000670387
294,0.0051641110
298,0.0122145544
374,0.0043614021
576,0.0004657243
834,0.0050968593
1005,0.0023075185
1178,0.0003040258
1308,0.0000000000
1319,0.0013994687
1392,0.0012702802
1501,0.0002971691
1575,0.0014722120
1634,0.0000727674
1704,0.0096247004
1717,0.0001355267
1867,0.0000296686
1923,0.0004724590
2138,0.0011605470
2399,0.0000967703
2685,0.0000042750
2687,0.0000000000
2985,0.0001904964
