Node,Hub,Authority
12592,0.0000000000,0.0000000000
49621,0.0000000000,0.0000000000
1,0.0000000000,0.0016943176
2,0.0000524359,0.0012929741
3,0.0000524359,0.0001714090
4,0.0000524359,0.0087680540
5,0.0000524359,0.0005724847
6,0.0000524359,0.0012511986
7,0.0000524359,0.0103550430
8,0.0003237907,0.0088169218
9,0.0003729050,0.0102305567
10,0.0000524359,0.0005177177
11,0.0003690524,0.0022215261
12,0.0000524359,0.0004920728
2154,0.0042067116,0.0005609850
2182,0.0002989271,0.0014135548
3619,0.0292108061,0.0047614339
3993,0.0110011410,0.0075983400
11825,0.0085440358,0.0003368446
71,0.0002092847,0.0018502508
543,0.0005023746,0.0062476921
2160,0.0025237294,0.0004560641
2734,0.0013890381,0.0006838949
3574,0.0000686343,0.0008298661
3703,0.0025969439,0.0002362765
5463,0.0050521877,0.0001778600
5877,0.0019636081,0.0000000000
5953,0.0055385554,0.0000000000
9150,0.0040771697,0.0000015132
9274,0.0011167337,0.0000018464
9746,0.0010907263,0.0000000000
9980,0.0045414129,0.0000000000
11295,0.0051765635,0.0000000000
11318,0.0000642945,0.0000000000
11429,0.0002816193,0.0000000000
11873,0.0055856436,0.0000000000
439,0.0467689835,0.1211176221
750,0.0089881744,0.0089748919
1904,0.0056873378,0.0015044127
2190,0.0301698357,0.0187722943
2194,0.0024270430,0.0003443587
2345,0.0075766052,0.0045174611
2969,0.0024180469,0.0015212102
2975,0.0071823730,0.0022258064
3283,0.0267968818,0.0025398092
3439,0.0049840471,0.0007289029
3442,0.0063091355,0.0034177834
3669,0.0081380093,0.0033823903
3991,0.0048900974,0.0014685031
3992,0.0014264776,0.0030504391
3995,0.0050246523,0.0019626111
3998,0.0011101059,0.0010905963
3999,0.0079417854,0.0015914134
4031,0.0079811005,0.0015170139
4814,0.0036650374,0.0001887759
4815,0.0014568017,0.0006665401
5428,0.0108407602,0.0002369112
5509,0.0075640008,0.0003386587
6776,0.0054354272,0.0031576246
7716,0.0068031996,0.0004227061
8462,0.0124073290,0.0003206519
11016,0.0071093568,0.0003612198
11093,0.0119245464,0.0000000000
11764,0.0063178816,0.0003352454
11867,0.0071049202,0.0000000000
5980,0.0021832624,0.0001161167
8188,0.0080323160,0.0004363772
10432,0.0027439553,0.0000000000
1937,0.0026860573,0.0042606792
2401,0.0013641305,0.0003564012
3052,0.0016570261,0.0002942087
3338,0.0149995984,0.0059561908
5611,0.0061545552,0.0013253962
11133,0.0017196063,0.0000027463
200,0.0032295689,0.0151307221
443,0.0054056586,0.0030483781
448,0.0031488339,0.0055564133
548,0.0005142567,0.0012160673
752,0.0055038318,0.0083850929
767,0.0265290962,0.0088725565
769,0.0064501257,0.0042717654
1941,0.0012659219,0.0029299132
2156,0.0026458591,0.0006371186
2335,0.0046617012,0.0011518497
2349,0.0119693867,0.0020170926
3057,0.0060748957,0.0009655861
3447,0.0010830355,0.0012656315
3448,0.0083359208,0.0009654642
3589,0.0119747839,0.0011270452
5312,0.0071654527,0.0001173168
5510,0.0034144661,0.0030402246
5676,0.0051422036,0.0008809008
5795,0.0067098767,0.0000000000
5991,0.0098929550,0.0004739611
7205,0.0052203018,0.0000000000
7805,0.0072188501,0.0000000000
7817,0.0074652617,0.0003513861
7898,0.0039955043,0.0000049971
7901,0.0051938938,0.0002198855
7964,0.0287516607,0.0001467218
8089,0.0063646800,0.0003276930
11406,0.0026035398,0.0000000000
12267,0.0108220458,0.0000000000
249,0.0219680078,0.0480917454
355,0.0014447131,0.0048562561
437,0.0003615069,0.0058008992
452,0.0250234617,0.0034470067
454,0.0247844642,0.0185576732
760,0.0078697327,0.0031858108
3280,0.0064845074,0.0023653663
4545,0.0249478585,0.0024221918
5079,0.0003438261,0.0000493261
6654,0.0003541438,0.0000000000
6864,0.0261307580,0.0001540325
357,0.0004289369,0.0160597616
397,0.0234303391,0.0426237516
725,0.0047791409,0.0038577661
751,0.0254111537,0.0028298096
757,0.0091000518,0.0097321005
1152,0.0276462593,0.0074534654
1155,0.0045678643,0.0067923217
1158,0.0250874228,0.0105887394
1312,0.0347062676,0.0354365613
2103,0.0267432523,0.0054356182
3192,0.0014088412,0.0011446168
3286,0.0269451261,0.0046934187
