Node,Hub
12592,0.0000000000
49621,0.0000000000
1,0.0000000000
2,0.0000524359
3,0.0000524359
4,0.0000524359
5,0.0000524359
6,0.0000524359
7,0.0000524359
8,0.0003237907
9,0.0003729050
10,0.0000524359
11,0.0003690524
12,0.0000524359
2154,0.0042067116
2182,0.0002989271
3619,0.0292108061
3993,0.0110011410
11825,0.0085440358
71,0.0002092847
543,0.0005023746
2160,0.0025237294
2734,0.0013890381
3574,0.0000686343
3703,0.0025969439
5463,0.0050521877
5877,0.0019636081
5953,0.0055385554
9150,0.0040771697
9274,0.0011167337
9746,0.0010907263
9980,0.0045414129
11295,0.0051765635
11318,0.0000642945
11429,0.0002816193
11873,0.0055856436
439,0.0467689835
750,0.0089881744
1904,0.0056873378
2190,0.0301698357
2194,0.0024270430
2345,0.0075766052
2969,0.0024180469
2975,0.0071823730
3283,0.0267968818
3439,0.0049840471
3442,0.0063091355
3669,0.0081380093
3991,0.0048900974
3992,0.0014264776
3995,0.0050246523
3998,0.0011101059
3999,0.0079417854
4031,0.0079811005
4814,0.0036650374
4815,0.0014568017
5428,0.0108407602
5509,0.0075640008
6776,0.0054354272
7716,0.0068031996
8462,0.0124073290
11016,0.0071093568
11093,0.0119245464
11764,0.0063178816
11867,0.0071049202
5980,0.0021832624
8188,0.0080323160
10432,0.0027439553
1937,0.0026860573
2401,0.0013641305
3052,0.0016570261
3338,0.0149995984
5611,0.0061545552
11133,0.0017196063
200,0.0032295689
443,0.0054056586
448,0.0031488339
548,0.0005142567
752,0.0055038318
767,0.0265290962
769,0.0064501257
1941,0.0012659219
2156,0.0026458591
2335,0.0046617012
2349,0.0119693867
3057,0.0060748957
3447,0.0010830355
3448,0.0083359208
3589,0.0119747839
5312,0.0071654527
5510,0.0034144661
5676,0.0051422036
5795,0.0067098767
5991,0.0098929550
7205,0.0052203018
7805,0.0072188501
7817,0.0074652617
7898,0.0039955043
7901,0.0051938938
7964,0.0287516607
8089,0.0063646800
11406,0.0026035398
12267,0.0108220458
249,0.0219680078
355,0.0014447131
437,0.0003615069
452,0.0250234617
454,0.0247844642
760,0.0078697327
3280,0.0064845074
4545,0.0249478585
5079,0.0003438261
6654,0.0003541438
6864,0.0261307580
357,0.0004289369
397,0.0234303391
725,0.0047791409
751,0.0254111537
757,0.0091000518
1152,0.0276462593
1155,0.0045678643
1158,0.0250874228
1312,0.0347062676
2103,0.0267432523
3192,0.0014088412
3286,0.0269451261
4146,0.0260825052
4463,0.0040821670
5490,0.0247771020
9657,0.0040779671
9893,0.0003166165
2350,0.0084743485
5763,0.0001284683
11414,0.0006405788
13,0.0000000000
14,0.0000401650
15,0.0000401650
16,0.0000401650
17,0.0000401650
18,0.0000401650
19,0.0000401650
20,0.0000401650
21,0.0000401650
22,0.0000401650
23,0.0000401650
2247,0.0056619199
5847,0.0006190384
7109,0.0009459989
8480,0.0011140456
10102,0.0207852284
132,0.0219522906
207,0.0176590003
444,0.0082642663
450,0.0045793753
485,0.0014106908
594,0.0020159778
883,0.0002639981
884,0.0062777007
