Node,Hub,Authority
27769,0.0023738863,0.0000000000
352285,0.0000000000,0.0000000000
1,0.0000000000,0.0153983344
1025,0.0003829695,0.0033185587
1642,0.0036862344,0.0720000414
1664,0.0004509148,0.0353834078
2556,0.0010071684,0.0044370885
3773,0.0021836930,0.0148533494
4190,0.0020240161,0.0132700119
5946,0.0018500284,0.0047147540
8360,0.0043782884,0.0307290960
9082,0.0023372659,0.0247491899
9189,0.0029590282,0.0013757379
11816,0.0002783193,0.0004134694
12460,0.0020510069,0.0164412980
12574,0.0032417331,0.0126693978
12838,0.0018554030,0.0070157236
13240,0.0124555358,0.0560686620
13695,0.0016011518,0.0167485078
14159,0.0286818562,0.1215336041
14350,0.0210931788,0.1037228838
15236,0.0118442831,0.0322083337
15603,0.0307170707,0.2008164934
15793,0.0100340075,0.0632861110
15846,0.0045371069,0.0350169035
15886,0.0098719032,0.0067386029
15913,0.0091713311,0.0075574725
15960,0.0178119051,0.0648209343
16012,0.0185502695,0.0405602475
16084,0.0078964878,0.0076250873
16145,0.0094296856,0.0377221284
16172,0.0132675556,0.0099016660
16280,0.0141378363,0.0295789167
16376,0.0185278125,0.0382351752
16475,0.0138416776,0.0165627119
16532,0.0238473357,0.0384273370
16845,0.0158498015,0.0066201661
16922,0.0199380786,0.0373962957
16930,0.0153265042,0.0201964389
16963,0.0282373407,0.0601845281
17097,0.0163330975,0.0089940877
17466,0.0220592604,0.0155196202
17550,0.0280627748,0.0864358370
17638,0.0204647984,0.0431769238
17701,0.0122581475,0.0373559705
17836,0.0140282287,0.0218804835
17847,0.0195217942,0.0443925983
17852,0.0401008091,0.0560364752
18252,0.0224923802,0.0238398222
18288,0.0083202715,0.0020948203
18317,0.0142254469,0.0173829349
18340,0.0057403650,0.0112362504
18638,0.0102948376,0.0186968728
18680,0.0094762083,0.0147073901
18793,0.0051592330,0.0037576727
18962,0.0073422221,0.0111446402
18963,0.0137787333,0.0089521629
19113,0.0276631858,0.0175722528
19486,0.0392933066,0.0250657382
19682,0.0145711361,0.0051566417
19979,0.0066606929,0.0110858156
20098,0.0120823012,0.0057566044
20156,0.0225762908,0.0089739477
20196,0.0109672365,0.0062084972
20281,0.0090387082,0.0046765246
20363,0.0301501989,0.0529883805
20513,0.0081680750,0.0025210736
20658,0.0165760300,0.0096510064
20672,0.0127226037,0.0109131862
20728,0.0139559246,0.0082316375
20841,0.0148255014,0.0041745717
20868,0.0104659447,0.0016954618
21094,0.0123920041,0.0022451181
21121,0.0131200479,0.0065276033
21128,0.0080737558,0.0006771702
21936,0.0167899204,0.0089789094
21991,0.0027296136,0.0003961185
22059,0.0016233232,0.0014561336
22185,0.0192728808,0.0077640865
22197,0.0027079463,0.0009073449
22785,0.0064730201,0.0018910954
23305,0.0034121129,0.0014522557
23447,0.0081105759,0.0007748649
23551,0.0067198727,0.0011761444
24493,0.0317670590,0.0137126923
24766,0.0146872193,0.0009936702
25917,0.0077203669,0.0005418984
26383,0.0016099501,0.0003564326
26567,0.0093696524,0.0000000000
26701,0.0253129681,0.0008402597
26871,0.0081817419,0.0000207989
26883,0.0015441441,0.0000000000
26990,0.0099956053,0.0007862030
27215,0.0094740069,0.0004168706
27225,0.0098908252,0.0002836452
27245,0.0074829013,0.0001828535
2,0.0000000000,0.0083194590
13,0.0001140176,0.0017671735
33,0.0001899482,0.0095313103
68,0.0002404420,0.0063043359
77,0.0001120594,0.0139110406
114,0.0001120594,0.0160402350
183,0.0004278175,0.0161744945
200,0.0002820351,0.0020772999
250,0.0009442836,0.0169406644
263,0.0004185677,0.0054991021
265,0.0003502119,0.0029832532
266,0.0004775607,0.0059627671
354,0.0009537423,0.0027719109
434,0.0003642556,0.0173926350
549,0.0011566620,0.0085689287
609,0.0015320851,0.0104471807
658,0.0004218004,0.0038665052
858,0.0006163485,0.0140513124
880,0.0030098658,0.0065503209
942,0.0004622014,0.0034406241
1012,0.0007804865,0.0198929895
1081,0.0019329831,0.0051256008
1116,0.0015021721,0.0065968040
1119,0.0003355130,0.0032173918
1496,0.0028315147,0.0278485407
1593,0.0018544185,0.0123785540
1676,0.0031955842,0.0165815664
1843,0.0030415907,0.0179135292
1897,0.0014364815,0.0054344078
2138,0.0015839721,0.0038828241
2646,0.0016189776,0.0113278622
2812,0.0040789210,0.0091579242
2874,0.0023235328,0.0026341780
2898,0.0025806828,0.0149591978
2934,0.0026581448,0.0054222044
2989,0.0013079282,0.0037489940
3087,0.0007518273,0.0003181126
3132,0.0032715451,0.0203677690
3244,0.0011566813,0.0020379728
3294,0.0032087920,0.0129049291
3786,0.0011798484,0.0044842172
3948,0.0035147320,0.0039233420
4144,0.0055516022,0.0147373190
4338,0.0008900323,0.0020641459
10291,0.0038826866,0.0026251933
10516,0.0002842179,0.0007888981
11141,0.0006996810,0.0006177964
11832,0.0007043766,0.0006684749
12065,0.0001475406,0.0000000000
13345,0.0007507816,0.0000292790
17975,0.0156607575,0.0058302865
23025,0.0180096737,0.0059270106
23750,0.0049887190,0.0007659376
24128,0.0053438402,0.0013678803
24379,0.0106853590,0.0015758365
24841,0.0218301110,0.0087436106
25328,0.0169763351,0.0105588389
25357,0.0166367433,0.0096903045
25689,0.0483135299,0.0111974509
25893,0.0163287155,0.0016928930
26085,0.0181385547,0.0036288315
26167,0.0746743437,0.0091410665
26294,0.0336346700,0.0057158985
26412,0.0174977742,0.0012232372
26547,0.0065051044,0.0015803420
26634,0.0111571396,0.0026857711
26673,0.0149101473,0.0025843532
26742,0.0050013740,0.0014828466
26766,0.0043214052,0.0009101511
26804,0.0161071362,0.0015000210
26816,0.0115137001,0.0021609266
26821,0.0116940933,0.0033274422
26884,0.0174436543,0.0009263888
26897,0.0339011356,0.0030634367
27133,0.0146857433,0.0013777313
27198,0.0140432665,0.0012144092
27497,0.0338236082,0.0011944698
27599,0.0086778532,0.0003726498
27612,0.0180770616,0.0000000000
27666,0.0058258368,0.0000000000
3,0.0000000000,0.0001453777
100,0.0001303407,0.0015694636
157,0.0001177341,0.0022988971
202,0.0001061908,0.0020249197
340,0.0006289512,0.0035444431
483,0.0010255485,0.0053476599
539,0.0014698612,0.0188268639
623,0.0007970512,0.0014898672
765,0.0003847589,0.0029699451
869,0.0016631747,0.0028665191
1159,0.0008706968,0.0025111838
1388,0.0003732632,0.0022725540
2073,0.0010791179,0.0015158515
4638,0.0005095714,0.0015480061
27718,0.0013328674,0.0000000000
4,0.0000000000,0.0000000039
34,0.0000000001,0.0000003315
24440,0.0000002916,0.0000000000
