Node,Hub
27769,0.0023738863
352285,0.0000000000
1,0.0000000000
1025,0.0003829695
1642,0.0036862344
1664,0.0004509148
2556,0.0010071684
3773,0.0021836930
4190,0.0020240161
5946,0.0018500284
8360,0.0043782884
9082,0.0023372659
9189,0.0029590282
11816,0.0002783193
12460,0.0020510069
12574,0.0032417331
12838,0.0018554030
13240,0.0124555358
13695,0.0016011518
14159,0.0286818562
14350,0.0210931788
15236,0.0118442831
15603,0.0307170707
15793,0.0100340075
15846,0.0045371069
15886,0.0098719032
15913,0.0091713311
15960,0.0178119051
16012,0.0185502695
16084,0.0078964878
16145,0.0094296856
16172,0.0132675556
16280,0.0141378363
16376,0.0185278125
16475,0.0138416776
16532,0.0238473357
16845,0.0158498015
16922,0.0199380786
16930,0.0153265042
16963,0.0282373407
17097,0.0163330975
17466,0.0220592604
17550,0.0280627748
17638,0.0204647984
17701,0.0122581475
17836,0.0140282287
17847,0.0195217942
17852,0.0401008091
18252,0.0224923802
18288,0.0083202715
18317,0.0142254469
18340,0.0057403650
18638,0.0102948376
18680,0.0094762083
18793,0.0051592330
18962,0.0073422221
18963,0.0137787333
19113,0.0276631858
19486,0.0392933066
19682,0.0145711361
19979,0.0066606929
20098,0.0120823012
20156,0.0225762908
20196,0.0109672365
20281,0.0090387082
20363,0.0301501989
20513,0.0081680750
20658,0.0165760300
20672,0.0127226037
20728,0.0139559246
20841,0.0148255014
20868,0.0104659447
21094,0.0123920041
21121,0.0131200479
21128,0.0080737558
21936,0.0167899204
21991,0.0027296136
22059,0.0016233232
22185,0.0192728808
22197,0.0027079463
22785,0.0064730201
23305,0.0034121129
23447,0.0081105759
23551,0.0067198727
24493,0.0317670590
24766,0.0146872193
25917,0.0077203669
26383,0.0016099501
26567,0.0093696524
26701,0.0253129681
26871,0.0081817419
26883,0.0015441441
26990,0.0099956053
27215,0.0094740069
27225,0.0098908252
27245,0.0074829013
2,0.0000000000
13,0.0001140176
33,0.0001899482
68,0.0002404420
77,0.0001120594
114,0.0001120594
183,0.0004278175
200,0.0002820351
250,0.0009442836
263,0.0004185677
265,0.0003502119
266,0.0004775607
354,0.0009537423
434,0.0003642556
549,0.0011566620
609,0.0015320851
658,0.0004218004
858,0.0006163485
880,0.0030098658
942,0.0004622014
1012,0.0007804865
1081,0.0019329831
1116,0.0015021721
1119,0.0003355130
1496,0.0028315147
1593,0.0018544185
1676,0.0031955842
1843,0.0030415907
1897,0.0014364815
2138,0.0015839721
2646,0.0016189776
2812,0.0040789210
2874,0.0023235328
2898,0.0025806828
2934,0.0026581448
2989,0.0013079282
3087,0.0007518273
3132,0.0032715451
3244,0.0011566813
3294,0.0032087920
3786,0.0011798484
3948,0.0035147320
4144,0.0055516022
4338,0.0008900323
10291,0.0038826866
10516,0.0002842179
11141,0.0006996810
11832,0.0007043766
12065,0.0001475406
13345,0.0007507816
17975,0.0156607575
23025,0.0180096737
23750,0.0049887190
24128,0.0053438402
24379,0.0106853590
24841,0.0218301110
25328,0.0169763351
25357,0.0166367433
25689,0.0483135299
25893,0.0163287155
26085,0.0181385547
26167,0.0746743437
26294,0.0336346700
26412,0.0174977742
26547,0.0065051044
26634,0.0111571396
26673,0.0149101473
26742,0.0050013740
26766,0.0043214052
26804,0.0161071362
26816,0.0115137001
26821,0.0116940933
26884,0.0174436543
26897,0.0339011356
27133,0.0146857433
27198,0.0140432665
27497,0.0338236082
27599,0.0086778532
27612,0.0180770616
27666,0.0058258368
3,0.0000000000
100,0.0001303407
157,0.0001177341
202,0.0001061908
340,0.0006289512
483,0.0010255485
539,0.0014698612
623,0.0007970512
765,0.0003847589
869,0.0016631747
1159,0.0008706968
1388,0.0003732632
2073,0.0010791179
4638,0.0005095714
27718,0.0013328674
4,0.0000000000
34,0.0000000001
24440,0.0000002916
5,0.0000000000
2590,0.0002399822
12951,0.0034607379
16165,0.0004643521
17437,0.0005761550
17786,0.0150965438
19441,0.0004221090
19542,0.0001604534
22407,0.0071539441
23275,0.0001903651
24728,0.0018688578
25146,0.0001082861
