Node,Authority
3264,0.0000000000
4536,0.0000000000
1,0.0000001231
870,0.0000000186
2,0.0000000511
327,0.0000003989
598,0.0000003655
670,0.0000000423
795,0.0000322120
2207,0.0000000184
2887,0.0000000000
3,0.1146276346
18,0.1128596850
712,0.0150661725
1560,0.1288077778
2039,0.1249888382
2090,0.0228189286
2907,0.1499017656
2929,0.0000000000
4,0.0000000000
452,0.0000000000
930,0.0000000000
5,0.0000000000
627,0.0000000087
774,0.0000000085
6,0.0000000021
443,0.0000000019
446,0.0000000094
642,0.0000000000
687,0.0000000033
858,0.0000000016
931,0.0000000000
2303,0.0000000000
7,0.0337413151
2508,0.0776578277
2686,0.0310113429
3075,0.0220773394
8,0.0000001367
15,0.0000000015
599,0.0000000158
679,0.0000000016
715,0.0000000032
716,0.0000000000
771,0.0000000000
799,0.0000000016
897,0.0000000000
898,0.0000000002
9,0.0000000000
561,0.0000000015
905,0.0000000000
10,0.0000000085
1196,0.0000000000
11,0.0000551067
184,0.0000024572
201,0.0000000000
354,0.0000000000
554,0.0000012708
720,0.0000000000
735,0.0000000000
12,0.0010280355
172,0.0012054593
1642,0.0000033110
2188,0.0006108453
2201,0.0037709618
2217,0.0000116449
2277,0.0000000000
2298,0.0000002417
2532,0.0000000000
3059,0.0000000000
3258,0.0000000000
13,0.0000000000
39,0.0000010837
14,0.0000000000
749,0.0000001388
16,0.0000000085
170,0.0000623191
3019,0.0000000000
17,0.0000000000
1912,0.0776578277
1542,0.0001518591
1552,0.0001535428
19,0.0000000000
2495,0.0000000000
2521,0.0000000000
20,0.0038240736
848,0.0153334562
21,0.0024606723
840,0.0018244570
1200,0.1164253049
22,0.0000000015
830,0.0000000003
23,0.0001914038
1345,0.0059088694
2089,0.0014521834
2511,0.0000000000
24,0.0000000000
1170,0.0776578277
25,0.0000006374
601,0.0000003844
863,0.0000000190
1559,0.0007277043
26,0.0000000000
202,0.0000000190
528,0.0000000019
782,0.0000000000
27,0.0000004335
502,0.0000004059
802,0.0000000164
1192,0.0000000000
1340,0.0000000046
1550,0.0000000000
28,0.0000000000
360,0.0000000000
2677,0.0000000000
29,0.0000000000
367,0.0000003771
1191,0.0000000000
30,0.0000000000
1548,0.0000000000
31,0.0000000511
32,0.0048551258
98,0.0034227858
500,0.0272500345
959,0.0002129974
1284,0.0285341869
1686,0.0031535651
2246,0.0004610175
2318,0.0000000000
2346,0.0226274166
2366,0.0236468683
2625,0.0000000000
2919,0.0000000000
33,0.0003824842
1975,0.0916106788
34,0.0000007862
677,0.0000000000
750,0.0000000000
755,0.0000005633
798,0.0000000006
812,0.0000000000
888,0.0000000000
899,0.0000000032
932,0.0000000000
3259,0.0000000000
35,0.0000089208
3072,0.0000000000
36,0.0807059416
196,0.1373257218
199,0.1305034957
892,0.0235239779
1352,0.1904309830
1474,0.1367458137
2134,0.1307381012
2209,0.1102671824
2959,0.0000000000
3087,0.0000000000
37,0.0000551067
38,0.0000001231
837,0.0080199849
40,0.0010508310
44,0.0000454542
2448,0.0000000000
41,0.0000491674
42,0.0000000414
43,0.0000359174
444,0.0000000000
887,0.0012486673
45,0.0000000000
2032,0.0000000000
2670,0.0000000000
46,0.0000000000
1874,0.0000000000
2577,0.0000000001
47,0.0000000001
2579,0.0000000000
48,0.0000000000
1600,0.0000000000
49,0.0007627659
1269,0.0004358788
2092,0.0331263881
50,0.0000000000
3006,0.0000000000
51,0.0000000000
79,0.0000000000
52,0.0000000000
1377,0.0000000001
53,0.0000000000
3154,0.0000000000
54,0.0000000000
61,0.0000000001
68,0.0000000000
55,0.0000222960
56,0.0000000000
71,0.0000000001
73,0.0000000001
1595,0.0000000000
2409,0.0000000000
57,0.0000727199
245,0.0000762407
455,0.0000000000
2553,0.0000000000
2645,0.0000000000
2744,0.0000000000
58,0.0000010872
130,0.0000203989
3173,0.0000000000
59,0.0000000000
383,0.0000000000
2175,0.0000000000
60,0.0000000000
145,0.0000005812
2390,0.0000000000
2623,0.0000000000
62,0.0000000067
1487,0.0000000069
2412,0.0000000000
63,0.0000040181
1268,0.0000000000
64,0.0009530245
1816,0.0000000030
1850,0.0019376823
2575,0.0000571498
2827,0.0000000000
65,0.0001249089
1207,0.0013120100
2044,0.0006179360
66,0.0000000000
2634,0.0000000000
67,0.0000000000
2631,0.0000000000
69,0.0000000001
166,0.0000000047
2564,0.0000000000
2724,0.0000000045
2952,0.0000000000
70,0.0000000004
724,0.0000000009
1382,0.0000000000
2309,0.0000000000
2891,0.0000000000
72,0.0000000000
1645,0.0000000000
313,0.0000000000
1381,0.0000000000
1461,0.0000000000
1488,0.0000000002
1672,0.0000000000
2138,0.0000000000
2774,0.0000000000
3235,0.0000000000
74,0.0000000000
294,0.0000000000
75,0.0000000000
297,0.0000000000
2295,0.0000000000
76,0.0006176946
2754,0.0000000000
2951,0.0000000000
77,0.0000000000
993,0.0000000000
994,0.0000000000
2572,0.0000000000
78,0.0000000000
1908,0.0000000000
2533,0.0000000000
228,0.0000000000
373,0.0000000000
995,0.0000000000
80,0.0000000001
81,0.0000518491
1219,0.0000000072
2230,0.0000000002
2906,0.0000000000
82,0.0000000000
1590,0.0000000000
83,0.0000000000
2336,0.0000000000
84,0.0000000000
1707,0.0000000000
85,0.0000000000
1471,0.0000000000
86,0.0000000000
1242,0.0000000000
1529,0.0000003623
87,0.0000000000
111,0.0000000000
88,0.0000000000
100,0.0000000000
268,0.0000000000
1055,0.0000000000
89,0.0000000000
2678,0.0000000000
90,0.0000000000
3199,0.0000000000
91,0.0000000000
1083,0.0000000000
92,0.0000000000
1712,0.0000000000
93,0.0000000000
1744,0.0000000000
2875,0.0000000000
94,0.0000000000
1010,0.0000000000
2080,0.0000000000
95,0.0000000000
2476,0.0000000000
96,0.0000000000
518,0.0000000000
1059,0.0000000000
2639,0.0000000000
97,0.0000000000
123,0.0000000000
279,0.0000000000
2770,0.0000000000
127,0.0031664937
1030,0.0000000000
1454,0.0000000000
99,0.0031902747
101,0.0000000000
1117,0.0000000000
102,0.0000000000
1023,0.0000000000
1031,0.0000000000
1038,0.0000000000
1039,0.0000000000
1069,0.0000000000
1750,0.0000000000
1955,0.0000000000
103,0.0033130035
126,0.0000000000
499,0.0030282553
104,0.0000000000
113,0.0000000000
105,0.0000000000
257,0.0000000000
974,0.0000000000
3171,0.0000000000
106,0.0000000000
2017,0.0000000000
2271,0.0000000000
2786,0.0000000000
107,0.0000359174
2924,0.0000000000
108,0.0000000000
2472,0.0000000000
109,0.0000000000
110,0.0000000000
1841,0.0000000000
112,0.0000000000
379,0.0001325319
1838,0.0000000000
114,0.0000000000
1400,0.0000000000
115,0.0000000000
1420,0.0000000000
116,0.0000000000
1079,0.0000000000
117,0.0000000000
427,0.0000000000
3207,0.0000000000
118,0.0000000000
544,0.0000000000
119,0.0000000000
1092,0.0000000000
120,0.0000000000
121,0.0000000000
2193,0.0000000000
2486,0.0000000000
122,0.0000000000
3001,0.0000000000
2500,0.0000000000
124,0.0000000000
1067,0.0000000000
125,0.0206384016
589,0.0000000000
494,0.0055041043
128,0.0000000000
3183,0.0000000000
129,0.0000000000
1421,0.0000000000
1693,0.0018813586
1710,0.0000000000
131,0.0000000000
765,0.0000000000
132,0.0000014135
369,0.0000000000
485,0.0000000000
647,0.0000000000
678,0.0000000000
682,0.0000000000
1342,0.0000000000
133,0.0008228512
586,0.0000491674
1171,0.0000000000
1204,0.0010537381
2683,0.0000000000
2684,0.0000000000
2685,0.0000000000
2798,0.0000000000
3132,0.0000000000
134,0.0000000000
1565,0.0002788769
135,0.0024664251
1918,0.0042413468
136,0.0000000000
137,0.0000000169
564,0.0000007671
809,0.0000000090
881,0.0000000003
990,0.0000000003
1306,0.0000000000
2155,0.0000000000
