Node,Hub
3264,0.0000000000
4536,0.0000000000
1,0.0000000000
870,0.0000011951
2,0.0000000000
327,0.0000000105
598,0.0000000105
670,0.0000000514
795,0.0000004021
2207,0.0000000105
2887,0.0000000106
3,0.0000000000
18,0.0118079032
712,0.0234336883
1560,0.0253043218
2039,0.2044484758
2090,0.0548175457
2907,0.7538800812
2929,0.0390804290
4,0.0000000000
452,0.0000000000
930,0.0000000000
5,0.0000000000
627,0.0000000000
774,0.0000000000
6,0.0000000000
443,0.0000000002
446,0.0000000005
642,0.0000000004
687,0.0000000004
858,0.0000000158
931,0.0000000004
2303,0.0000000024
7,0.0000000000
2508,0.0162093903
2686,0.1982027168
3075,0.0583214335
8,0.0000000000
15,0.0000000141
599,0.0000000142
679,0.0000000141
715,0.0000000149
716,0.0000000144
771,0.0000000158
799,0.0000000151
897,0.0000000152
898,0.0000000142
9,0.0000000000
561,0.0000000000
905,0.0000000002
10,0.0000000000
1196,0.0000000828
11,0.0000000000
184,0.0000113532
201,0.0000113532
354,0.0000113532
554,0.0000116063
720,0.0000119917
735,0.0004773029
12,0.0000000000
172,0.0002188283
1642,0.0014106060
2188,0.0002900002
2201,0.0067509967
2217,0.0002224263
2277,0.0002188148
2298,0.0002164680
2532,0.0002164428
3059,0.0002164428
3258,0.0002188148
13,0.0000000000
39,0.0000000000
14,0.0000000000
749,0.0000000000
16,0.0000000000
170,0.0000000819
3019,0.0000000009
17,0.0000000000
1912,0.0000000000
1542,0.0247313439
1552,0.0247313439
19,0.0000000000
2495,0.0000000000
2521,0.0000000000
20,0.0000000000
848,0.0371230109
21,0.0000000000
840,0.0020038822
1200,0.0218835882
22,0.0000000000
830,0.0000000007
23,0.0000000000
1345,0.0000751662
2089,0.0010049400
2511,0.0007779858
24,0.0000000000
1170,0.0000000000
25,0.0000000000
601,0.0000000657
863,0.0000001044
1559,0.0000060179
26,0.0000000000
202,0.0000000000
528,0.0000000000
782,0.0000000000
27,0.0000000000
502,0.0000002313
802,0.0000037992
1192,0.0000000876
1340,0.0000000447
1550,0.0000000451
28,0.0000000000
360,0.0000000000
2677,0.0000000000
29,0.0000000000
367,0.0000000000
1191,0.0000000002
30,0.0000000000
1548,0.0000000000
31,0.0000000000
32,0.0000000000
98,0.0005001312
500,0.0008414069
959,0.0005001312
1284,0.0021784126
1686,0.0005440133
2246,0.0006370303
2318,0.0017729559
2346,0.0011427557
2366,0.0302890503
2625,0.0008866730
2919,0.0058357099
33,0.0000000000
1975,0.0037130348
34,0.0000000000
677,0.0000000810
750,0.0000000810
755,0.0000000810
798,0.0000002142
812,0.0000065765
888,0.0000000828
899,0.0000001508
932,0.0000001178
3259,0.0000000828
35,0.0000000000
3072,0.0000866006
36,0.0000000000
196,0.0296317654
199,0.0437778204
892,0.0430750564
1352,0.0325263721
1474,0.0083135969
2134,0.1055627755
2209,0.0746875123
2959,0.0459245779
3087,0.1421891532
37,0.0000000000
38,0.0000000000
837,0.0000105200
40,0.0000000000
44,0.0001082471
2448,0.0001130446
41,0.0000000000
42,0.0000000000
43,0.0000000000
444,0.0000036999
887,0.0003449756
45,0.0000000000
2032,0.0000000000
2670,0.0000000000
46,0.0000000000
1874,0.0000000000
2577,0.0000000000
47,0.0000000000
2579,0.0000000009
48,0.0000000000
1600,0.0000000000
49,0.0000000000
1269,0.0002055761
2092,0.0071991213
50,0.0000000000
3006,0.0000000000
51,0.0000000000
79,0.0000000000
52,0.0000000000
1377,0.0000000000
53,0.0000000000
3154,0.0000000000
54,0.0000000000
61,0.0000000000
68,0.0000000000
55,0.0000000000
56,0.0000000000
71,0.0000000000
73,0.0000000000
1595,0.0000000000
2409,0.0000000000
57,0.0000000000
245,0.0000074909
455,0.0000153446
2553,0.0000080423
2645,0.0006671426
2744,0.0000079174
58,0.0000000000
130,0.0000001120
3173,0.0000104427
59,0.0000000000
383,0.0000000000
2175,0.0000000000
60,0.0000000000
145,0.0000000000
2390,0.0000000000
2623,0.0000000008
62,0.0000000000
1487,0.0000000647
2412,0.0000000007
63,0.0000000000
1268,0.0000390063
64,0.0000000000
1816,0.0003031529
1850,0.0087359555
2575,0.0001026053
2827,0.0001099794
65,0.0000000000
1207,0.0010645584
2044,0.0001480184
66,0.0000000000
2634,0.0000000000
67,0.0000000000
2631,0.0000000000
69,0.0000000000
166,0.0000000000
2564,0.0000000001
2724,0.0000000000
2952,0.0000000006
70,0.0000000000
724,0.0000000034
1382,0.0000000000
2309,0.0000000008
2891,0.0000000000
72,0.0000000000
1645,0.0000000000
313,0.0000000000
1381,0.0000000000
1461,0.0000000000
1488,0.0000000008
1672,0.0000000000
2138,0.0000000000
2774,0.0000000000
3235,0.0000000000
74,0.0000000000
294,0.0000000000
75,0.0000000000
297,0.0000000000
2295,0.0000000000
76,0.0000000000
2754,0.0059298947
2951,0.0000664906
77,0.0000000000
993,0.0000000000
994,0.0000000000
2572,0.0000000000
78,0.0000000000
1908,0.0000000000
2533,0.0000000000
228,0.0000000000
373,0.0000000000
995,0.0000000000
80,0.0000000000
81,0.0000000000
1219,0.0000056424
2230,0.0002174254
2906,0.0002802663
82,0.0000000000
1590,0.0000000000
83,0.0000000000
2336,0.0000000000
84,0.0000000000
1707,0.0000000000
85,0.0000000000
1471,0.0000000000
86,0.0000000000
1242,0.0000000000
1529,0.0000000000
87,0.0000000000
111,0.0000000000
88,0.0000000000
100,0.0000000000
268,0.0000000000
1055,0.0000000000
89,0.0000000000
2678,0.0000000000
90,0.0000000000
3199,0.0000000000
91,0.0000000000
1083,0.0000000000
92,0.0000000000
1712,0.0000000000
93,0.0000000000
1744,0.0000000000
2875,0.0000000000
94,0.0000000000
1010,0.0000000000
2080,0.0000000000
95,0.0000000000
2476,0.0000000000
96,0.0000000000
518,0.0000000000
1059,0.0000000000
2639,0.0000000000
97,0.0000000000
123,0.0000000000
279,0.0000000000
2770,0.0000000000
127,0.0003525845
1030,0.0019045654
1454,0.0006812177
99,0.0000000000
101,0.0000000000
1117,0.0000000000
102,0.0000000000
1023,0.0000000000
1031,0.0000000000
1038,0.0000000000
1039,0.0000000000
1069,0.0000000000
1750,0.0000000000
1955,0.0000000000
103,0.0000000000
126,0.0003412757
499,0.0003449756
104,0.0000000000
113,0.0000000000
105,0.0000000000
257,0.0000000000
974,0.0000000000
3171,0.0000000000
106,0.0000000000
2017,0.0000000000
2271,0.0000000000
2786,0.0000000000
107,0.0000000000
2924,0.0000036999
108,0.0000000000
2472,0.0000000000
109,0.0000000000
110,0.0000000000
1841,0.0000000000
112,0.0000000000
379,0.0000000000
1838,0.0000000000
114,0.0000000000
1400,0.0000000000
115,0.0000000000
1420,0.0000000000
116,0.0000000000
1079,0.0000000000
117,0.0000000000
427,0.0000000000
3207,0.0000000000
118,0.0000000000
544,0.0000000000
119,0.0000000000
1092,0.0000000000
120,0.0000000000
121,0.0000000000
2193,0.0000000000
2486,0.0000000000
122,0.0000000000
3001,0.0000000000
2500,0.0000000000
124,0.0000000000
1067,0.0000000000
125,0.0000000000
589,0.0021490356
494,0.0004503591
128,0.0000000000
3183,0.0000000000
129,0.0000000000
1421,0.0000000000
1693,0.0000021243
1710,0.0001959019
131,0.0000000000
765,0.0000000000
132,0.0000000000
369,0.0000065652
485,0.0000065652
647,0.0000001456
678,0.0000001456
682,0.0000001488
1342,0.0000001515
133,0.0000000000
586,0.0000847627
1171,0.0000847627
1204,0.0000847627
2683,0.0000915299
2684,0.0000915299
2685,0.0000915299
2798,0.0000885199
3132,0.0005329791
134,0.0000000000
1565,0.0000000000
135,0.0000000000
1918,0.0005348036
136,0.0000000000
137,0.0000000000
564,0.0000000017
809,0.0000000738
881,0.0000000817
990,0.0000000027
1306,0.0000000028
2155,0.0000000017
