Node,Hub,Authority
2708,0.0000038971,0.0000000000
5278,0.0000000000,0.0000000000
1,0.0000000000,0.9748234396
14,0.0734922935,0.0425027021
22,0.0734922935,0.0058984126
32,0.0734922935,0.0634114222
43,0.0752490344,0.0000771328
187,0.0734922935,0.0123763162
241,0.0788886301,0.0331991107
282,0.0739123899,0.0000000000
312,0.0744231714,0.0065030472
400,0.0734922935,0.0059427502
423,0.0773963720,0.0016963666
446,0.0734922935,0.0058127546
488,0.0757766442,0.0118296239
489,0.0770110739,0.0310533632
499,0.0758384852,0.0317203153
525,0.0766965877,0.0078804416
558,0.0739369770,0.0302821598
572,0.0817916840,0.0056721474
581,0.0734922935,0.0056649611
584,0.0734922935,0.0061894667
585,0.0757337596,0.0000000000
606,0.0758836996,0.0062329107
643,0.0743598568,0.0127332699
644,0.0739305192,0.0254630396
654,0.0785921363,0.0018124990
713,0.0754119614,0.0240192175
714,0.0772227789,0.0000364167
721,0.0734922935,0.0000361596
738,0.0816322874,0.0112412254
739,0.0743397736,0.0056689436
791,0.0739336162,0.0119876100
804,0.0748270428,0.0000000000
807,0.0761102783,0.0000000000
810,0.0762313790,0.0994181074
818,0.0862583381,0.0184962959
823,0.0753031111,0.0720809900
828,0.0739525144,0.0060734704
881,0.0758334179,0.0061974533
884,0.0823819033,0.0000000000
906,0.0743704505,0.0000994061
907,0.0763450163,0.0244042901
951,0.0743752858,0.0002206473
998,0.0766748954,0.0058135909
1011,0.0751416993,0.0056420889
1029,0.0779909374,0.0006261723
1054,0.0790747784,0.0123690923
1055,0.0770110739,0.0064780778
1074,0.0734922935,0.0057350018
1136,0.0757281854,0.0000000000
1145,0.0734922935,0.0000680092
1174,0.0776494590,0.0057384812
1176,0.0776661256,0.0000000000
1197,0.0780868405,0.0000758613
1200,0.0756842825,0.0000000000
1201,0.0771535588,0.0063296621
1213,0.0747671573,0.0000000000
1218,0.0824446221,0.0304431698
1219,0.0757874152,0.0122121599
1251,0.0769674654,0.0000000000
1256,0.0734922935,0.0068877398
1288,0.0734922935,0.0119573150
1291,0.0743449091,0.0000659719
1299,0.0750027905,0.0061383059
1305,0.0734922935,0.0061221137
1306,0.0809874608,0.0178815413
1315,0.0770926097,0.0001372849
1318,0.0758836996,0.0005130105
1322,0.0771544689,0.0000000000
1330,0.0842032616,0.0000000000
1342,0.0739276686,0.0000014508
1345,0.0739843935,0.0593369488
1349,0.0756863743,0.0117144700
1350,0.0765695324,0.0177935662
1351,0.0770278377,0.0119864097
1367,0.0814504010,0.0056370956
1394,0.0739172762,0.0000322227
1435,0.0771131841,0.0000000000
1461,0.0798229393,0.0000000000
1470,0.0739281446,0.0058433248
1499,0.0743612922,0.0000718625
1503,0.0779657277,0.0191677440
1504,0.0748170032,0.0115287712
1510,0.0809874608,0.0124481872
1531,0.0789265056,0.0000000000
1554,0.0798518146,0.0002538134
1557,0.0744307669,0.0067660730
1558,0.0809874608,0.0056821142
1559,0.0734922935,0.0055722818
1560,0.0734922935,0.0056367819
1561,0.0789265056,0.0000000000
1563,0.0789717155,0.0120147170
1564,0.0748789785,0.0000342323
1565,0.0739843935,0.0000000000
1571,0.0782729037,0.0056045027
1572,0.0743397781,0.0000000000
1575,0.0734922935,0.0055722818
1587,0.0782028689,0.0000000000
1590,0.0771304954,0.0004970420
1603,0.0734922935,0.0002399332
1611,0.0822048493,0.0000000000
1613,0.0767651082,0.0000000000
1618,0.0756764678,0.0000727859
