Node,Authority
2708,0.0000000000
5278,0.0000000000
1,0.9748234396
14,0.0425027021
22,0.0058984126
32,0.0634114222
43,0.0000771328
187,0.0123763162
241,0.0331991107
282,0.0000000000
312,0.0065030472
400,0.0059427502
423,0.0016963666
446,0.0058127546
488,0.0118296239
489,0.0310533632
499,0.0317203153
525,0.0078804416
558,0.0302821598
572,0.0056721474
581,0.0056649611
584,0.0061894667
585,0.0000000000
606,0.0062329107
643,0.0127332699
644,0.0254630396
654,0.0018124990
713,0.0240192175
714,0.0000364167
721,0.0000361596
738,0.0112412254
739,0.0056689436
791,0.0119876100
804,0.0000000000
807,0.0000000000
810,0.0994181074
818,0.0184962959
823,0.0720809900
828,0.0060734704
881,0.0061974533
884,0.0000000000
906,0.0000994061
907,0.0244042901
951,0.0002206473
998,0.0058135909
1011,0.0056420889
1029,0.0006261723
1054,0.0123690923
1055,0.0064780778
1074,0.0057350018
1136,0.0000000000
1145,0.0000680092
1174,0.0057384812
1176,0.0000000000
1197,0.0000758613
1200,0.0000000000
1201,0.0063296621
1213,0.0000000000
1218,0.0304431698
1219,0.0122121599
1251,0.0000000000
1256,0.0068877398
1288,0.0119573150
1291,0.0000659719
1299,0.0061383059
1305,0.0061221137
1306,0.0178815413
1315,0.0001372849
1318,0.0005130105
1322,0.0000000000
1330,0.0000000000
1342,0.0000014508
1345,0.0593369488
1349,0.0117144700
1350,0.0177935662
1351,0.0119864097
1367,0.0056370956
1394,0.0000322227
1435,0.0000000000
1461,0.0000000000
1470,0.0058433248
1499,0.0000718625
1503,0.0191677440
1504,0.0115287712
1510,0.0124481872
1531,0.0000000000
1554,0.0002538134
1557,0.0067660730
1558,0.0056821142
1559,0.0055722818
1560,0.0056367819
1561,0.0000000000
1563,0.0120147170
1564,0.0000342323
1565,0.0000000000
1571,0.0056045027
1572,0.0000000000
1575,0.0055722818
1587,0.0000000000
1590,0.0004970420
1603,0.0002399332
1611,0.0000000000
1613,0.0000000000
1618,0.0000727859
1620,0.0000000000
1626,0.0000000000
1633,0.0002462696
1638,0.0000000000
1639,0.0000000000
1640,0.0000000000
1655,0.0063212983
1690,0.0059454487
1691,0.0059454487
1692,0.0059114634
1693,0.0000000000
1697,0.0000000000
1747,0.0004412792
1749,0.0000000000
1753,0.0000000000
1755,0.0000000000
1812,0.0000000000
1836,0.0000000000
1862,0.0000000000
1863,0.0000000000
1910,0.0000000000
1941,0.0000000000
1944,0.0000000000
2060,0.0000000000
2118,0.0000000000
2123,0.0000000000
2132,0.0000000000
2144,0.0000000000
2196,0.0000000000
