Node,Hub
2708,0.0000038971
5278,0.0000000000
1,0.0000000000
14,0.0734922935
22,0.0734922935
32,0.0734922935
43,0.0752490344
187,0.0734922935
241,0.0788886301
282,0.0739123899
312,0.0744231714
400,0.0734922935
423,0.0773963720
446,0.0734922935
488,0.0757766442
489,0.0770110739
499,0.0758384852
525,0.0766965877
558,0.0739369770
572,0.0817916840
581,0.0734922935
584,0.0734922935
585,0.0757337596
606,0.0758836996
643,0.0743598568
644,0.0739305192
654,0.0785921363
713,0.0754119614
714,0.0772227789
721,0.0734922935
738,0.0816322874
739,0.0743397736
791,0.0739336162
804,0.0748270428
807,0.0761102783
810,0.0762313790
818,0.0862583381
823,0.0753031111
828,0.0739525144
881,0.0758334179
884,0.0823819033
906,0.0743704505
907,0.0763450163
951,0.0743752858
998,0.0766748954
1011,0.0751416993
1029,0.0779909374
1054,0.0790747784
1055,0.0770110739
1074,0.0734922935
1136,0.0757281854
1145,0.0734922935
1174,0.0776494590
1176,0.0776661256
1197,0.0780868405
1200,0.0756842825
1201,0.0771535588
1213,0.0747671573
1218,0.0824446221
1219,0.0757874152
1251,0.0769674654
1256,0.0734922935
1288,0.0734922935
1291,0.0743449091
1299,0.0750027905
1305,0.0734922935
1306,0.0809874608
1315,0.0770926097
1318,0.0758836996
1322,0.0771544689
1330,0.0842032616
1342,0.0739276686
1345,0.0739843935
1349,0.0756863743
1350,0.0765695324
1351,0.0770278377
1367,0.0814504010
1394,0.0739172762
1435,0.0771131841
1461,0.0798229393
1470,0.0739281446
1499,0.0743612922
1503,0.0779657277
1504,0.0748170032
1510,0.0809874608
1531,0.0789265056
1554,0.0798518146
1557,0.0744307669
1558,0.0809874608
1559,0.0734922935
1560,0.0734922935
1561,0.0789265056
1563,0.0789717155
1564,0.0748789785
1565,0.0739843935
1571,0.0782729037
1572,0.0743397781
1575,0.0734922935
1587,0.0782028689
1590,0.0771304954
1603,0.0734922935
1611,0.0822048493
1613,0.0767651082
1618,0.0756764678
1620,0.0748383318
1626,0.0790745146
1633,0.0757752766
1638,0.0744522594
1639,0.0757591575
1640,0.0739123899
1655,0.0809874608
1690,0.0779657277
1691,0.0779657277
1692,0.0779657277
1693,0.0788621868
1697,0.0802746015
1747,0.0758988924
1749,0.0743614518
1753,0.0749504378
1755,0.0812618202
1812,0.0782729037
1836,0.0743960438
1862,0.0753692403
1863,0.0788146556
1910,0.0765888085
1941,0.0811925016
1944,0.0782729037
2060,0.0745785036
2118,0.0790365372
2123,0.0776626512
2132,0.0748190092
2144,0.0812055234
2196,0.0776183569
2230,0.0739123899
2234,0.0859271361
2249,0.0752635935
2293,0.0788758235
2302,0.0764827915
2325,0.0789265056
2337,0.0833465783
2341,0.0743893003
2343,0.0752370377
2347,0.0757627551
2354,0.0779314975
2367,0.0734922935
2369,0.0739412521
2375,0.0779934974
2379,0.0744169242
2381,0.0789265056
2397,0.0779909374
2402,0.0833565467
2403,0.0775839237
2427,0.0784113951
2428,0.0779657277
2434,0.0757059174
2470,0.0791927352
2480,0.0739123899
2493,0.0739123899
2525,0.0739717255
2526,0.0782729037
2571,0.0806140281
2573,0.0734922935
2607,0.0899404532
2611,0.0734922935
2640,0.0782729037
2656,0.0899404532
2658,0.0785595713
2667,0.0767110005
2682,0.0879504296
2696,0.0757766442
2703,0.0899404532
2,0.0000000000
2058,0.0008829922
2150,0.0010219323
3,0.0000000000
5,0.0002642430
6,0.0002642430
10,0.0002642430
114,0.0011231474
117,0.0003623729
119,0.0010166639
127,0.0016582816
168,0.0002642430
173,0.0003197302
369,0.0009236477
415,0.0015903630
422,0.0010753096
425,0.0016646469
428,0.0004384004
433,0.0016235374
435,0.0015995924
526,0.0023328708
542,0.0004306589
651,0.0015754786
668,0.0015768843
706,0.0002642430
847,0.0015946992
978,0.0031745161
1034,0.0002829407
1179,0.0002642430
1186,0.0024236925
1399,0.0004680491
1852,0.0016489459
1902,0.0043257334
1934,0.0016333929
1974,0.0002657536
1994,0.0002800573
1995,0.0009329975
2003,0.0015899643
2033,0.0015873324
2091,0.0017021468
2138,0.0003147066
2204,0.0015347724
2210,0.0003191853
2213,0.0002657536
2245,0.0002779195
2318,0.0009696866
4,0.0000000000
123,0.0024042171
302,0.0033623105
414,0.0015007474
421,0.0028517711
478,0.0001117106
479,0.0001582069
775,0.0001049574
1078,0.0007570746
1170,0.0000986944
1212,0.0001180359
2066,0.0001409045
88,0.0006266654
122,0.0045028025
335,0.0013581253
436,0.0000507521
115,0.0000178224
263,0.0019628615
517,0.0000178224
1401,0.0007064343
7,0.0000000000
89,0.0000010398
92,0.0000010398
201,0.0001516162
227,0.0000027544
729,0.0000264952
8,0.0000000000
515,0.0008028254
550,0.0000079071
2207,0.0000236726
9,0.0000000000
599,0.0000067796
787,0.0005176900
1198,0.0000682352
1238,0.0000067406
