Node,Hub
1000,0.0496758585
10019,0.0000000000
1,0.0000000000
95,0.0071336553
103,0.0119438404
122,0.0148610119
202,0.0149560354
212,0.0356241308
236,0.0139415703
392,0.0179936232
396,0.0401097675
402,0.0390718914
476,0.0279803919
504,0.0267863087
533,0.0288367834
575,0.0391537820
577,0.0277418040
663,0.0266997946
722,0.0389188279
806,0.0433019046
838,0.0515898164
858,0.0413540520
880,0.0409792259
903,0.0473296688
908,0.0481728107
934,0.0415232773
967,0.0272404205
2,0.0000000000
73,0.0075266803
91,0.0051290901
108,0.0103040559
112,0.0092508950
176,0.0278117761
185,0.0233987601
191,0.0083248744
218,0.0211337060
302,0.0264167497
436,0.0383675200
474,0.0210310073
478,0.0178967133
510,0.0368650978
614,0.0265869868
662,0.0289953367
666,0.0474564063
745,0.0483980206
845,0.0792928453
921,0.0604360152
989,0.0504433039
3,0.0000000000
17,0.0047426903
211,0.0172505955
213,0.0124103964
231,0.0363437269
242,0.0183115638
275,0.0456810614
395,0.0444372108
414,0.0263856898
415,0.0303729425
427,0.0335767844
429,0.0356369564
432,0.0318988313
458,0.0300539027
483,0.0363013448
495,0.0274352998
537,0.0406193742
549,0.0184958635
673,0.0311808434
742,0.0724256939
802,0.0672596476
810,0.0423869071
828,0.0555928472
902,0.0401520661
916,0.0618939007
972,0.0402968113
4,0.0000000000
7,0.0032170217
72,0.0131495823
84,0.0109113108
120,0.0032170217
279,0.0290061957
303,0.0259023176
314,0.0289633559
356,0.0347756386
471,0.0445983626
547,0.0309367747
647,0.0453491643
735,0.0436874819
766,0.0487085715
769,0.0319499696
824,0.0779822904
892,0.0324702284
954,0.0378003924
985,0.0474973712
5,0.0000000000
6,0.0045229480
50,0.0122747093
55,0.0064826832
106,0.0073547452
118,0.0045229480
306,0.0184939176
419,0.0318187380
450,0.0259782691
473,0.0368744007
531,0.0298928496
532,0.0223014033
620,0.0409635802
660,0.0232618059
661,0.0260761158
764,0.0432835664
785,0.0417663312
816,0.0609554839
825,0.0413974152
844,0.0472219954
846,0.0432915161
856,0.0365972437
909,0.0578108427
970,0.0534487888
16,0.0017969306
163,0.0076469827
230,0.0092003164
298,0.0237471435
333,0.0130819310
376,0.0247527604
387,0.0263382169
545,0.0373919297
576,0.0319564864
634,0.0372135866
753,0.0322216812
914,0.0514829216
28,0.0033965095
366,0.0342558511
417,0.0304493820
439,0.0348512630
449,0.0242637157
499,0.0211226582
529,0.0267605200
618,0.0281555077
636,0.0606421009
681,0.0319098368
717,0.0346352394
726,0.0596595125
800,0.0392579733
833,0.0412669641
847,0.0327197095
911,0.0205952371
8,0.0000000000
15,0.0023280598
115,0.0071191953
137,0.0233276396
179,0.0124972239
329,0.0315158999
345,0.0226707900
406,0.0313966728
475,0.0255383478
489,0.0177750396
507,0.0249874332
551,0.0367329367
563,0.0260235327
854,0.0267908342
923,0.0433862292
9,0.0000000000
43,0.0091620891
109,0.0153594212
119,0.0116293208
124,0.0076631758
126,0.0074469092
195,0.0100418929
299,0.0267648744
338,0.0166772716
357,0.0255945616
364,0.0235939221
445,0.0251091528
590,0.0272004995
601,0.0423312428
680,0.0356705171
712,0.0684531977
715,0.0410139212
731,0.0282049366
789,0.0474345467
823,0.0295057849
834,0.0433131279
982,0.0570560441
10,0.0000000000
130,0.0069995366
186,0.0294195186
271,0.0227662295
365,0.0162745888
390,0.0266459696
517,0.0285948691
535,0.0393960317
599,0.0587415883
616,0.0298926826
783,0.0478698097
841,0.0527407839
863,0.0337596210
881,0.0557586020
936,0.0379810774
964,0.0449681020
995,0.0545953653
11,0.0000000000
59,0.0054489413
171,0.0127965053
198,0.0227434851
207,0.0136546431
286,0.0244248008
334,0.0240698797
335,0.0196311977
337,0.0437360839
442,0.0204208384
454,0.0297733790
500,0.0240008139
626,0.0311506952
713,0.0528967800
812,0.0320366569
948,0.0467215667
12,0.0000000000
26,0.0027416821
147,0.0055231382
262,0.0192684543
272,0.0175366998
343,0.0251362886
362,0.0224302776
484,0.0331734962
485,0.0217024779
521,0.0313746295
536,0.0304985253
649,0.0509191561
670,0.0487597523
690,0.0441145324
707,0.0476252175
13,0.0000000000
51,0.0030895837
62,0.0079815178
214,0.0193333348
277,0.0181465794
282,0.0257463878
341,0.0375645542
367,0.0308858329
370,0.0320243654
494,0.0349328766
651,0.0459884046
702,0.0246497493
727,0.0525924824
760,0.0389009257
798,0.0397456783
926,0.0466073847
945,0.0291519992
984,0.0399816095
14,0.0000000000
83,0.0077213789
125,0.0043054029
261,0.0178346308
339,0.0222404359
372,0.0189985820
386,0.0304108932
426,0.0180724532
456,0.0157128412
540,0.0228844971
821,0.0292984491
957,0.0391570356
977,0.0454118541
61,0.0106946609
