Node,Hub,Authority
100,0.1473988183,0.0000000000
1002,0.0000000000,0.0000000000
1,0.0000000000,0.2131083654
5,0.0387056456,0.0931300057
7,0.0352985574,0.1348151744
14,0.0155704685,0.1573504922
16,0.0843912668,0.1557848561
33,0.0912349999,0.2085606363
37,0.0917705601,0.1255052842
38,0.0733506286,0.0725723182
44,0.0834795937,0.0731706317
46,0.0851017502,0.0965596590
56,0.1232713868,0.0849682067
58,0.1567270328,0.0498275318
59,0.0897045577,0.0633969768
60,0.1165146171,0.0539051915
61,0.0906438531,0.1340137156
62,0.1560657211,0.0500200757
66,0.1360085520,0.0897099072
74,0.2380530448,0.0731092387
79,0.1034541281,0.0800605599
83,0.1510059683,0.0170103425
85,0.1371977271,0.0343889548
86,0.1344566743,0.0226287762
87,0.1267615965,0.0306214697
92,0.1008694304,0.0119430996
93,0.1462515868,0.0321798053
94,0.1634615824,0.0087697485
2,0.0000000000,0.1768824719
3,0.0129236736,0.1397618065
11,0.0353676194,0.1105562283
12,0.0300707422,0.1709098350
15,0.0244202701,0.1049122119
18,0.0244202701,0.1095048660
19,0.0285632041,0.1203652535
23,0.0443154461,0.1516894690
24,0.0659053007,0.1419800206
25,0.0821309299,0.1139614043
30,0.0817251808,0.1230956335
35,0.0763893780,0.1113248071
39,0.0872694122,0.0984717729
40,0.0786294314,0.1626525369
47,0.0895712899,0.1414785900
71,0.1006733755,0.0460830961
72,0.1077427343,0.0830836199
76,0.1166580087,0.0221363968
77,0.1373906748,0.0554647288
88,0.1940780955,0.0175241145
90,0.1408574118,0.0152195626
96,0.1730072815,0.0000000000
4,0.0102115034,0.1276133533
8,0.0102115034,0.0844300190
21,0.0274640564,0.0814843945
32,0.0696713339,0.1520528118
36,0.0605025276,0.0866051851
50,0.0816835534,0.0797197799
51,0.0405364231,0.0707908945
63,0.1338593472,0.0657605619
70,0.1716499059,0.0326964188
78,0.1090123988,0.0856552628
82,0.1377708016,0.0331133451
89,0.1765875345,0.0068384379
9,0.0282434085,0.1233141478
27,0.0385563324,0.1426869353
42,0.0830139181,0.1396924015
67,0.1450564737,0.0611132948
95,0.1452302243,0.0107695112
13,0.0162751830,0.0667056515
17,0.0269569724,0.1321889654
43,0.0587079568,0.1312255079
52,0.0647787161,0.0822493989
73,0.1090660853,0.0426316827
97,0.0865640611,0.0045338859
99,0.1200292181,0.0000000000
6,0.0000000000,0.1241305928
29,0.0380990585,0.1183473228
31,0.0467298114,0.1022096316
53,0.1133418216,0.1481354123
55,0.0835841071,0.0861878026
57,0.1261533520,0.0769328279
98,0.0620540816,0.0000000000
20,0.0379073339,0.0787800619
26,0.0801007942,0.0860706421
45,0.0725798232,0.0744045987
68,0.1145096073,0.0384058032
84,0.1357676911,0.0470925735
10,0.0090097780,0.1296235776
34,0.0201193067,0.1868581682
28,0.0407486046,0.1657855557
49,0.0716906096,0.0993936406
48,0.0935315741,0.1588884518
54,0.0475890838,0.0724713629
75,0.1062673136,0.0531264266
80,0.1829455611,0.0110330322
91,0.0935957242,0.0351946804
22,0.0162559618,0.1118484402
81,0.1373794147,0.0162443445
65,0.0512789613,0.0937638810
64,0.0789617756,0.0717176546
41,0.0569941667,0.0885458509
69,0.1123701711,0.0825034903
