Node,Hub,Authority
100,0.0046952971,0.0000000000
226,0.0000000000,0.0000000000
1,0.0000000000,0.0516517268
21,0.0373379219,0.0172295939
22,0.0117941807,0.1031787637
48,0.0748050237,0.0000000000
52,0.1022669696,0.0679419340
2,0.0000000000,0.1118668922
30,0.0594519359,0.0703057686
50,0.1395836760,0.0063974544
87,0.1512711300,0.0149875305
3,0.0000000000,0.0561862205
4,0.0128295892,0.0508020053
58,0.0911521271,0.0000000000
62,0.1420813831,0.0000000000
29,0.0494425636,0.1314528041
66,0.0798014594,0.0942076482
81,0.0932393651,0.0022094186
5,0.0000000000,0.0433121913
85,0.1148772056,0.0000000000
6,0.0000000000,0.2542543000
86,0.2558722631,0.0000000000
93,0.3974460653,0.0239949513
97,0.2177444746,0.0000000000
7,0.0000000000,0.1491790975
8,0.0000000000,0.0111103704
46,0.0486571012,0.1148044828
9,0.0000000000,0.0428206784
38,0.0097776948,0.0435833699
70,0.0585466155,0.0083026471
78,0.0714881803,0.0000000000
79,0.0477172185,0.0000000000
10,0.0000000000,0.1691637503
19,0.0386269340,0.1153147647
31,0.0985348380,0.0577872808
51,0.1911033337,0.1601126245
89,0.4125761103,0.0159624616
11,0.0000000000,0.2065241034
53,0.0686606048,0.1495627093
56,0.0471578154,0.0000000000
92,0.0699064068,0.0000000000
99,0.0502840941,0.0000000000
12,0.0000000000,0.1266505846
13,0.0000000000,0.2002112112
42,0.0881010104,0.0025369733
75,0.1542766674,0.0558317604
15,0.0000000000,0.0966928605
72,0.0260131093,0.0497200271
16,0.0000000000,0.0839283986
54,0.1260039961,0.1039862142
83,0.1430192333,0.0149875305
17,0.0000000000,0.1598909798
68,0.0665255830,0.0000000000
18,0.0000000000,0.1484983869
41,0.0339081947,0.0941698480
43,0.0339081947,0.0128516591
91,0.0656366693,0.0000000000
77,0.1970732249,0.0654914024
90,0.0293964555,0.0000000000
94,0.1050841392,0.0497200271
96,0.0853575509,0.0000000000
20,0.0000000000,0.0967904604
39,0.0221011813,0.0815926330
55,0.0413139025,0.1849606631
64,0.0483156934,0.0434860032
67,0.0562828047,0.0133686068
24,0.0235598897,0.2136141468
37,0.0235598897,0.0841406665
59,0.0235598897,0.0000000000
63,0.1626220184,0.1062655315
71,0.1622793151,0.0067124000
23,0.0000000000,0.1163017665
44,0.1219654354,0.0273835786
84,0.0280172005,0.0025369733
36,0.0619719355,0.0067124000
47,0.1336507706,0.2993367933
49,0.0894460560,0.0550879358
25,0.0000000000,0.1784337582
26,0.0407436522,0.1316739738
73,0.2447130259,0.0326571137
32,0.0300665000,0.0466553198
27,0.0000000000,0.4178366786
33,0.1254250308,0.0497200271
61,0.0562632841,0.0000000000
34,0.0000000000,0.1760950495
45,0.0402096303,0.1144264583
35,0.0000000000,0.0811778368
57,0.0284880353,0.0336654242
74,0.0266847975,0.0403186158
88,0.0868868979,0.0205627001
65,0.1501010136,0.0163236644
98,0.0111104356,0.0000000000
40,0.0000000000,0.0436365706
69,0.0261281938,0.1661532887
76,0.0099296154,0.0136913022
82,0.0096759850,0.0000000000
95,0.0000000000,0.0000000000
80,0.0000000000,0.0181718801
