Node,Hub,Authority
10000,0.0109046010,0.0000000000
49920,0.0000000000,0.0000000000
1,0.0000000000,0.0184833968
1243,0.0039089382,0.0036975180
3051,0.0056022174,0.0104517316
4780,0.0092693265,0.0018435214
5858,0.0283966340,0.0074874595
7426,0.0132600773,0.0109101244
8182,0.0220609994,0.0038891709
8192,0.0095037201,0.0015899163
8741,0.0250249491,0.0024259568
9917,0.0237368473,0.0000000000
2,0.0000000000,0.0055685563
1386,0.0018584238,0.0078767484
3593,0.0079168260,0.0130691449
5576,0.0124155547,0.0106004022
6181,0.0064513767,0.0068835969
6414,0.0061427914,0.0023571882
7296,0.0076233366,0.0059138087
3,0.0000000000,0.0072606590
2659,0.0104679746,0.0116337932
5714,0.0064734559,0.0086832591
7255,0.0074851093,0.0039011871
8485,0.0123141353,0.0021228625
8913,0.0185541021,0.0028076559
4,0.0000000000,0.0087652872
303,0.0011509538,0.0059759704
645,0.0066308590,0.0201805857
918,0.0094716653,0.0176568415
987,0.0031220815,0.0043151557
3056,0.0054419955,0.0106511554
4659,0.0075853106,0.0060446329
4999,0.0094740758,0.0013533106
7201,0.0122114049,0.0031129055
8525,0.0116652367,0.0073656274
5,0.0000000000,0.0036296386
1928,0.0033590902,0.0043833998
2793,0.0026829252,0.0129636378
3960,0.0047712268,0.0102662945
6686,0.0109432043,0.0048852898
9502,0.0058857327,0.0000000000
6,0.0000000000,0.0091824496
1278,0.0028664419,0.0100279217
2049,0.0012057306,0.0057663772
2112,0.0012057306,0.0074591614
5266,0.0068040991,0.0082571217
5455,0.0129584423,0.0055037270
6039,0.0099672131,0.0010542135
6874,0.0191004521,0.0101736398
9628,0.0158223971,0.0000000000
7,0.0000000000,0.0113275308
90,0.0014873973,0.0144663025
964,0.0055966172,0.0127118004
988,0.0014873973,0.0200115906
2184,0.0070596886,0.0113034439
2776,0.0058642280,0.0050933877
2991,0.0090525690,0.0143030960
4950,0.0112948587,0.0060476963
5518,0.0154888158,0.0133737358
7510,0.0169515513,0.0046787905
8296,0.0119835474,0.0000000000
8,0.0000000000,0.0129786277
123,0.0017041998,0.0032904738
210,0.0041953836,0.0099936550
401,0.0017041998,0.0255438534
1426,0.0017041998,0.0194081282
1885,0.0017041998,0.0161701400
2617,0.0029700359,0.0161532377
3401,0.0078085845,0.0132439875
4940,0.0113731977,0.0073436558
6156,0.0151495994,0.0018693126
6996,0.0119474252,0.0066358428
8542,0.0060611566,0.0011763674
9319,0.0111562061,0.0000000000
9800,0.0092714035,0.0000000000
9871,0.0120911079,0.0020118397
9,0.0000000000,0.0177533233
42,0.0023311564,0.0117783331
287,0.0045107558,0.0081713714
770,0.0023311564,0.0041994160
872,0.0023311564,0.0088052138
1010,0.0023311564,0.0200134307
1199,0.0053692024,0.0101160147
1669,0.0046934551,0.0111535142
2560,0.0108069666,0.0098379244
2757,0.0032725611,0.0063235982
3260,0.0039516132,0.0086610310
3527,0.0031936413,0.0196451843
3696,0.0061967374,0.0115252650
4531,0.0221650783,0.0064164596
5566,0.0047817931,0.0114919890
6946,0.0072930423,0.0016796889
6960,0.0135861823,0.0092997109
7509,0.0132418595,0.0063890068
8144,0.0070147464,0.0075316830
9866,0.0158011594,0.0000000000
10,0.0000000000,0.0058829112
619,0.0044084261,0.0176834461
2548,0.0025715128,0.0157003959
2623,0.0096510899,0.0224164230
3994,0.0078933865,0.0080049749
4615,0.0037529399,0.0063675900
7393,0.0091665635,0.0022051806
9217,0.0073583858,0.0000000000
11,0.0000000000,0.0306053575
219,0.0040187335,0.0116471106
1100,0.0040187335,0.0161043957
1689,0.0040187335,0.0188033698
1806,0.0140567247,0.0097896044
3486,0.0080194491,0.0103584330
3513,0.0106102348,0.0095947615
3586,0.0069865557,0.0116317696
4631,0.0125382525,0.0126251405
4874,0.0101809972,0.0091911971
5020,0.0094782529,0.0170035160
5213,0.0134385277,0.0023017658
5358,0.0078289262,0.0063565752
6097,0.0069595853,0.0082946646
6226,0.0162475678,0.0083624594
6728,0.0169447387,0.0000000000
6853,0.0175271126,0.0079133688
8106,0.0061392758,0.0027049191
8757,0.0191665652,0.0000000000
9398,0.0115178493,0.0000000000
9593,0.0184097205,0.0000000000
9808,0.0149722704,0.0000000000
12,0.0000000000,0.0309466810
1611,0.0121831997,0.0191538449
2150,0.0063622684,0.0166381063
3502,0.0079617425,0.0024599425
3857,0.0090637676,0.0069859109
4664,0.0119332727,0.0048133954
5369,0.0066469618,0.0030959405
5440,0.0240630777,0.0080931373
5769,0.0195748263,0.0036629431
6172,0.0195059489,0.0094371934
8220,0.0116512727,0.0012578858
8909,0.0301231239,0.0009318533
9021,0.0167651775,0.0030774655
9249,0.0253535653,0.0030342851
9261,0.0128549664,0.0000000000
9991,0.0216368817,0.0000000000
13,0.0000000000,0.0087761574
956,0.0011523812,0.0210296527
1365,0.0081347276,0.0058118103
3756,0.0079645736,0.0004005873
6632,0.0074316692,0.0086818348
6743,0.0078955319,0.0054149277
7710,0.0155518754,0.0064535115
8779,0.0187055623,0.0032689510
14,0.0000000000,0.0177987962
1038,0.0042420595,0.0145890551
2250,0.0053776276,0.0126887774
6253,0.0208115878,0.0022044443
6526,0.0048113368,0.0053518876
7334,0.0184721572,0.0052614134
8241,0.0366733675,0.0042810506
8316,0.0261503976,0.0047230705
8704,0.0111182675,0.0028320111
15,0.0000000000,0.0155306213
3380,0.0143496669,0.0054893869
3512,0.0097658443,0.0056769069
3646,0.0040305558,0.0088414132
3943,0.0070745908,0.0054143765
4370,0.0123915106,0.0102754606
7115,0.0148892537,0.0062084900
7575,0.0151993943,0.0108953200
7760,0.0134311745,0.0000000000
8670,0.0090391837,0.0054936901
9892,0.0181047749,0.0000000000
16,0.0000000000,0.0182619961
581,0.0047776444,0.0236647263
1642,0.0080120958,0.0095176019
2546,0.0042216484,0.0133104487
3305,0.0092054900,0.0175109703
4148,0.0105037389,0.0120565481
4259,0.0074882119,0.0061222776
5699,0.0104122607,0.0105283149
6000,0.0154678410,0.0037049209
6034,0.0125438022,0.0088663808
6714,0.0134557248,0.0106623548
7299,0.0066840478,0.0000000000
7986,0.0167960561,0.0000000000
8976,0.0195088903,0.0052164741
17,0.0000000000,0.0112292766
2019,0.0060881763,0.0128160701
2432,0.0070070063,0.0131762000
3067,0.0052407079,0.0092691564
4173,0.0072766232,0.0070216856
4423,0.0144748290,0.0228456715
4561,0.0192347791,0.0106803244
7156,0.0112776468,0.0068729880
7379,0.0079122975,0.0037035053
8903,0.0070062998,0.0008633609
18,0.0000000000,0.0064585225
254,0.0008480568,0.0034711254
1262,0.0053836263,0.0163370239
2922,0.0039546945,0.0069015189
4738,0.0066639811,0.0145657140
5527,0.0094287627,0.0069742551
5630,0.0064637616,0.0043872228
5677,0.0164430432,0.0053908745
19,0.0000000000,0.0154350497
471,0.0020267481,0.0087386746
766,0.0020267481,0.0050191984
1470,0.0061173041,0.0165145322
1876,0.0020267481,0.0108596923
2923,0.0189146005,0.0083489420
3265,0.0020267481,0.0095635437
4457,0.0132797571,0.0137652523
5446,0.0090481944,0.0103282439
6764,0.0152160577,0.0153709606
7147,0.0135674076,0.0148355046
8392,0.0208518476,0.0000000000
9286,0.0124460122,0.0000000000
20,0.0000000000,0.0120275371
663,0.0036715184,0.0188784844
1374,0.0110905106,0.0111622961
2236,0.0015793139,0.0129818363
3559,0.0029932025,0.0121831301
3700,0.0137764497,0.0035016521
4772,0.0088347923,0.0258582021
4919,0.0088566320,0.0118947763
5250,0.0100956463,0.0077808501
6639,0.0114287342,0.0015993129
7149,0.0150600233,0.0000000000
7698,0.0042108821,0.0070012613
21,0.0000000000,0.0158381176
904,0.0076700542,0.0120588141
1931,0.0098558489,0.0148219933
2048,0.0020796742,0.0069644331
2640,0.0051819817,0.0120597290
2802,0.0168939926,0.0169383380
5348,0.0096301844,0.0080138077
5368,0.0126353412,0.0095568329
5829,0.0138848946,0.0025473634
5837,0.0102110270,0.0076415931
7063,0.0045768779,0.0015643954
7725,0.0095877640,0.0000000000
7906,0.0184101300,0.0007083428
22,0.0000000000,0.0109160061
139,0.0014333608,0.0065136611
468,0.0014333608,0.0092084177
1265,0.0014333608,0.0113019766
1856,0.0039408097,0.0056457795
2490,0.0079133465,0.0057778030
4061,0.0122437096,0.0039281780
4755,0.0058082734,0.0110726638
4855,0.0074076730,0.0080083175
5623,0.0077517427,0.0083381701
6955,0.0035582669,0.0041679391
8045,0.0203028215,0.0044776883
8390,0.0099058898,0.0035239259
23,0.0000000000,0.0122655646
4074,0.0087531762,0.0106544775
6278,0.0134084817,0.0121542120
6282,0.0118266640,0.0007999218
6368,0.0060349863,0.0059663992
6568,0.0048623591,0.0051709128
7591,0.0151740908,0.0000000000
8505,0.0220263331,0.0012769296
9192,0.0113243168,0.0026452178
24,0.0000000000,0.0141209177
38,0.0018541919,0.0164008048
1592,0.0054917547,0.0052514285
2281,0.0163564374,0.0125716663
2700,0.0033382059,0.0083963562
3330,0.0221650289,0.0078738478
4517,0.0069469211,0.0008402930
5298,0.0234412990,0.0086891147
8057,0.0049392556,0.0030466034
9152,0.0230072882,0.0026090490
25,0.0000000000,0.0164667501
1152,0.0021622188,0.0072369651
1474,0.0090252874,0.0222741563
3090,0.0072163562,0.0026391578
3776,0.0132698843,0.0184309300
5289,0.0102414964,0.0038361653
6917,0.0115015652,0.0041023515
7052,0.0169991815,0.0007421176
7435,0.0222761688,0.0052511730
8983,0.0150727254,0.0023829710
9322,0.0124583674,0.0000000000
26,0.0000000000,0.0240950098
2230,0.0049473887,0.0138886949
3439,0.0092599175,0.0061042121
3770,0.0065434789,0.0101872830
3814,0.0063602560,0.0074232716
3972,0.0107921538,0.0072189779
4543,0.0064086076,0.0039452351
5275,0.0138987063,0.0156661121
5411,0.0092104341,0.0093368534
5495,0.0160229333,0.0092898277
5786,0.0150350943,0.0135896580
6164,0.0180354377,0.0092470132
6239,0.0147617991,0.0064001501
7990,0.0140158681,0.0026745806
8119,0.0265332768,0.0062983127
9173,0.0116744131,0.0014321985
27,0.0000000000,0.0043402486
91,0.0005699101,0.0085482335
1772,0.0024995392,0.0319979530
2870,0.0063086615,0.0144206438
3176,0.0054197736,0.0161241359
3753,0.0070219715,0.0073812785
3939,0.0023835696,0.0065082459
5682,0.0060321898,0.0098906723
5890,0.0028182769,0.0057335771
28,0.0000000000,0.0162491086
299,0.0021336407,0.0220779302
535,0.0021336407,0.0175506569
850,0.0046133346,0.0075380569
1103,0.0051117127,0.0071594069
3448,0.0062487051,0.0227687625
4488,0.0184559205,0.0157811721
6408,0.0148560729,0.0100597088
7482,0.0130914458,0.0000000000
8462,0.0244390725,0.0030208853
8611,0.0103903769,0.0020873241
9635,0.0222741813,0.0004657825
29,0.0000000000,0.0071590485
1881,0.0048674833,0.0138747942
2000,0.0046117354,0.0295934683
2596,0.0075692608,0.0170602255
4359,0.0104810082,0.0115889025
6077,0.0092159480,0.0117814728
7272,0.0087780146,0.0033204941
8817,0.0089975197,0.0021928519
30,0.0000000000,0.0042739796
926,0.0036396543,0.0117420860
1287,0.0020030490,0.0120833928
1766,0.0013958117,0.0085013675
2051,0.0025826000,0.0132183677
3068,0.0068104974,0.0161557699
6616,0.0095837479,0.0062463205
9873,0.0065338399,0.0000000000
31,0.0000000000,0.0102592164
1821,0.0048931104,0.0066486639
2037,0.0013471189,0.0237585369
2657,0.0082623402,0.0048644154
2873,0.0066979566,0.0146362222
4203,0.0129223866,0.0068430767
7754,0.0114991668,0.0022685445
8772,0.0208343927,0.0000000000
32,0.0000000000,0.0278338044
270,0.0036548059,0.0070809612
989,0.0036548059,0.0084882601
1609,0.0036548059,0.0137349146
1830,0.0135542631,0.0137380098
5583,0.0069549490,0.0139261894
5780,0.0141487440,0.0041055192
6010,0.0145614772,0.0037175938
6109,0.0120914203,0.0154344344
6603,0.0125180272,0.0074854769
6799,0.0183305610,0.0024224938
7045,0.0133776775,0.0035442136
8681,0.0202799461,0.0025385061
8682,0.0103932088,0.0008636032
9231,0.0188619713,0.0054037989
9878,0.0161013655,0.0000000000
33,0.0000000000,0.0181829979
