Node,Authority
10000,0.0000000000
50066,0.0000000000
1,0.0122508867
989,0.0110771646
1038,0.0110136111
1256,0.0101384212
1607,0.0206801681
2310,0.0064560640
3641,0.0222881609
6354,0.0118322720
8198,0.0041250287
8751,0.0000000000
9247,0.0000000000
2,0.0051261329
1017,0.0097602496
1947,0.0120728759
2071,0.0091314781
3372,0.0317570157
4073,0.0043429104
4687,0.0062557337
6603,0.0079472255
3,0.0134575457
1575,0.0137924769
1756,0.0104256874
1869,0.0085384244
2076,0.0159174215
2564,0.0096990131
2731,0.0113054044
4020,0.0086132332
6117,0.0070296272
7242,0.0035799882
8378,0.0014493124
4,0.0074096944
175,0.0083835258
852,0.0094870546
1027,0.0150828587
2254,0.0102244174
3503,0.0092980069
4660,0.0191670409
5283,0.0079635262
5767,0.0083735698
8259,0.0131339871
8541,0.0000000000
5,0.0048242481
3379,0.0201914833
4329,0.0060393865
4610,0.0088533515
6903,0.0068965318
7091,0.0033069240
6,0.0115491985
482,0.0048027144
1171,0.0025370379
3930,0.0107717437
4720,0.0112663755
4934,0.0030774713
4986,0.0042555753
6291,0.0091565191
7216,0.0015896788
8707,0.0000000000
7,0.0122965458
85,0.0144822805
1512,0.0051709704
3727,0.0052114825
3982,0.0087141623
6557,0.0049326247
7018,0.0000000000
8441,0.0016049819
9741,0.0000000000
8,0.0132357084
543,0.0087971108
820,0.0081917959
1175,0.0075380293
3030,0.0077642516
3698,0.0097233606
4778,0.0029031723
7684,0.0025917700
8876,0.0019951902
9692,0.0016049819
9720,0.0000000000
9,0.0124496123
137,0.0101534587
779,0.0163457509
1403,0.0107211902
2842,0.0241830087
6122,0.0086843745
7148,0.0129956605
7603,0.0000000000
7676,0.0038409490
9818,0.0000000000
9879,0.0000000000
10,0.0082463984
552,0.0238637466
980,0.0108532156
1935,0.0258389794
2729,0.0046858415
6733,0.0055605800
7214,0.0083705316
7911,0.0046930357
9343,0.0023219089
9355,0.0000000000
11,0.0120218920
1455,0.0118617437
6552,0.0014256037
7087,0.0025863510
8194,0.0029960830
8221,0.0000000000
9250,0.0000000000
9280,0.0039292839
9917,0.0028392706
12,0.0194917069
1655,0.0103188926
3524,0.0077705589
3753,0.0143396183
5739,0.0079897736
6506,0.0033423655
6845,0.0019950502
7691,0.0021878544
7964,0.0033268773
8589,0.0000000000
9320,0.0000000000
9729,0.0000000000
13,0.0165534815
99,0.0142326040
1123,0.0111444046
1258,0.0193097824
2756,0.0016079127
