Node,Hub
10000,0.0025409462
25113,0.0000000000
1,0.0000000000
1699,0.0109687925
2033,0.0105396516
4439,0.0081578944
5135,0.0144426718
5202,0.0118280480
5310,0.0081578944
7701,0.0187650174
7923,0.0401691393
9201,0.0402678556
9396,0.0170512486
2,0.0000000000
1486,0.0049620068
2182,0.0170543260
3462,0.0305147121
6549,0.0085207022
7662,0.0162030922
3,0.0000000000
124,0.0003518666
2305,0.0034175408
2322,0.0003518666
8839,0.0036575106
4,0.0000000000
4766,0.0017908376
6473,0.0078966826
7153,0.0056981118
9461,0.0055882631
5,0.0000000000
1366,0.0001917358
3749,0.0032075673
5739,0.0008394381
6,0.0000000000
210,0.0021781929
708,0.0034496093
1272,0.0060471542
3443,0.0021781929
6665,0.0105236735
7133,0.0066372531
9031,0.0171396702
7,0.0000000000
1419,0.0020464349
3247,0.0005315300
3428,0.0004735714
8,0.0000000000
606,0.0034405287
1874,0.0019493630
3517,0.0024091411
4030,0.0037287879
4231,0.0065676582
5373,0.0057359158
6560,0.0108062500
9920,0.0084573122
9,0.0000000000
3642,0.0033921954
5184,0.0038275993
5366,0.0051143453
10,0.0000000000
2844,0.0107302127
4093,0.0071688935
4286,0.0131346473
8623,0.0321387234
11,0.0000000000
3683,0.0036294229
5727,0.0220145231
7827,0.0065214503
9189,0.0099391656
9236,0.0156152588
9808,0.0123525524
12,0.0000000000
1200,0.0003320828
4831,0.0031817387
13,0.0000000000
650,0.0002325090
702,0.0002325090
6547,0.0032994003
9447,0.0013757035
14,0.0000000000
4268,0.0040694897
8429,0.0041946801
15,0.0000000000
16,0.0031345218
319,0.0031345218
2180,0.0031345218
3717,0.0148106376
5337,0.0083715955
7286,0.0223461157
8630,0.0143635979
3124,0.0018555557
4257,0.0123578069
4538,0.0155849019
4869,0.0014819699
7695,0.0014819699
17,0.0000000000
1637,0.0124774369
7287,0.0104063716
8922,0.0139038703
18,0.0000000000
1213,0.0036932655
1605,0.0051782856
3890,0.0069700964
6400,0.0242117549
6974,0.0052737161
9507,0.0095114204
19,0.0000000000
1954,0.0037092137
3324,0.0134486924
5005,0.0207582626
5828,0.0037092137
7005,0.0403749643
20,0.0000000000
2798,0.0028265669
3245,0.0106656083
3314,0.0017154153
7605,0.0102183138
7843,0.0124971311
21,0.0000000000
27,0.0021770330
729,0.0045587902
3632,0.0039865513
3885,0.0136544674
5704,0.0046346087
5731,0.0058393387
6132,0.0053610962
8077,0.0079162156
22,0.0000000000
171,0.0044227121
186,0.0020372851
2016,0.0092894067
2787,0.0029268451
3344,0.0070302770
7326,0.0074838738
9509,0.0118482751
23,0.0000000000
363,0.0010267288
1917,0.0010267288
5201,0.0136339635
9325,0.0040568810
9940,0.0029538055
24,0.0000000000
3114,0.0026082481
4098,0.0011591272
5172,0.0032018647
6212,0.0113884903
7464,0.0024732249
9229,0.0017934429
9351,0.0030006664
25,0.0000000000
4217,0.0074417537
5432,0.0075724890
5689,0.0034356549
5716,0.0055012638
7434,0.0050231253
7878,0.0097174503
9175,0.0096206619
26,0.0000000000
1453,0.0048220447
6596,0.0013062324
9487,0.0012126351
28,0.0000000000
1015,0.0035587873
1158,0.0019326614
2176,0.0010512690
3566,0.0014886676
7683,0.0134074793
29,0.0000000000
3894,0.0112336941
4900,0.0167418166
5289,0.0159170660
6681,0.1252563490
9104,0.0119636994
30,0.0000000000
4750,0.0024808584
5952,0.0021816716
31,0.0000000000
2228,0.0036286883
3161,0.0055418659
3761,0.0099586744
5393,0.0129486177
5743,0.0046589256
8981,0.0434833914
32,0.0000000000
6172,0.0174783351
6997,0.0055964520
8811,0.0023298495
33,0.0000000000
3394,0.0058048704
6034,0.0034782074
6706,0.0278239763
9190,0.0104080500
34,0.0000000000
1107,0.0009849746
1294,0.0013406556
6067,0.0090575630
8005,0.0103918442
35,0.0000000000
576,0.0018118062
2562,0.0018118062
2821,0.0097848390
6185,0.0135170883
6335,0.0131284265
36,0.0000000000
402,0.0036352191
1279,0.0029667961
1367,0.0114409544
3859,0.0047101670
4619,0.0074465633
5456,0.0044952893
6339,0.0308925557
37,0.0000000000
1809,0.0018606000
1873,0.0005891836
2040,0.0005891836
2418,0.0064333274
6308,0.0035529020
38,0.0000000000
1229,0.0013023672
2183,0.0013023672
3690,0.0130886808
4358,0.0024685328
4541,0.0045744699
8726,0.0060552723
39,0.0000000000
1521,0.0024598781
3326,0.0098780224
3791,0.0200425046
5327,0.0187411589
6224,0.0032594661
40,0.0000000000
2903,0.0011781896
6019,0.0011781896
8865,0.0123443540
8903,0.0113457383
41,0.0000000000
318,0.0251224954
7205,0.0142829269
9380,0.0096752275
42,0.0000000000
2771,0.0091523243
3370,0.0080014791
4134,0.0054482546
4991,0.0068765737
5645,0.0250130078
7439,0.0104791680
8751,0.0113517909
8858,0.0166622225
9499,0.0054931069
43,0.0000000000
835,0.0026327325
849,0.0026327325
2810,0.0071324532
3415,0.0044137758
6940,0.0253973005
7791,0.0092118688
9971,0.0067814846
44,0.0000000000
148,0.0000825646
912,0.0000825646
3562,0.0000825646
4424,0.0014950127
5042,0.0000825646
45,0.0000000000
2857,0.0048118654
3078,0.0056114535
3539,0.0135160998
4341,0.0129127932
5501,0.0058799072
8323,0.0118493870
9223,0.0216621896
9348,0.0301331591
46,0.0000000000
4352,0.0285179787
5679,0.0096594055
6809,0.0071762659
7860,0.0166206819
47,0.0000000000
851,0.0013907526
1090,0.0013907526
1386,0.0013907526
6186,0.0013907526
7194,0.0122645351
9256,0.0129181251
48,0.0000000000
1222,0.0018279357
4136,0.0103451116
4580,0.0132897743
4753,0.0036198576
5182,0.0066873353
5308,0.0046405413
49,0.0000000000
2136,0.0049987271
2835,0.0072955253
2973,0.0042945379
2983,0.0274082121
5152,0.0107032755
5163,0.0064306609
8112,0.0055867202
9772,0.0109303896
50,0.0000000000
1551,0.0187194868
5109,0.0291067629
5200,0.0140827284
5740,0.0110928934
6885,0.0102904354
7585,0.0130928488
8115,0.0112324703
9429,0.0140724543
51,0.0000000000
2548,0.0040115063
5599,0.0032522278
5668,0.0079782705
5855,0.0063535696
6096,0.0171843163
52,0.0000000000
2353,0.0025713466
2660,0.0035656866
3693,0.0025713466
3989,0.0092109727
5703,0.0260239856
6653,0.0129019262
53,0.0000000000
629,0.0000000000
54,0.0000000000
1758,0.0057425709
3660,0.0094106949
4087,0.0051346297
4698,0.0158355024
6235,0.0130033729
6291,0.0116261697
7311,0.0236494222
8996,0.0291099195
55,0.0000000000
7489,0.0044810595
56,0.0000000000
1601,0.0002469512
6445,0.0027559408
9904,0.0024565072
57,0.0000000000
4129,0.0057768350
58,0.0000000000
398,0.0049408295
1337,0.0005754557
1674,0.0005754557
6739,0.0043734328
7119,0.0022565402
59,0.0000000000
648,0.0044440028
2492,0.0103838409
3565,0.0051845419
3992,0.0075622190
4920,0.0076133384
5489,0.0131850954
8250,0.0419003033
9888,0.0079712959
60,0.0000000000
334,0.0072410952
1469,0.0025596062
7915,0.0093093074
61,0.0000000000
3170,0.0046424886
6686,0.0018881479
6693,0.0065008172
62,0.0000000000
2350,0.0017034205
2368,0.0026951511
7075,0.0019696173
9314,0.0108898621
9571,0.0091630115
9977,0.0112367925
63,0.0000000000
3430,0.0012229170
3680,0.0090816563
6444,0.0057864034
6906,0.0109442958
64,0.0000000000
2770,0.0072756157
4758,0.0048132538
