Node,Authority
500,0.0000000000
6211,0.0000000000
1,0.0427456881
6,0.0627266700
45,0.0396717942
63,0.0659650881
86,0.0794098481
102,0.0500448968
105,0.0539801267
106,0.0417439073
133,0.0737339585
209,0.0469016574
234,0.0335180718
327,0.0242642283
362,0.0111722519
375,0.0205547740
389,0.0143238452
412,0.0248988409
434,0.0114202891
447,0.0084586545
475,0.0044468763
489,0.0032913814
2,0.0786850039
4,0.0870250274
5,0.0452866578
8,0.0717402765
25,0.0520918837
37,0.0472918195
43,0.0764685961
90,0.0627864994
132,0.0754113645
137,0.0627641068
145,0.0715406083
178,0.0818607291
186,0.0511737021
193,0.0396310073
228,0.0591733713
232,0.0434471608
249,0.0352954343
255,0.0537131357
269,0.0318940712
282,0.0562631819
345,0.0270723248
346,0.0451128695
366,0.0046234386
369,0.0225558692
373,0.0289594836
380,0.0126636184
387,0.0195028004
388,0.0142293232
396,0.0107297749
397,0.0302653145
400,0.0155449982
473,0.0028349314
492,0.0000000000
3,0.0805133053
62,0.0641155181
96,0.0392276086
103,0.0639214197
120,0.0566255537
128,0.0812309577
148,0.0482457949
191,0.0155287010
197,0.0506573073
256,0.0412972531
264,0.0226256840
272,0.0455326310
290,0.0357183543
292,0.0206248223
312,0.0120110013
354,0.0356134659
356,0.0330138957
358,0.0319900349
386,0.0170014739
411,0.0247411951
446,0.0074877984
476,0.0044468763
485,0.0035204644
26,0.0489939959
39,0.0270735786
42,0.0792100865
65,0.0703523773
85,0.0426421937
141,0.0440665860
152,0.0423380558
160,0.0513957388
172,0.0892996318
181,0.0459661768
194,0.0537046827
204,0.0565857560
215,0.0702436714
259,0.0515187186
261,0.0543983921
270,0.0324966752
273,0.0519291487
285,0.0317680378
297,0.0543899420
299,0.0294497792
307,0.0178750241
308,0.0307458086
315,0.0350956284
371,0.0162654471
385,0.0292160096
392,0.0458922143
394,0.0091867553
413,0.0210398997
449,0.0148163533
459,0.0032047547
472,0.0029149493
477,0.0000000000
499,0.0000000000
67,0.0788410536
227,0.0270752525
243,0.0395977161
321,0.0353995069
332,0.0149400051
336,0.0231437932
374,0.0307306912
404,0.0220178498
420,0.0116942073
432,0.0177473672
438,0.0000000000
460,0.0082486601
23,0.0518937767
91,0.0450803725
117,0.0757661271
118,0.0415758577
129,0.0335847865
144,0.0360903296
157,0.0159018965
182,0.0406240136
233,0.0423604013
242,0.0767938748
283,0.0195867136
298,0.0390726394
323,0.0603045297
349,0.0134425377
365,0.0391531249
376,0.0120181493
381,0.0246819782
393,0.0139954434
474,0.0121008022
7,0.0731362022
27,0.0580632283
38,0.0744168177
52,0.0703399488
116,0.0726947064
235,0.0338307884
250,0.0560307513
310,0.0198531757
341,0.0373280424
352,0.0142811517
406,0.0062604399
414,0.0250605180
435,0.0107665586
456,0.0154119630
465,0.0114921573
495,0.0000000000
19,0.0665750305
30,0.0331302073
34,0.0741247260
48,0.0456608447
68,0.0611305244
89,0.0572293300
93,0.0395173051
112,0.0641451440
174,0.0561460168
175,0.0793826072
177,0.0332921417
214,0.0472794536
225,0.0343343665
296,0.0418019311
305,0.0256000759
309,0.0327638404
317,0.0558351758
405,0.0179089124
416,0.0222915327
422,0.0150861346
450,0.0195406233
9,0.0618120794
13,0.0486288126
50,0.0588146640
55,0.0572546497
83,0.0581706441
121,0.0700060831
123,0.0473314583
127,0.0762539176
147,0.0460144478
153,0.0736937260
165,0.0360998126
180,0.0532773043
286,0.0494039678
370,0.0134170429
390,0.0250015520
399,0.0211715917
418,0.0062076298
464,0.0190230293
467,0.0086438115
488,0.0000000000
10,0.0500986738
66,0.0639090854
75,0.0672104404
104,0.0717153162
111,0.0662112045
