Node,Authority
500,0.0000000000
1248,0.0000000000
1,0.0813970961
11,0.0786475534
134,0.0017672426
150,0.0040153538
165,0.0226106854
186,0.0302987920
245,0.0019320465
430,0.0000000000
448,0.0000000000
2,0.0067330805
38,0.0000000000
156,0.0335674250
258,0.0218161700
276,0.0268181811
3,0.0191688375
14,0.0061484125
57,0.0207697410
281,0.0387672524
491,0.0000000000
4,0.2127510365
120,0.0765595440
144,0.0735749095
171,0.0155375862
227,0.0112078619
260,0.0386539819
270,0.0201782806
314,0.0156076655
397,0.0119871435
446,0.0000000000
449,0.0000000000
465,0.0061454776
5,0.0828452083
191,0.0212180007
285,0.0144340723
297,0.0167560507
395,0.0346067215
420,0.1014149251
6,0.0705066872
231,0.0618244024
262,0.0000000000
388,0.0000000000
495,0.0000000000
7,0.0684163339
24,0.0277089784
112,0.0024404591
197,0.0283965773
205,0.0143447295
271,0.0338287822
375,0.0129418375
474,0.0000000000
8,0.0964889966
249,0.0080244699
324,0.0293860652
349,0.0078406682
9,0.0554521338
74,0.0059479600
221,0.0020765385
418,0.0000000000
490,0.0000000000
56,0.0523022991
65,0.0469644627
189,0.0328230438
206,0.0228016561
216,0.0049524365
240,0.0236339711
316,0.0348218124
493,0.0114337641
12,0.0551657713
157,0.0056529793
243,0.1119097613
322,0.0510366139
346,0.0170905690
480,0.0000000000
13,0.0237149651
19,0.0579249500
234,0.0358041644
283,0.0120606818
334,0.0000000000
459,0.0000000000
69,0.0518779682
73,0.0110780826
275,0.0145709495
15,0.0905120994
59,0.0193139424
127,0.0338571260
128,0.0566894014
278,0.0635348866
293,0.0130689264
374,0.0000000000
16,0.0931079444
94,0.0255445100
17,0.0463331696
54,0.0622116895
233,0.0030968287
470,0.0000000000
487,0.0000000000
18,0.0000000000
43,0.0000000000
51,0.0986586193
289,0.0292666383
118,0.0295606823
181,0.0394312516
372,0.0000000000
479,0.0000000000
20,0.0054470214
63,0.0038599132
214,0.0181531888
21,0.0406765233
86,0.0207695058
90,0.0291509596
369,0.0000000000
417,0.0000000000
22,0.0355147025
55,0.0093319952
135,0.0010200083
329,0.0196705006
336,0.0000000000
23,0.0110030267
40,0.1054579533
179,0.0246261870
49,0.1825987846
102,0.0219921067
131,0.0059275801
220,0.0457412852
481,0.0022825894
25,0.0103177202
300,0.0119871435
344,0.0056236150
26,0.0235177491
64,0.0202202182
235,0.0068190307
268,0.0211890973
332,0.0234261877
381,0.0000000000
27,0.0028325441
28,0.0159379974
162,0.0167217803
185,0.0907599560
203,0.0060824066
29,0.0645020914
41,0.0298120475
133,0.0304540744
30,0.0643359829
50,0.0176371882
119,0.0428265480
126,0.0498455011
318,0.0147367169
339,0.0205390702
343,0.0278193831
383,0.0490183698
411,0.0132909658
496,0.0000000000
31,0.0206841900
182,0.0560915550
252,0.0920872341
483,0.0033102582
32,0.0327945417
100,0.0128058821
432,0.0017575871
33,0.1170351876
123,0.0439567251
370,0.0000000000
447,0.0178328742
34,0.0034770623
35,0.0361760747
352,0.0086522033
407,0.0056529793
36,0.1287518692
217,0.0114752550
242,0.0090825663
248,0.0600453066
257,0.0333286945
298,0.0492276199
333,0.0000000000
416,0.0056236150
453,0.0000000000
475,0.0000000000
499,0.0000000000
37,0.0359934760
42,0.0280486953
149,0.0348189418
209,0.0329593381
471,0.0000000000
39,0.0047446390
152,0.0514097570
188,0.0410382367
328,0.1057100885
486,0.0000000000
492,0.0000000000
114,0.0317758599
284,0.0081932523
317,0.0082904934
340,0.0000000000
458,0.0000000000
115,0.0569673440
44,0.0238360219
117,0.0399045077
121,0.1600864246
382,0.0092812276
45,0.0111667669
72,0.0980401841
154,0.0315441720
472,0.0033102582
482,0.0196705006
46,0.0306405857
161,0.0076363758
224,0.0818533227
312,0.0805451832
47,0.1861079243
194,0.0043907808
200,0.0503120846
201,0.0136448946
469,0.0000000000
48,0.0345906105
148,0.0272932825
451,0.0000000000
155,0.0118544341
302,0.0160604847
310,0.0610537946
362,0.0258072687
436,0.0000000000
409,0.0221487683
267,0.1841842445
368,0.0162163992
378,0.0290690846
379,0.0669480197
460,0.0000000000
52,0.0267204760
103,0.1094723996
367,0.0059416481
53,0.0688704827
122,0.0334443771
164,0.0070633173
172,0.0000000000
183,0.0635896554
439,0.0025754940
467,0.0016817719
326,0.0369308634
351,0.0250870607
414,0.0268181811
497,0.0000000000
84,0.0316313322
357,0.0000000000
484,0.0000000000
58,0.0101989194
202,0.0101573096
60,0.0458362943
204,0.0076271655
61,0.0467821751
195,0.0201886762
226,0.0058010969
291,0.0074029969
456,0.0000000000
62,0.0279673309
89,0.0349984434
288,0.0331126087
360,0.0022825894
413,0.0018050048
111,0.0060870425
83,0.0844839167
145,0.0703244946
210,0.0216652869
376,0.0278790315
425,0.0025261397
66,0.0406678102
280,0.0393777516
319,0.0219551853
67,0.0196090365
71,0.0099539065
95,0.0387826007
68,0.0000000000
136,0.0363964492
452,0.0234645358
70,0.0709518571
247,0.0345987088
279,0.0386971963
415,0.0268181811
230,0.0108123628
309,0.0154695990
341,0.0152294375
377,0.0219551853
454,0.0000000000
255,0.0000000000
385,0.0147367169
75,0.0499047926
228,0.0000000000
273,0.0060870425
307,0.0345834144
311,0.0546377726
468,0.0000000000
76,0.0399276656
295,0.0302307519
476,0.0000000000
77,0.0398195365
213,0.1000785826
353,0.0055488609
78,0.0161225195
79,0.0348123503
137,0.0069254766
356,0.0074029969
80,0.0182450582
81,0.0765138417
87,0.0020291936
184,0.0374913117
345,0.0209383961
427,0.0000000000
82,0.0402343187
88,0.0514735186
207,0.0094785892
488,0.0000000000
208,0.0435305766
85,0.0177950496
241,0.0625732475
259,0.0123799332
315,0.0100454516
431,0.0000000000
239,0.0635111641
373,0.0034541538
170,0.0308359472
91,0.0586443029
253,0.0615837775
342,0.0000000000
462,0.0000000000
92,0.0452806863
193,0.0291182969
438,0.0000000000
498,0.0000000000
93,0.0239840013
98,0.0717640278
442,0.0000000000
159,0.0509961782
274,0.0115337584
