Node,Hub
500,0.0240140503
1248,0.0000000000
1,0.0000000000
11,0.0179006772
134,0.1050433715
150,0.0251127835
165,0.0346288284
186,0.0304288150
245,0.0198076917
430,0.0810450559
448,0.0561571535
2,0.0000000000
38,0.0014807248
156,0.0014807248
258,0.0236376348
276,0.0040172046
3,0.0000000000
14,0.0042155702
57,0.0274076602
281,0.0303086893
491,0.0252314175
4,0.0000000000
120,0.0622934395
144,0.0680074140
171,0.0504651765
227,0.0832908260
260,0.0543966329
270,0.0671769807
314,0.0491655899
397,0.1916194713
446,0.0731476131
449,0.1055021440
465,0.1623480413
5,0.0000000000
191,0.0575993555
285,0.0413141676
297,0.0394387991
395,0.1163558299
420,0.0916927902
6,0.0000000000
231,0.0265211331
262,0.0845405531
388,0.0500871221
495,0.0971621416
7,0.0000000000
24,0.0150459755
112,0.0158106436
197,0.0234063774
205,0.0167026487
271,0.0807878857
375,0.0257222540
474,0.1336223312
8,0.0000000000
249,0.0499110593
324,0.2121435586
349,0.0692508471
9,0.0000000000
74,0.0186853221
221,0.0121949160
418,0.0132182628
490,0.0164319360
56,0.0172960036
65,0.0184939010
189,0.0473532004
206,0.0172960036
216,0.0418431648
240,0.0742895551
316,0.0516056465
493,0.0894448476
12,0.0000000000
157,0.0336871426
243,0.0733115218
322,0.0121319397
346,0.0476267094
480,0.0840895155
13,0.0000000000
19,0.0052153450
234,0.0122279159
283,0.0420284489
334,0.0132393039
459,0.0114867026
69,0.0128543569
73,0.0013521459
275,0.0137512168
15,0.0000000000
59,0.0199052295
127,0.0367319917
128,0.0292670770
278,0.0720597184
293,0.0356112905
374,0.0263785274
16,0.0000000000
94,0.0421728971
17,0.0000000000
54,0.0101894927
233,0.0488231678
470,0.0257048499
487,0.1259657216
18,0.0000000000
43,0.0000000000
51,0.0000000000
289,0.0000000000
118,0.0285209257
181,0.0542021111
372,0.1275579134
479,0.0531132793
20,0.0000000000
63,0.0050766305
214,0.0011978974
21,0.0000000000
86,0.0361005825
90,0.0131929763
369,0.0456782179
417,0.0089454950
22,0.0000000000
55,0.0078103183
135,0.0128800330
329,0.0196228089
336,0.1211778785
23,0.0000000000
40,0.0024197624
179,0.0062984955
49,0.0060936999
102,0.0104060778
131,0.0157605699
220,0.0281027701
481,0.0656341935
25,0.0000000000
300,0.0256322513
344,0.0212839622
26,0.0000000000
64,0.0051719736
235,0.0115756079
268,0.0163869453
332,0.0135323755
381,0.0602719975
27,0.0000000000
28,0.0000000000
162,0.0148109757
185,0.0100612531
203,0.0476001821
29,0.0000000000
41,0.0141851635
133,0.0141851635
30,0.0000000000
50,0.0141486333
119,0.0187162708
126,0.0141486333
318,0.0548567090
339,0.0510230284
343,0.0318249081
383,0.0730293374
411,0.0190905701
496,0.0157064997
31,0.0000000000
182,0.0045488233
252,0.0193708869
483,0.0701342656
32,0.0000000000
100,0.0458213051
432,0.0445003105
33,0.0000000000
123,0.0270461937
370,0.1082620469
447,0.1582015182
34,0.0000000000
35,0.0000000000
352,0.0900024286
407,0.0213825872
36,0.0000000000
217,0.0409446409
242,0.0283148388
248,0.0536276163
257,0.0825450692
298,0.0650470329
333,0.0581687012
416,0.0545071632
453,0.0500364010
475,0.0524278219
499,0.0998334590
37,0.0000000000
42,0.0079156091
149,0.0159319913
209,0.0219001116
471,0.0982968197
39,0.0000000000
152,0.0215745017
188,0.0721247813
328,0.0445828562
486,0.0871876384
492,0.0372847256
114,0.0354965575
284,0.0076914459
317,0.0727357752
340,0.0257637753
458,0.0213505106
115,0.0000000000
44,0.0000000000
117,0.0052419675
121,0.0155702928
382,0.0662231988
45,0.0000000000
72,0.0024557718
154,0.0024557718
472,0.0354860865
482,0.0103792638
46,0.0000000000
161,0.0235752258
224,0.0385867742
312,0.0771656336
47,0.0000000000
194,0.0498720399
200,0.0571088996
201,0.0865035074
469,0.1219459653
48,0.0000000000
148,0.0076070939
451,0.0766523413
155,0.0468541341
302,0.1216712444
310,0.0569194996
362,0.0804951522
436,0.0987906011
409,0.0431915843
267,0.1030414419
368,0.0234986376
378,0.0924125513
379,0.0589747779
460,0.0811628337
52,0.0000000000
103,0.0058763106
367,0.0101237919
53,0.0000000000
122,0.0151458509
164,0.0352687226
172,0.0749544540
183,0.0151458509
439,0.0676302233
467,0.0604359149
326,0.0276787096
351,0.0727925613
414,0.0424339285
497,0.0519908979
84,0.0133246658
357,0.0515790370
484,0.0108228157
58,0.0000000000
202,0.0276907034
60,0.0000000000
204,0.0728426211
61,0.0000000000
195,0.0258540433
226,0.0182584063
291,0.0458205257
456,0.0267308562
62,0.0000000000
89,0.0061505163
288,0.0137573409
360,0.0307827649
413,0.0265701740
111,0.0008488640
83,0.0121026461
145,0.0212836006
210,0.0199655740
376,0.0777600084
425,0.0255714215
66,0.0000000000
280,0.0581952521
319,0.0350121501
67,0.0000000000
71,0.0043123778
95,0.0043123778
68,0.0000000000
136,0.0000000000
452,0.0466989785
70,0.0000000000
247,0.0156035823
279,0.0202634438
415,0.0449934354
230,0.0108655656
309,0.0097945534
341,0.0246018020
377,0.1038659515
454,0.0691394451
255,0.0121344205
385,0.0382392731
75,0.0000000000
228,0.0412013077
273,0.0186322645
307,0.0354170215
311,0.0484284328
468,0.0141063839
76,0.0000000000
295,0.0092270637
476,0.0303422040
77,0.0000000000
213,0.0193512042
353,0.0394311319
78,0.0000000000
79,0.0000000000
137,0.0076558584
356,0.0331352373
80,0.0000000000
81,0.0000000000
87,0.0168267622
184,0.0168267622
345,0.0318698716
427,0.1230604031
82,0.0000000000
88,0.0088482463
207,0.0088482463
488,0.0952097501
208,0.0226548579
85,0.0000000000
241,0.0121454311
259,0.0039134497
315,0.0087005935
431,0.0082076330
239,0.0113199474
373,0.0347237850
170,0.0076967836
91,0.0000000000
253,0.0319783451
342,0.0128969311
462,0.0918140056
92,0.0000000000
193,0.0171764071
438,0.1062693535
498,0.0279443352
93,0.0000000000
98,0.0056176946
442,0.0457624322
159,0.0085289875
274,0.0089856555
389,0.0344991769
96,0.0000000000
196,0.0164238305
301,0.0752748199
384,0.0478052534
97,0.0000000000
265,0.0087852935
218,0.0586996709
236,0.0366852345
99,0.0000000000
364,0.0509636916
180,0.0028162425
299,0.0178407831
350,0.0081421587
361,0.0172856485
101,0.0000000000
404,0.0222610179
168,0.0204022639
266,0.0350988676
104,0.0000000000
320,0.0351226074
485,0.0810885817
105,0.0000000000
106,0.0000000000
337,0.0437561634
107,0.0000000000
323,0.0499527896
108,0.0000000000
423,0.0422031341
109,0.0000000000
167,0.0199274142
365,0.0130096575
110,0.0000000000
394,0.2382005492
113,0.0005367006
366,0.0105604387
215,0.0096962812
371,0.1090105686
380,0.0096962812
386,0.0223088809
440,0.0271188352
124,0.0069880799
450,0.0652277217
116,0.0000000000
272,0.0079411035
139,0.0087757149
177,0.0094183239
303,0.0168368130
146,0.0476728812
277,0.0352058679
347,0.0727926180
428,0.0686324204
125,0.0000000000
160,0.0109619172
187,0.0183685172
250,0.0225194194
421,0.0562170903
287,0.0399448646
304,0.0662565493
129,0.0000000000
132,0.0441381067
441,0.0709705749
130,0.0000000000
327,0.0029394049
225,0.0066973956
169,0.0003886483
473,0.0076472754
178,0.0002243181
308,0.0044138200
138,0.0000000000
140,0.0000000000
141,0.0000000000
223,0.0386352668
251,0.0316638204
406,0.0670100289
142,0.0000000000
325,0.0124719872
444,0.0972666378
143,0.0000000000
256,0.0161804385
355,0.0731352773
147,0.0000000000
306,0.0508109878
424,0.0506408841
190,0.0076573080
402,0.0321180512
151,0.0000000000
174,0.0263304656
396,0.0472278940
494,0.0953635231
153,0.0000000000
348,0.0100405088
296,0.0161013980
321,0.0208985361
237,0.0036960557
158,0.0000000000
229,0.0145319562
363,0.0221408311
286,0.0382380154
478,0.0075515843
163,0.0000000000
358,0.0119164907
166,0.0000000000
331,0.0053811524
292,0.0292022244
399,0.0133160227
232,0.0034169931
419,0.0000000000
173,0.0000000000
175,0.0000000000
290,0.0296320686
408,0.0761995675
429,0.0822108721
176,0.0000000000
338,0.0279901625
457,0.0442166874
401,0.0248793631
405,0.0084425484
412,0.0276575312
192,0.0000000000
198,0.0000000000
477,0.0291596619
199,0.0000000000
437,0.0336624834
263,0.0022337741
335,0.0346818574
398,0.0094380061
354,0.0072483479
400,0.0227655937
211,0.0000000000
212,0.0000000000
466,0.0215668317
219,0.0000000000
244,0.0004566680
222,0.0000000000
305,0.0548415522
238,0.0135962918
489,0.0150522618
391,0.0356527516
246,0.0054443697
461,0.0235688254
422,0.0132050368
455,0.0017647245
264,0.0020300727
254,0.0000000000
269,0.0027225687
261,0.0000000000
359,0.0000000000
426,0.0231210731
282,0.0000000000
393,0.0215208023
294,0.0000000000
435,0.0079920362
410,0.0047087162
443,0.0260266979
313,0.0000000000
392,0.0280603600
445,0.0000000000
387,0.0000000000
464,0.0022866552
433,0.0000000000
434,0.0007982362
463,0.0041595420
