Node,Hub
5000,0.0216682841
37568,0.0000000000
1,0.0000000000
100,0.0011266933
588,0.0011266933
1171,0.0105820405
1700,0.0011266933
1949,0.0070791345
3554,0.0116680501
3827,0.0297458162
3885,0.0150106518
4748,0.0242674730
4772,0.0164331315
4941,0.0129574167
2,0.0000000000
202,0.0024547427
281,0.0042092869
828,0.0041660661
1008,0.0132511925
1752,0.0125097172
2007,0.0181621031
2319,0.0274211153
2886,0.0202059850
2966,0.0130140186
3089,0.0149691581
3130,0.0157682233
3242,0.0183912726
3327,0.0238572815
3550,0.0145481795
4166,0.0176522057
4330,0.0244177350
4431,0.0219827712
4910,0.0187003567
3,0.0000000000
385,0.0066156036
534,0.0036986198
820,0.0106496838
1097,0.0077020306
1799,0.0116121320
1820,0.0103529244
1828,0.0082461042
2231,0.0298100694
2276,0.0148917195
2382,0.0139997150
2474,0.0163410065
2928,0.0127098066
3083,0.0232706725
3355,0.0245464921
3376,0.0126671628
3592,0.0206400449
4026,0.0230564898
4716,0.0359758468
4911,0.0349518260
4,0.0000000000
200,0.0024742032
452,0.0041863989
495,0.0063376295
1096,0.0101142330
1178,0.0137620121
1268,0.0121785135
1321,0.0109625880
1869,0.0085733479
2027,0.0182366206
2148,0.0208225573
2853,0.0176817430
2959,0.0107226284
3402,0.0283474010
3441,0.0258229843
3998,0.0096044817
4212,0.0304385853
4568,0.0321300637
4888,0.0255496854
5,0.0000000000
140,0.0022189443
193,0.0046647501
239,0.0029224700
256,0.0030558286
504,0.0009543679
1043,0.0024389336
1454,0.0113376538
1558,0.0136302126
1892,0.0096634295
3447,0.0271597146
4010,0.0154004863
4126,0.0176217862
6,0.0000000000
184,0.0070299859
665,0.0016835615
1082,0.0045487060
1136,0.0104105424
1543,0.0121901466
1668,0.0137455815
1706,0.0095483058
1860,0.0042171525
2126,0.0103810824
2320,0.0299743637
2820,0.0144248268
2943,0.0230738690
3000,0.0107032914
3437,0.0186835831
4366,0.0253160181
7,0.0000000000
409,0.0031988253
1292,0.0153474804
1337,0.0121540720
1909,0.0121358915
2299,0.0214536039
2613,0.0221289967
2799,0.0211282602
2837,0.0178871769
2881,0.0230010404
3040,0.0154569808
3183,0.0084638171
3266,0.0163075622
3334,0.0345383759
3367,0.0168606282
3439,0.0233017887
3460,0.0227117187
3615,0.0162414606
3678,0.0135952950
4105,0.0151029255
4462,0.0172287526
4698,0.0240331964
8,0.0000000000
91,0.0036474412
268,0.0079880333
290,0.0039313244
1833,0.0138132525
1919,0.0094608590
2048,0.0084475266
2388,0.0083150323
3157,0.0221928438
3316,0.0109770193
3655,0.0091317204
3950,0.0220208684
4128,0.0250038171
4161,0.0220413937
4724,0.0180726426
9,0.0000000000
729,0.0051323298
1457,0.0166971216
2279,0.0091724233
2431,0.0179667225
3059,0.0274671066
3216,0.0238261804
3226,0.0239731285
3360,0.0262116597
3546,0.0280710308
3587,0.0141392772
3824,0.0221216475
3862,0.0151500201
4225,0.0205733251
4393,0.0308610687
4483,0.0237800803
4567,0.0253161485
4753,0.0204074911
4832,0.0171669618
10,0.0000000000
583,0.0019567139
949,0.0206054986
1525,0.0059030746
1844,0.0110862120
1850,0.0173320123
2355,0.0252192607
2464,0.0058366691
2586,0.0160792667
2960,0.0147834746
2965,0.0117331658
3426,0.0129410841
3455,0.0318731891
3695,0.0140827892
3943,0.0236176215
4014,0.0066829732
11,0.0000000000
201,0.0021295219
754,0.0051231596
1003,0.0114225340
1486,0.0074627598
1721,0.0135992447
2327,0.0133978350
2394,0.0136787944
3072,0.0180536548
3110,0.0151763447
3321,0.0228493932
3768,0.0240088325
3785,0.0139458771
4144,0.0109028193
4273,0.0219109309
4995,0.0199920831
12,0.0000000000
65,0.0020122603
180,0.0037435978
301,0.0020122603
941,0.0071041376
1459,0.0086054719
1601,0.0056502988
2897,0.0103819227
2909,0.0078710545
2970,0.0173241570
3231,0.0080646793
3647,0.0218168496
3720,0.0161659349
3778,0.0117692665
4083,0.0087449390
4723,0.0316198415
4905,0.0191135643
4916,0.0172338315
13,0.0000000000
79,0.0032365283
93,0.0046844944
273,0.0049289698
375,0.0053176394
396,0.0025790549
877,0.0105845249
1029,0.0051825315
1137,0.0041742475
1289,0.0123497658
1977,0.0154845310
2697,0.0164778704
3024,0.0164788435
3213,0.0217086358
3223,0.0132262106
3234,0.0123326209
3612,0.0187198826
3692,0.0238737687
3735,0.0126350234
3783,0.0235678837
4052,0.0235456739
4181,0.0216390368
14,0.0000000000
629,0.0036643491
967,0.0035976344
1060,0.0090265898
1227,0.0064079154
1478,0.0050670309
1720,0.0043057145
2198,0.0111784060
3328,0.0253748558
3336,0.0186181598
3534,0.0172832701
3745,0.0109448548
3894,0.0261713597
4178,0.0355055489
4265,0.0300674026
4955,0.0209360200
15,0.0000000000
60,0.0022363277
328,0.0034052643
1449,0.0076621059
1959,0.0082237022
2192,0.0160519769
2312,0.0110341866
2644,0.0083607425
3141,0.0214122911
3468,0.0169551636
3657,0.0285814444
3898,0.0300743891
3964,0.0096076545
4524,0.0189724865
4618,0.0154472204
4775,0.0166772569
4963,0.0217766084
4982,0.0237837734
16,0.0000000000
25,0.0011145312
490,0.0022527672
568,0.0011145312
1170,0.0066778445
1644,0.0095519108
1960,0.0098846186
2393,0.0138077155
2568,0.0061347857
3167,0.0155163652
3261,0.0186736596
3899,0.0136206603
4437,0.0151270907
4860,0.0162317576
17,0.0000000000
324,0.0006816902
334,0.0026097985
2716,0.0193978996
3013,0.0096062467
3022,0.0081853741
3491,0.0197975032
3740,0.0077625414
4278,0.0112935771
18,0.0000000000
259,0.0070046616
469,0.0013959610
916,0.0024835879
955,0.0093937171
1211,0.0178570438
1233,0.0102300630
1316,0.0096372962
2352,0.0094244879
2503,0.0202765485
2627,0.0107999180
3750,0.0121209779
3805,0.0249023894
4935,0.0269342148
19,0.0000000000
585,0.0100824490
693,0.0044685087
723,0.0121642955
1226,0.0099161916
1309,0.0055207002
1468,0.0178712675
1836,0.0110419624
3007,0.0207663617
3559,0.0134565566
3624,0.0208171321
3733,0.0267583155
3982,0.0137430946
4616,0.0210640568
4643,0.0329778782
4691,0.0131449666
4705,0.0185971403
20,0.0000000000
134,0.0027778908
383,0.0060201892
384,0.0047106062
456,0.0027778908
536,0.0069528003
689,0.0083290224
995,0.0054441031
1245,0.0090654494
1573,0.0203788694
1986,0.0063769991
2060,0.0121039623
3148,0.0159052681
3706,0.0169709600
3811,0.0200766306
3876,0.0096594932
3901,0.0150993978
4033,0.0204481753
4075,0.0222416421
4458,0.0153350033
4467,0.0150577735
4492,0.0126588156
4519,0.0096186862
4967,0.0249224188
21,0.0000000000
123,0.0017638637
181,0.0017638637
210,0.0017638637
252,0.0017638637
706,0.0058130532
902,0.0058415761
1021,0.0093142573
1071,0.0139000244
1214,0.0169755608
1343,0.0092125010
1628,0.0151785310
1917,0.0105778517
1975,0.0173616035
2441,0.0174736433
2566,0.0117895949
3464,0.0239309261
3648,0.0198123129
4295,0.0210403358
22,0.0000000000
101,0.0010757359
904,0.0088192366
1034,0.0010757359
2323,0.0206149020
3881,0.0189870959
3908,0.0244860051
4098,0.0289897716
4136,0.0084573959
4942,0.0126875383
23,0.0000000000
450,0.0016704371
589,0.0036504790
2056,0.0111189537
2254,0.0082981886
2344,0.0077437880
2429,0.0113394970
2851,0.0118643525
3537,0.0336737180
3799,0.0197308953
4456,0.0210104231
4681,0.0193941268
4700,0.0237812377
24,0.0000000000
272,0.0009390147
1418,0.0129341285
1683,0.0042444317
1834,0.0134693017
1904,0.0105698244
2367,0.0173397886
2598,0.0046770045
3319,0.0171241954
3495,0.0102737596
4763,0.0177102196
699,0.0032288963
1104,0.0036247913
1365,0.0145461775
1420,0.0077320285
1523,0.0161502046
1527,0.0127156796
1940,0.0086996976
1945,0.0076121061
2318,0.0169624701
3412,0.0163192346
3542,0.0109331198
3676,0.0226505718
3944,0.0112954442
4058,0.0140965774
4241,0.0234551178
26,0.0000000000
849,0.0024363631
870,0.0102891047
1039,0.0061704979
1819,0.0215817151
1821,0.0055844837
2197,0.0098649721
2199,0.0212777885
2901,0.0161557256
3361,0.0254459781
4931,0.0210196299
4988,0.0178330915
27,0.0000000000
1217,0.0066639622
1389,0.0155975165
1596,0.0124241199
1838,0.0055747024
1922,0.0211511392
2035,0.0119868984
2044,0.0145983615
2160,0.0134975114
3333,0.0195478062
3415,0.0168578869
3488,0.0134923324
4576,0.0278056267
4602,0.0221631241
4663,0.0207356731
28,0.0000000000
817,0.0066529090
1495,0.0038762533
1936,0.0194203986
2136,0.0115470321
2175,0.0077438864
2490,0.0160972373
2626,0.0218217326
3366,0.0165209406
3379,0.0224558503
4133,0.0231738909
4339,0.0209000180
4549,0.0317320362
4765,0.0181877579
4774,0.0179558899
4901,0.0169854944
4929,0.0201975334
29,0.0000000000
58,0.0008206167
64,0.0008206167
362,0.0043931347
873,0.0147537028
908,0.0020606917
1128,0.0047277426
1388,0.0065334433
4226,0.0260524426
4666,0.0187157147
4900,0.0166248670
30,0.0000000000
527,0.0035821915
858,0.0113968650
1737,0.0176240298
2240,0.0158747202
2286,0.0180456996
2454,0.0170477684
2574,0.0115160110
2900,0.0230553902
3505,0.0142451820
4410,0.0229286502
4902,0.0231056860
31,0.0000000000
94,0.0016914669
1785,0.0170442518
1895,0.0058715378
2191,0.0139166649
2576,0.0232776142
2871,0.0185192262
3340,0.0138841151
4515,0.0182340704
4943,0.0199494998
32,0.0000000000
209,0.0036783490
574,0.0047947552
860,0.0017313375
1068,0.0017313375
1083,0.0133355763
1190,0.0104239714
1234,0.0056571874
1817,0.0075901723
2036,0.0049456623
2551,0.0147214279
2810,0.0188115785
3358,0.0167161916
3586,0.0193431271
4218,0.0135049733
4231,0.0097004002
4350,0.0153381159
4505,0.0235339342
33,0.0000000000
349,0.0049564163
678,0.0055645357
895,0.0165366312
1276,0.0046607561
1535,0.0140315752
1761,0.0118252256
1903,0.0204044847
2463,0.0177033197
2471,0.0103149542
