Node,Hub,Authority
5000,0.0000000000,0.0000000000
12405,0.0000000000,0.0000000000
1,0.0000000000,0.0076068565
1144,0.0151132514,0.0176781370
1801,0.0087841259,0.0125147057
3862,0.0106249860,0.0071491598
2,0.0000000000,0.0489123037
765,0.0107776300,0.0162789454
1768,0.0263430081,0.0062472785
1989,0.0198659625,0.0087497505
3353,0.0154613267,0.0141920056
3496,0.0280774616,0.0128300264
3613,0.0558909562,0.0053232416
4513,0.0655628027,0.0007225498
3,0.0000000000,0.0089802393
574,0.0072772505,0.0168202085
2235,0.0075215811,0.0249180998
4867,0.0153313092,0.0000000000
4,0.0000000000,0.0053366972
429,0.0011759198,0.0007552594
901,0.0011759198,0.0117816856
1497,0.0011759198,0.0197136848
1901,0.0177739546,0.0110424737
3832,0.0029179091,0.0102804076
5,0.0000000000,0.0253431861
1044,0.0097462626,0.0033261503
1202,0.0089603372,0.0511066096
1649,0.0124442262,0.0136241817
2740,0.0111862840,0.0016992743
2984,0.0239199631,0.0060272831
3376,0.0302837886,0.0047157910
4337,0.0184744618,0.0000000000
6,0.0000000000,0.0139748083
3051,0.0578662771,0.0025815719
3739,0.0055559621,0.0010027943
7,0.0000000000,0.0340268923
664,0.0292471043,0.0026594292
2000,0.0313266966,0.0007977074
2155,0.0108259937,0.0689237101
4594,0.0830258176,0.0000000000
8,0.0000000000,0.0205286792
420,0.0045234121,0.0341075209
2293,0.0141658072,0.0008525698
2404,0.0208096871,0.0022410421
3596,0.0101066880,0.0013846871
4453,0.0435598693,0.0000000000
9,0.0000000000,0.0091569242
460,0.0020176915,0.0150588848
898,0.0068829111,0.0133982698
1017,0.0080778957,0.0117406889
3117,0.0022274196,0.0083834717
3970,0.0055948870,0.0020948837
4772,0.0167561828,0.0000000000
10,0.0000000000,0.0143947304
1164,0.0110300759,0.0078868071
4313,0.0237485160,0.0115353385
4909,0.0305493461,0.0000000000
11,0.0000000000,0.0117458219
67,0.0025881448,0.0199590047
1097,0.0025881448,0.0022971062
1735,0.0076680269,0.0017715902
2136,0.0074685843,0.0107732170
4797,0.0329933052,0.0000000000
12,0.0000000000,0.0067493441
1348,0.0014871909,0.0084203787
4945,0.0291435567,0.0000000000
13,0.0000000000,0.0020623526
771,0.0010294917,0.0065289694
878,0.0025074462,0.0175420978
1179,0.0004544311,0.0190082237
2976,0.0004544311,0.0000000000
3197,0.0049138188,0.0024814653
14,0.0000000000,0.0219684524
604,0.0048406604,0.0032800401
2253,0.0058431760,0.0244155649
2751,0.0127877725,0.0136049504
2882,0.0156452001,0.0064246592
4351,0.0605826980,0.0073933199
15,0.0000000000,0.0037948825
98,0.0008361871,0.0063725798
2161,0.0008361871,0.0172140671
2892,0.0008361871,0.0078618749
3570,0.0147138368,0.0091590791
16,0.0000000000,0.0085377539
2110,0.0018812598,0.0019680248
2671,0.0222746844,0.0165152593
4440,0.0037125745,0.0000000000
4897,0.0070744718,0.0000000000
4948,0.0038040488,0.0000000000
17,0.0000000000,0.0048306115
2081,0.0010644059,0.0090101988
3880,0.0208584436,0.0002861159
18,0.0000000000,0.0111430744
1184,0.0024553318,0.0134650769
1435,0.0024553318,0.0042868396
1726,0.0050702033,0.0071663615
1742,0.0180037921,0.0085191967
2532,0.0024553318,0.0032085090
3231,0.0066978531,0.0024491939
3615,0.0134329197,0.0023772515
19,0.0000000000,0.0079918019
3784,0.0362692551,0.0065309363
20,0.0000000000,0.0491976612
1145,0.0146440501,0.0225259143
1209,0.0163708830,0.0441256808
1322,0.0108405073,0.0150900484
3798,0.0336320232,0.0063710219
4606,0.0672144070,0.0000000000
4699,0.0443393648,0.0000000000
4837,0.0153749147,0.0000000000
21,0.0000000000,0.0045488031
619,0.0010023105,0.0592212558
1037,0.0074295044,0.0007007464
1761,0.0010023105,0.0062222826
4183,0.0112097641,0.0000000000
22,0.0000000000,0.0177189970
535,0.0142271361,0.0056047488
3809,0.0090065053,0.0010461130
4022,0.0245797515,0.0024374356
4161,0.0039043099,0.0000000000
4392,0.0067861426,0.0076924245
4950,0.0219104692,0.0000000000
23,0.0000000000,0.0023182554
2105,0.0061408781,0.0015653987
3322,0.0043800916,0.0253984069
24,0.0000000000,0.0110415291
1590,0.0036142925,0.0136245762
2767,0.0024329567,0.0075893474
4798,0.0201427361,0.0000000000
25,0.0000000000,0.0876962285
889,0.0193235123,0.0127259215
2847,0.0637450972,0.0026057984
3502,0.0233794721,0.0083053584
3517,0.0371593956,0.0012311269
3713,0.0470207561,0.0000000000
3957,0.0638291003,0.0000000000
3978,0.0716095874,0.0034534239
4185,0.0719269174,0.0000000000
26,0.0000000000,0.0102611273
218,0.0022609982,0.0044018888
492,0.0022609982,0.0094923640
2578,0.0022609982,0.0057081510
3249,0.0144962990,0.0011977413
4828,0.0252889154,0.0000000000
27,0.0000000000,0.0068955289
539,0.0015194021,0.0056446491
913,0.0093952484,0.0057845171
1025,0.0043663912,0.0061563749
3188,0.0042394383,0.0156615742
3997,0.0117735883,0.0000000000
28,0.0000000000,0.0072867313
219,0.0016056020,0.0032317615
676,0.0016056020,0.0035660133
2506,0.0265651649,0.0063907176
3328,0.0016875358,0.0011383627
3408,0.0016056020,0.0080253482
30,0.0000000000,0.0146324283
501,0.0032241969,0.0073470651
527,0.0053518083,0.0158547071
2192,0.0079386858,0.0190577014
2572,0.0119090144,0.0006534333
3896,0.0035792664,0.0003294518
4352,0.0344036065,0.0000000000
31,0.0000000000,0.0421006862
2974,0.0143863189,0.0000000000
3220,0.0419812213,0.0146773006
4062,0.0136809956,0.0209367031
4346,0.0111299670,0.0000000000
4549,0.0170861141,0.0056047488
4648,0.0290567750,0.0028887929
32,0.0000000000,0.0045026670
350,0.0009921446,0.0012259912
850,0.0009921446,0.0096330176
1196,0.0011321230,0.0293482085
1407,0.0009921446,0.0211139005
4871,0.0163260105,0.0000000000
33,0.0000000000,0.0099399483
442,0.0021902278,0.0180426534
1093,0.0079505376,0.0053612768
1394,0.0088408378,0.0365661296
2936,0.0087183685,0.0093614765
4114,0.0174106033,0.0115303700
34,0.0000000000,0.0271383174
114,0.0059798194,0.0114708704
2720,0.0092430478,0.0017318875
3695,0.0464361541,0.0134248366
4737,0.0615030701,0.0000000000
35,0.0000000000,0.0157564667
109,0.0034718742,0.0000000000
2883,0.0184090441,0.0027482207
3790,0.0086177170,0.0148109669
4639,0.0268432934,0.0041118689
36,0.0000000000,0.0397922121
1926,0.0327946090,0.0127418933
2306,0.0155166830,0.0029987600
2539,0.0137072325,0.0149039055
4187,0.0175669301,0.0028898239
4246,0.0372595134,0.0037648542
37,0.0000000000,0.0088282722
1856,0.0040465763,0.0031603489
2664,0.0198259351,0.0103244968
4306,0.0161929438,0.0000000000
38,0.0000000000,0.0051958377
335,0.0011448820,0.0038870100
1152,0.0017824320,0.0061824172
1834,0.0047244313,0.0055378368
2203,0.0030242814,0.0000000000
4006,0.0129042997,0.0107507071
39,0.0000000000,0.0080667308
1036,0.0098698175,0.0021275668
2166,0.0017774718,0.0023312534
3431,0.0061258950,0.0005237381
3722,0.0047152777,0.0014871571
4381,0.0141208953,0.0137638172
40,0.0000000000,0.0019574150
493,0.0025001368,0.0217924179
3077,0.0063832301,0.0038348947
41,0.0000000000,0.0156144769
766,0.0076066853,0.0130555737
2277,0.0034405874,0.0030089915
2569,0.0097240445,0.0096087663
2651,0.0061836805,0.0109652832
3244,0.0091983772,0.0046246571
4134,0.0271885523,0.0014488365
42,0.0000000000,0.0153552057
275,0.0033834580,0.0075656085
3387,0.0663031701,0.0000000000
43,0.0000000000,0.0280044995
708,0.0061706792,0.0079583916
999,0.0099991744,0.0159288803
1730,0.0266691574,0.0196786780
1924,0.0124494223,0.0183627935
4169,0.0232732297,0.0009251906
4538,0.0301226353,0.0000000000
44,0.0000000000,0.0127573522
1095,0.0072771196,0.0000000000
1848,0.0055750498,0.0137904332
2816,0.0075409723,0.0106298089
3650,0.0250991240,0.0011492245
4100,0.0124046618,0.0056228900
45,0.0000000000,0.0084848099
867,0.0018695938,0.0165155254
2101,0.0088379737,0.0085085637
2736,0.0152679830,0.0225383196
4664,0.0125311755,0.0000000000
46,0.0000000000,0.0140547010
2966,0.0071869852,0.0018392507
4222,0.0202485210,0.0032979415
4509,0.0195757281,0.0000000000
4599,0.0125845398,0.0000000000
4711,0.0041889074,0.0000000000
47,0.0000000000,0.0495719844
81,0.0109229880,0.0189070742
1377,0.0497523258,0.0126082029
2142,0.0215177114,0.0000000000
2344,0.0109229880,0.0111635694
2524,0.0109229880,0.0159628048
2743,0.0212395702,0.0033939006
2902,0.0209995834,0.0053554540
3029,0.0239721542,0.0112942692
3709,0.0143058750,0.0032765723
3916,0.0206705112,0.0000000000
4007,0.0197461522,0.0059148243
48,0.0000000000,0.0182382178
205,0.0040187181,0.0027247142
498,0.0068424222,0.0007249022
982,0.0090160265,0.0095558292
3584,0.0131411898,0.0269777842
49,0.0000000000,0.0145467412
58,0.0032053161,0.0151995667
1777,0.0032053161,0.0131723982
3191,0.0284303962,0.0022946061
3598,0.0041776337,0.0017021214
3793,0.0269991369,0.0132715484
50,0.0000000000,0.0069635762
1308,0.0121714168,0.0479104222
2960,0.0030895781,0.0064286648
4021,0.0163418855,0.0130898803
51,0.0000000000,0.0207692873
1437,0.0123870018,0.0043346736
1658,0.0045764292,0.0153969736
2204,0.0102192060,0.0010571290
4378,0.0228354945,0.0000000000
4417,0.0331197326,0.0064216486
4586,0.0111195484,0.0000000000
52,0.0000000000,0.0196086550
203,0.0043206885,0.0010613449
1530,0.0053690897,0.0067874018
3988,0.0154715262,0.0048439843
53,0.0000000000,0.0240462320
634,0.0089079101,0.0434690425
2084,0.0090746841,0.0149581538
2956,0.0081996126,0.0091003969
3548,0.0151237476,0.0000000000
4458,0.0067309709,0.0000000000
4466,0.0538150548,0.0000000000
54,0.0000000000,0.0032839463
164,0.0007236044,0.0048540317
1807,0.0007605299,0.0005299979
3983,0.0055595958,0.0046937121
4172,0.0078598539,0.0000000000
55,0.0000000000,0.0118487217
3182,0.0132325045,0.0040463013
3513,0.0070681368,0.0062180118
4279,0.0176265266,0.0000000000
4766,0.0158460247,0.0000000000
56,0.0000000000,0.0094103604
237,0.0020735352,0.0024217886
1023,0.0020735352,0.0013659114
1714,0.0089593389,0.0183684228
3877,0.0063654771,0.0000000000
4902,0.0232352705,0.0000000000
57,0.0000000000,0.0241639657
507,0.0053244329,0.0028934042
526,0.0053244329,0.0160346047
1185,0.0085320234,0.0025199948
1524,0.0053244329,0.0311079889
2718,0.0127144398,0.0052710104
2991,0.0117269133,0.0236631824
3300,0.0428250607,0.0006102492
3565,0.0058793816,0.0000000000
3697,0.0120123961,0.0228672688
864,0.0033491636,0.0090761815
1987,0.0233117737,0.0015349506
2209,0.0050513206,0.0149870932
2937,0.0037313674,0.0164425054
3407,0.0091356728,0.0074033373
4167,0.0244011473,0.0156169018
59,0.0000000000,0.0317245743
2521,0.0117398882,0.0000000000
3026,0.0161256850,0.0077255255
3047,0.0149789122,0.0000000000
3336,0.0179977635,0.0128500062
4401,0.0725784182,0.0004652394
4884,0.0105557750,0.0099585470
60,0.0000000000,0.0147060700
1862,0.0050243895,0.0073660541
1990,0.0062121401,0.0020954560
2556,0.0101522462,0.0080351138
2839,0.0182150965,0.0063294097
2975,0.0152311823,0.0000000000
4721,0.0119057512,0.0000000000
61,0.0000000000,0.0105647405
1980,0.0100549712,0.0184228727
2537,0.0088334601,0.0000000000
3366,0.0056587671,0.0000000000
3961,0.0045209274,0.0000000000
4520,0.0188779959,0.0011333145
62,0.0000000000,0.0000000000
509,0.0000000000,0.0188679684
1199,0.0000000000,0.0143947172
63,0.0000000000,0.0211342099
1081,0.0255825106,0.0092253035
2241,0.0176691027,0.0037788996
2278,0.0277810444,0.0038273935
3999,0.0248810311,0.0000000000
64,0.0000000000,0.0276741092
2027,0.0255451251,0.0584256051
2455,0.0108282591,0.0107288598
2763,0.0101056604,0.0000000000
3088,0.0119767571,0.0067531528
3868,0.0404342997,0.0000000000
3972,0.0109446796,0.0000000000
4223,0.0157591125,0.0000000000
65,0.0000000000,0.0223990827
1256,0.0076422727,0.0118437841
2616,0.0209274253,0.0095483498
4045,0.0051874095,0.0000000000
4406,0.0345621352,0.0086063410
4979,0.0157082176,0.0000000000
66,0.0000000000,0.0238787751
240,0.0052615923,0.0062913886
2370,0.0068354862,0.0001674340
3126,0.0477294373,0.0147022310
4349,0.0227040504,0.0000000000
4724,0.0258386853,0.0000000000
193,0.0043978867,0.0000000000
277,0.0043978867,0.0068763812
1108,0.0128684473,0.0158781511
2354,0.0299855978,0.0340642168
4361,0.0156572786,0.0000000000
68,0.0000000000,0.0061922407
357,0.0013644354,0.0283894649
1370,0.0021381889,0.0475725994
1872,0.0013644354,0.0064560511
69,0.0000000000,0.0101863357
248,0.0022445182,0.0092006069
961,0.0032349379,0.0047096923
