Node,Authority
5000,0.0000000000
12405,0.0000000000
1,0.0076068565
1144,0.0176781370
1801,0.0125147057
3862,0.0071491598
2,0.0489123037
765,0.0162789454
1768,0.0062472785
1989,0.0087497505
3353,0.0141920056
3496,0.0128300264
3613,0.0053232416
4513,0.0007225498
3,0.0089802393
574,0.0168202085
2235,0.0249180998
4867,0.0000000000
4,0.0053366972
429,0.0007552594
901,0.0117816856
1497,0.0197136848
1901,0.0110424737
3832,0.0102804076
5,0.0253431861
1044,0.0033261503
1202,0.0511066096
1649,0.0136241817
2740,0.0016992743
2984,0.0060272831
3376,0.0047157910
4337,0.0000000000
6,0.0139748083
3051,0.0025815719
3739,0.0010027943
7,0.0340268923
664,0.0026594292
2000,0.0007977074
2155,0.0689237101
4594,0.0000000000
8,0.0205286792
420,0.0341075209
2293,0.0008525698
2404,0.0022410421
3596,0.0013846871
4453,0.0000000000
9,0.0091569242
460,0.0150588848
898,0.0133982698
1017,0.0117406889
3117,0.0083834717
3970,0.0020948837
4772,0.0000000000
10,0.0143947304
1164,0.0078868071
4313,0.0115353385
4909,0.0000000000
11,0.0117458219
67,0.0199590047
1097,0.0022971062
1735,0.0017715902
2136,0.0107732170
4797,0.0000000000
12,0.0067493441
1348,0.0084203787
4945,0.0000000000
13,0.0020623526
771,0.0065289694
878,0.0175420978
1179,0.0190082237
2976,0.0000000000
3197,0.0024814653
14,0.0219684524
604,0.0032800401
2253,0.0244155649
2751,0.0136049504
2882,0.0064246592
4351,0.0073933199
15,0.0037948825
98,0.0063725798
2161,0.0172140671
2892,0.0078618749
3570,0.0091590791
16,0.0085377539
2110,0.0019680248
2671,0.0165152593
4440,0.0000000000
4897,0.0000000000
4948,0.0000000000
17,0.0048306115
2081,0.0090101988
3880,0.0002861159
18,0.0111430744
1184,0.0134650769
1435,0.0042868396
1726,0.0071663615
1742,0.0085191967
2532,0.0032085090
3231,0.0024491939
3615,0.0023772515
19,0.0079918019
3784,0.0065309363
20,0.0491976612
1145,0.0225259143
1209,0.0441256808
1322,0.0150900484
3798,0.0063710219
4606,0.0000000000
4699,0.0000000000
4837,0.0000000000
21,0.0045488031
619,0.0592212558
1037,0.0007007464
1761,0.0062222826
4183,0.0000000000
22,0.0177189970
535,0.0056047488
3809,0.0010461130
4022,0.0024374356
4161,0.0000000000
4392,0.0076924245
4950,0.0000000000
23,0.0023182554
2105,0.0015653987
3322,0.0253984069
24,0.0110415291
1590,0.0136245762
2767,0.0075893474
4798,0.0000000000
25,0.0876962285
889,0.0127259215
2847,0.0026057984
3502,0.0083053584
3517,0.0012311269
3713,0.0000000000
3957,0.0000000000
3978,0.0034534239
