Node,Hub,Authority
20,0.0000000023,0.0000000000
35,0.0000000000,0.0000000000
1,0.0000000000,0.5968847877
2,0.1698911240,0.5485287320
3,0.3260186796,0.4557341407
4,0.4557341407,0.3260186796
5,0.5485287320,0.1698911240
6,0.5968847877,0.0000001344
7,0.0000000383,0.0000004333
8,0.0000001616,0.0000003246
9,0.0000002157,0.0000001795
10,0.0000002668,0.0000000000
11,0.0000000000,0.0000000019
12,0.0000000006,0.0000000007
15,0.0000000008,0.0000000000
13,0.0000000008,0.0000000000
14,0.0000000000,0.0000000007
16,0.0000000000,0.0000000080
17,0.0000000023,0.0000000000
18,0.0000000023,0.0000000000
19,0.0000000023,0.0000000000
