Node,Authority
1000,0.0000000000
3000,0.0000000000
1,0.5962207966
2,0.4942809415
3,0.2521022837
999,0.1186977008
4,0.1262866711
998,0.1301050502
589,0.0059600992
5,0.0360266045
814,0.0045412539
6,0.0062754768
113,0.0002447908
294,0.0012628863
517,0.0071155618
259,0.0036409524
315,0.0041871004
521,0.0037947802
7,0.0036594813
8,0.0009956915
289,0.0030747037
9,0.0009940660
10,0.0027692156
496,0.0001136757
11,0.0003249825
298,0.0000892375
12,0.0000765641
55,0.0001810027
966,0.0004207386
837,0.0006478305
13,0.0000558486
14,0.0001741679
15,0.0000303496
16,0.0000365925
17,0.0000677630
564,0.0006806580
18,0.0000768820
19,0.0001383097
20,0.0004910273
92,0.0000862136
652,0.0001503555
21,0.0004870547
22,0.0046745063
23,0.0162320131
538,0.0000155943
24,0.0171441479
25,0.1547761727
146,0.0001164273
26,0.0176483391
27,0.0150062033
28,0.0030722218
29,0.0021205488
204,0.0004448562
30,0.0006579369
922,0.0007664173
31,0.0003063047
32,0.0001164126
62,0.0000689404
33,0.0000748834
34,0.0000747019
470,0.0000412981
35,0.0003431936
36,0.0000769261
37,0.0000788207
38,0.0000215248
297,0.0000775435
39,0.0000114657
40,0.0000055829
243,0.0000232902
41,0.0000070971
42,0.0000095811
43,0.0000449448
44,0.0000074337
45,0.0000190538
429,0.0002172449
46,0.0000172758
47,0.0000643608
48,0.0000368956
676,0.0000408970
49,0.0000513018
50,0.0002023803
930,0.0000309416
51,0.0000841581
52,0.0003292853
53,0.0001550927
609,0.0000129212
54,0.0001535614
346,0.0001086948
678,0.0000273885
299,0.0000654820
550,0.0000134997
60,0.0006548340
56,0.0000623743
57,0.0002138949
58,0.0001828345
909,0.0000227603
59,0.0003724829
61,0.0004702876
218,0.0000067428
63,0.0000886214
720,0.0001566847
64,0.0001681695
905,0.0003485024
351,0.0000004805
65,0.0003758311
66,0.0043622947
952,0.0000885862
418,0.0001005194
67,0.0001430677
68,0.0002515439
379,0.0000042345
919,0.0020360660
69,0.0008697079
70,0.0010488919
71,0.0049345214
72,0.0009604102
862,0.0000194133
73,0.0001135082
74,0.0006240393
260,0.0000148587
265,0.0002835587
75,0.0029239708
76,0.0006753945
847,0.0000457845
77,0.0083562722
78,0.0014436843
994,0.0524141741
79,0.0027303547
397,0.0000298690
80,0.0000200151
258,0.0191361744
285,0.0010596415
81,0.0000209297
449,0.0000216117
880,0.0006531354
82,0.0000304172
83,0.0001549554
580,0.0004584318
84,0.0000402175
85,0.0018122667
86,0.0001870820
87,0.0001903899
251,0.0001740562
331,0.0001102396
88,0.0000534367
430,0.0000613855
261,0.0000148587
89,0.0000338308
90,0.0000176182
91,0.0000132381
93,0.0000238099
94,0.0000356451
741,0.0000027486
95,0.0001260361
415,0.0007755758
96,0.0000497788
380,0.0000107208
97,0.0002259117
98,0.0008785432
108,0.0031321848
680,0.0000699746
99,0.0008283995
100,0.0038524177
101,0.0004378235
406,0.0002629273
102,0.0003753862
103,0.0000907512
522,0.0000003666
195,0.0021564215
104,0.0000570929
185,0.0000187164
864,0.0000204489
105,0.0001818486
106,0.0001526379
107,0.0006594513
795,0.0000034156
953,0.0000675690
109,0.0043154327
110,0.0217731050
111,0.0022799034
506,0.0001881588
112,0.0002513940
114,0.0000754081
841,0.0001131099
115,0.0000586924
958,0.0001650492
116,0.0000633862
117,0.0001950450
118,0.0001919183
119,0.0018148390
120,0.0040120254
359,0.0000166913
122,0.0033868267
917,0.0009488607
121,0.0162521234
123,0.0020476608
439,0.0000739441
771,0.0002517557
124,0.0007874923
319,0.0001967173
813,0.0048917959
125,0.0004289354
126,0.0001138307
127,0.0000652329
148,0.0000553855
128,0.0000445075
387,0.0018495478
129,0.0002182659
612,0.0000592819
130,0.0001467050
131,0.0005918782
132,0.0001284528
416,0.0007127513
133,0.0000697445
134,0.0000660950
205,0.0000883697
825,0.0000123373
461,0.0002671154
135,0.0003238514
136,0.0003445766
137,0.0030875130
138,0.0004106538
363,0.0000067394
139,0.0003111972
140,0.0001013717
599,0.1298362704
141,0.0001030377
142,0.0001663285
143,0.0005792198
144,0.0006706651
145,0.0006286125
895,0.0000132908
147,0.0001849177
617,0.0000180160
149,0.0002461158
150,0.0000252749
873,0.0004275689
152,0.0000095893
238,0.0002775461
151,0.0000266148
153,0.0000094677
154,0.0000197664
155,0.0002225529
478,0.0000050769
156,0.0023235538
157,0.0002264739
158,0.0000561879
341,0.0000143031
810,0.0188068581
970,0.0001580690
159,0.0001098339
160,0.0000158209
161,0.0000120353
425,0.0000237075
162,0.0000032931
404,0.0004275039
163,0.0000023428
164,0.0000035167
165,0.0000062715
699,0.0000004475
166,0.0000540428
167,0.0000132290
458,0.0000217328
168,0.0000125152
169,0.0000222973
491,0.0000780905
170,0.0000278661
171,0.0001546020
413,0.0002314706
172,0.0000308663
177,0.0000691259
174,0.0000706101
980,0.0000545870
173,0.0000760258
175,0.0005716786
176,0.0000805676
178,0.0000560368
836,0.0026195538
323,0.0000067419
179,0.0003828645
226,0.0000904408
180,0.0000832245
181,0.0000626631
182,0.0000701314
183,0.0000763263
184,0.0000581636
186,0.0000128743
466,0.0000057857
187,0.0000103546
188,0.0000410473
189,0.0000751145
190,0.0000595204
191,0.0000780757
400,0.0008359123
192,0.0003800786
409,0.0000601744
193,0.0005776741
194,0.0017013307
196,0.0194640352
831,0.0001581579
870,0.0000383524
197,0.0085650619
241,0.0000689476
198,0.0678155277
792,0.0002738442
200,0.0089640211
447,0.0004086261
199,0.0132632339
201,0.0036332294
964,0.0013792203
202,0.0022515220
203,0.0021942286
403,0.0004275039
757,0.0048746552
684,0.0000761662
206,0.0001313164
207,0.0004610366
614,0.0000152372
208,0.0000614192
209,0.0000612024
881,0.0003111247
210,0.0000359506
211,0.0000420736
212,0.0001714334
455,0.0000082118
279,0.0000392809
213,0.0000382809
214,0.0000271290
215,0.0000286989
548,0.0001428474
216,0.0000261920
217,0.0000230109
219,0.0000038417
220,0.0000025086
221,0.0000054347
222,0.0000053582
223,0.0000123862
224,0.0000273269
893,0.0000246149
225,0.0000493875
227,0.0000060840
482,0.0000019170
577,0.0001387767
228,0.0000084048
659,0.0000253944
752,0.0010112282
502,0.0018035483
229,0.0000081686
230,0.0000169053
231,0.0000431375
914,0.0002421197
232,0.0000956118
233,0.0002940625
234,0.0004773603
235,0.0024052978
236,0.0003405460
237,0.0003108376
317,0.0018466480
239,0.0002523586
610,0.0000222897
240,0.0002241842
242,0.0000398848
244,0.0000211228
245,0.0000398714
552,0.0000071013
246,0.0001152598
301,0.0000644947
247,0.0000315916
248,0.0000695935
829,0.0000837736
249,0.0000461362
991,0.0033075363
250,0.0000893952
889,0.0000005264
252,0.0005423905
253,0.0008177060
254,0.0031028933
255,0.0071139836
907,0.0003310551
923,0.0010463223
256,0.0223389859
257,0.0277153050
352,0.0001811714
290,0.0007792299
262,0.0001667511
263,0.0003937092
264,0.0002606173
266,0.0007038363
321,0.0000843371
267,0.0011434285
268,0.0054887867
269,0.0013079886
270,0.0009250253
271,0.0002546453
378,0.0000032520
272,0.0007216182
625,0.0000398305
751,0.0003042837
910,0.0001566119
273,0.0001579899
274,0.0000957743
275,0.0000416557
504,0.0013758845
276,0.0000497104
277,0.0000601724
278,0.0002469550
280,0.0004996398
281,0.0011092751
595,0.0016558291
477,0.0000083754
679,0.0000170111
283,0.0045281975
833,0.0005252762
282,0.0042652939
284,0.0042885308
286,0.0009061897
287,0.0036651111
288,0.0060814504
498,0.0000572924
778,0.0001806578
583,0.0014245009
291,0.0011477750
292,0.0124886783
293,0.0126102681
295,0.0016142933
296,0.0005175763
490,0.0000565535
300,0.0006888293
302,0.0001028535
303,0.0002841679
858,0.0000540260
304,0.0000530980
305,0.0000397667
306,0.0000276390
336,0.0000117409
386,0.0017004074
307,0.0000404178
436,0.0005020065
308,0.0001647772
309,0.0001762040
310,0.0015936445
664,0.0000013022
454,0.0000074790
311,0.0027890151
956,0.0000763109
312,0.0135607004
313,0.0153378835
314,0.0169623603
641,0.0000681947
316,0.0036997327
388,0.0001767862
876,0.0007213252
318,0.0018536787
948,0.0000937517
320,0.0002695334
322,0.0000772484
473,0.0000121539
324,0.0000118953
325,0.0000351722
326,0.0000262215
327,0.0001012986
328,0.0000356392
472,0.0000351150
945,0.0002062352
329,0.0000316682
330,0.0000320084
842,0.0000442945
553,0.0000022132
332,0.0000315467
333,0.0000468419
334,0.0000394184
335,0.0000361997
337,0.0000208633
338,0.0000772989
339,0.0000406890
340,0.0000325809
694,0.0000184530
860,0.0000118602
896,0.0000088587
342,0.0000290737
343,0.0000515099
344,0.0001911583
345,0.0000906824
402,0.0008754652
441,0.0000392298
347,0.0003320532
348,0.0006824472
913,0.0000516628
349,0.0023856697
350,0.0023270782
353,0.0000011016
354,0.0000031906
745,0.0000062089
696,0.0000039174
355,0.0000066028
356,0.0000235916
357,0.0000260431
358,0.0000279715
360,0.0000409309
361,0.0000401786
362,0.0000347583
933,0.0000140101
364,0.0000064308
365,0.0000131954
366,0.0000171702
367,0.0000094837
368,0.0000427763
487,0.0001945352
712,0.0000016647
369,0.0000307578
866,0.0000262616
370,0.0000590072
371,0.0001952679
653,0.0014654487
372,0.0004035696
934,0.0000068058
373,0.0014899678
469,0.0000286348
374,0.0015035887
375,0.0057878562
376,0.0092078986
730,0.0008995611
377,0.0400764625
755,0.0053998924
417,0.0001867701
997,0.3457029910
381,0.0000374098
382,0.0000819063
383,0.0002552052
384,0.0004051886
711,0.0000038279
385,0.0018236420
389,0.0002440538
390,0.0000388946
391,0.0000743497
392,0.0000396351
393,0.0000992962
535,0.0000472740
394,0.0000982646
824,0.0000702029
395,0.0000971487
396,0.0000931930
817,0.0001675036
398,0.0001114310
399,0.0001810265
401,0.0009217984
405,0.0026610542
407,0.0003235169
408,0.0000934948
568,0.0003671232
410,0.0000373332
938,0.0000148097
411,0.0000510969
412,0.0001179795
628,0.0000039112
414,0.0007311406
419,0.0002557284
420,0.0000734562
421,0.0000375847
422,0.0000206006
754,0.0024377624
423,0.0000155747
736,0.0000080708
424,0.0000158452
426,0.0000620280
427,0.0002200291
428,0.0002335915
431,0.0000331234
432,0.0000159649
433,0.0000329062
434,0.0000752604
557,0.0000703742
435,0.0001495074
437,0.0005869493
438,0.0005760736
973,0.0001636011
500,0.0001747076
442,0.0000535222
440,0.0000856642
443,0.0001271954
444,0.0002356948
445,0.0009370778
446,0.0010588552
448,0.0002425915
954,0.0000539645
450,0.0000324073
451,0.0000107653
452,0.0000126314
453,0.0000118744
456,0.0000049647
457,0.0000057610
459,0.0000270172
460,0.0001211684
845,0.0000537251
462,0.0000624422
463,0.0000431551
904,0.0001362426
464,0.0000215242
971,0.0000776746
465,0.0000161069
467,0.0000227625
468,0.0000261403
471,0.0000407704
474,0.0000125180
475,0.0000125074
476,0.0000292738
479,0.0000116802
627,0.0000140655
480,0.0000043369
481,0.0000044545
647,0.0000048336
742,0.0000010810
483,0.0000048336
484,0.0000112224
485,0.0000283414
486,0.0000556998
488,0.0002106408
489,0.0002025138
492,0.0001246956
493,0.0004460557
494,0.0004758977
495,0.0005135574
497,0.0002001695
499,0.0002690140
955,0.0000686246
501,0.0007248307
821,0.0000820405
503,0.0049367687
505,0.0009101318
908,0.0015402520
760,0.0000470748
518,0.0136821365
507,0.0001158493
508,0.0000861649
509,0.0001454000
510,0.0003425217
511,0.0008039984
512,0.0022017264
513,0.0045935560
514,0.0157747746
515,0.0193916510
516,0.0163630603
519,0.0162394276
520,0.0150440078
523,0.0000024235
524,0.0026816581
525,0.0002446663
629,0.0000102511
527,0.0000473789
605,0.0015929217
526,0.0002616582
528,0.0000312881
529,0.0000102361
849,0.0000050193
530,0.0000055604
531,0.0000040424
532,0.0000081186
533,0.0000118111
534,0.0000148490
536,0.0000553729
537,0.0000560403
539,0.0000087497
540,0.0000056634
541,0.0000083955
542,0.0000193386
543,0.0000438644
544,0.0001261943
545,0.0002367006
546,0.0009620448
547,0.0002657951
549,0.0000659647
587,0.0597055823
804,0.0000873121
551,0.0000149483
554,0.0000055343
555,0.0000110903
556,0.0000179627
558,0.0000351186
559,0.0000589479
560,0.0001526446
793,0.0000313276
561,0.0002746285
562,0.0011635593
563,0.0004913636
565,0.0025495017
585,0.0055005274
566,0.0027168728
567,0.0025047865
772,0.0001936130
569,0.0002136171
570,0.0000400325
571,0.0000262208
572,0.0000096387
573,0.0000075322
574,0.0000102682
575,0.0000260248
576,0.0000214169
578,0.0000593815
579,0.0001129878
819,0.0001784875
581,0.0003254511
582,0.0013276942
584,0.0077675431
949,0.0000633157
586,0.0637521597
812,0.0597011107
588,0.0647745714
977,0.0002007949
604,0.0034657249
590,0.0064335470
591,0.0011722508
592,0.0007740272
593,0.0003812057
594,0.0008462117
596,0.0069045094
597,0.0141452916
598,0.0157110862
758,0.0007304765
600,0.0269994208
721,0.0001714994
656,0.0004145452
601,0.0280406812
602,0.0142760327
603,0.0107620509
606,0.0006959770
607,0.0003857653
608,0.0003057594
979,0.0001738050
611,0.0000610489
613,0.0000600750
615,0.0000821316
827,0.0000205202
616,0.0000722086
618,0.0000116868
622,0.0001377918
619,0.0000152139
620,0.0000222014
621,0.0000360584
623,0.0001612202
632,0.0000059528
624,0.0001556123
626,0.0000249767
630,0.0000425596
796,0.0000011242
631,0.0000165014
633,0.0000031459
634,0.0000031506
725,0.0001223708
635,0.0000096912
636,0.0000128314
637,0.0000833403
638,0.0003248545
897,0.0000089698
639,0.0003464425
640,0.0003221903
642,0.0000632448
643,0.0001698259
644,0.0000429232
645,0.0000963476
646,0.0000136331
834,0.0023829516
648,0.0000108272
649,0.0000286239
650,0.0000517909
651,0.0001520465
654,0.0017416251
655,0.0017737446
657,0.0001926659
658,0.0000459988
660,0.0000094772
661,0.0000067885
785,0.0000047217
662,0.0000054754
663,0.0000044675
899,0.0000411894
665,0.0000006300
666,0.0000002442
667,0.0000001389
668,0.0000001442
669,0.0000002901
670,0.0000006593
671,0.0000017979
672,0.0000037345
673,0.0000128920
674,0.0000155967
675,0.0000439993
677,0.0000503948
681,0.0002638881
682,0.0002831564
683,0.0002678720
685,0.0000402974
686,0.0000315212
687,0.0000093205
688,0.0000079872
689,0.0000025919
863,0.0000484764
690,0.0000031901
691,0.0000130830
937,0.0000417099
692,0.0000127266
693,0.0000304170
695,0.0000196763
782,0.0000076056
697,0.0000026162
698,0.0000007218
