Node,Hub
1000,0.3080407178
3000,0.0000000000
1,0.0000000000
2,0.0999184835
3,0.1717287218
999,0.2538813150
998,0.2739029114
205,0.1319614547
4,0.0718102383
5,0.0853053844
6,0.0621901252
254,0.0622815276
992,0.0603375921
7,0.0199043140
8,0.0212709417
397,0.0139505402
219,0.0137727014
9,0.0191512001
104,0.0191756044
10,0.0327455651
11,0.0329933328
12,0.0303316569
997,0.1241685564
63,0.0278936348
13,0.0129161537
14,0.0086256615
15,0.0105611787
818,0.0038330500
16,0.0287169319
17,0.0366038820
18,0.0398978914
122,0.1751143738
19,0.0213307745
525,0.0241702729
455,0.0313431494
21,0.0068218286
424,0.0218673427
20,0.0008427664
22,0.0027893781
23,0.0145352529
24,0.0145047075
102,0.0186825614
958,0.0737236294
25,0.0056678485
26,0.0035950086
27,0.0025677708
28,0.0028327968
29,0.0056247888
30,0.0066605455
31,0.0024321195
32,0.0028006652
256,0.0119800317
33,0.0010628852
34,0.0007080452
35,0.0005462786
36,0.0006397603
37,0.0013789343
38,0.0014580977
39,0.0015818515
508,0.0032498016
601,0.0033944135
308,0.0005069963
40,0.0011024769
41,0.0023275407
42,0.0052336325
43,0.0076349495
44,0.0137023224
383,0.0144891405
45,0.0116710380
905,0.0054421148
683,0.0509248983
65,0.0141596759
46,0.0015128000
811,0.0026794387
47,0.0005433278
48,0.0008458989
49,0.0012071502
489,0.0012412377
50,0.0017001590
51,0.0013975879
438,0.0030782364
52,0.0068553423
966,0.0234040742
857,0.0169917440
53,0.0025040450
585,0.0184726964
54,0.0003624816
55,0.0003624816
56,0.0005423851
57,0.0007849283
741,0.0007594989
169,0.0010800566
58,0.0009664286
59,0.0016515906
448,0.0008730131
60,0.0028002708
61,0.0063409345
62,0.0093834947
182,0.0057201811
376,0.0112568951
64,0.0051098805
611,0.0248456308
66,0.0029399746
67,0.0046992399
68,0.0070303685
69,0.0100929352
70,0.0158840425
649,0.0177076861
71,0.0266817575
72,0.0510916687
73,0.1068802526
74,0.1974759170
75,0.2105071172
121,0.2708154228
76,0.1730757593
427,0.1636861204
471,0.1755520154
612,0.1344136678
685,0.2537234112
77,0.0774123686
252,0.0560961693
78,0.0303312940
225,0.0405475048
79,0.0165806271
908,0.0144921783
390,0.0133066451
80,0.0079611473
81,0.0044652484
82,0.0024463785
83,0.0047870726
216,0.0022564031
247,0.0032749553
627,0.0049645901
84,0.0065246587
85,0.0210871280
86,0.0209235373
239,0.1386273682
87,0.0035877969
88,0.0058582964
89,0.0046886165
90,0.0061999456
348,0.0047980698
874,0.0066192199
91,0.0049720016
92,0.0050454888
991,0.0166645210
93,0.0029148150
94,0.0025494640
791,0.0062623856
95,0.0009878671
96,0.0014065529
646,0.0044442849
349,0.0034073328
97,0.0006428868
98,0.0011959191
99,0.0018748861
529,0.0010155533
100,0.0037892080
101,0.0060034157
103,0.0096398797
105,0.0089373004
106,0.0449959195
416,0.0486125638
107,0.0378660781
108,0.0377507095
109,0.0227023612
110,0.0163919862
238,0.0502573050
948,0.0371353139
111,0.0034192496
112,0.0035757845
674,0.0145469785
113,0.0050214726
199,0.0124309976
114,0.0049604472
970,0.0092557663
115,0.0053335141
776,0.0032876611
116,0.0056869476
978,0.0041338212
497,0.0095038514
912,0.0069167804
117,0.0086501152
118,0.0086501152
119,0.0670117008
120,0.1276230339
584,0.0382275523
128,0.1122064127
503,0.1503972822
123,0.0709893429
235,0.1114262191
698,0.1136042523
125,0.0071550431
145,0.0051452111
872,0.0037393581
444,0.0040038728
126,0.0247875812
953,0.0195993187
435,0.0171683165
124,0.0000000000
127,0.0339201440
762,0.0091418852
129,0.0358672441
130,0.0242651554
514,0.0304450540
131,0.0039549436
132,0.0046573124
926,0.0051999480
133,0.0023689107
134,0.0016862090
702,0.0056360907
135,0.0003760143
136,0.0004504703
137,0.0009161276
341,0.0008593839
138,0.0017085126
139,0.0035127312
140,0.0067593449
141,0.0087918404
826,0.0063914541
142,0.0081935117
273,0.0086748232
492,0.0139901162
143,0.0056601763
144,0.0041797640
146,0.0010587763
147,0.0013546702
487,0.0024070454
148,0.0007543234
149,0.0015613873
150,0.0002030545
214,0.0032435043
491,0.0049666632
151,0.0025313118
152,0.0090339198
644,0.0056417897
153,0.0026270304
154,0.0101999374
189,0.0614267743
155,0.0055673870
156,0.0052081083
294,0.0064932280
157,0.0029936735
559,0.0094276999
158,0.0057359641
159,0.0081479069
893,0.0155925632
160,0.0089645580
440,0.0130363381
208,0.0147188167
291,0.0155916704
161,0.0012858089
162,0.0016192925
163,0.0011748935
164,0.0013424664
165,0.0038398010
166,0.0009763587
167,0.0037989176
849,0.0090030691
168,0.0011772019
170,0.0003365247
171,0.0001640115
172,0.0000450979
173,0.0000356474
174,0.0000248000
175,0.0000314342
176,0.0000539677
177,0.0001024377
178,0.0002149917
179,0.0003940150
180,0.0009750009
181,0.0012230624
183,0.0014801333
819,0.0009442447
898,0.0010136216
184,0.0025949686
388,0.0039038269
185,0.0028588529
186,0.0075822193
187,0.0065312950
188,0.0499305913
409,0.0478920503
190,0.0309822437
191,0.0335771522
192,0.0369189132
904,0.0145105485
193,0.0319374781
501,0.0720942914
194,0.0158527449
639,0.0615481337
301,0.0211812978
195,0.0081832311
943,0.0140767296
196,0.0051685066
197,0.0047541101
198,0.0068790746
200,0.0251546251
201,0.0272124841
202,0.0132818374
203,0.0294970620
204,0.0396823496
917,0.0123009527
206,0.0246906030
207,0.0115101311
241,0.0228181941
209,0.0066088897
210,0.0058996170
211,0.0094055438
212,0.0087345195
236,0.0356378283
962,0.0074748635
321,0.0094632724
213,0.0016123808
215,0.0015542698
217,0.0042611537
218,0.0007599218
446,0.0021488914
668,0.0065451081
220,0.0017770241
221,0.0084193844
517,0.0049645396
952,0.0119109397
222,0.0022278130
860,0.0021279046
652,0.0016497827
223,0.0081238624
691,0.0625989063
224,0.0112774034
551,0.0095680491
226,0.0050419265
267,0.0088011545
227,0.0006330647
228,0.0004669786
229,0.0010777228
230,0.0020701004
231,0.0044280636
232,0.0079894058
233,0.0204463455
234,0.0174333484
562,0.0058829383
361,0.0210240367
237,0.0031249316
549,0.0342704740
327,0.0319173627
240,0.0194971825
382,0.0334681064
242,0.0060043485
243,0.0049357179
244,0.0009592872
245,0.0038210340
394,0.0068101187
246,0.0031833840
248,0.0011988853
249,0.0027403761
989,0.0035910763
250,0.0016483706
251,0.0160582458
443,0.0108526522
253,0.0235838570
662,0.0135998978
600,0.0114749999
255,0.0086505370
257,0.0037624265
258,0.0016846584
259,0.0010882547
260,0.0006972106
919,0.0033929047
261,0.0002233045
262,0.0003475402
808,0.0011910258
263,0.0004372331
264,0.0007562903
265,0.0016809312
266,0.0025285560
268,0.0020589885
269,0.0040113041
420,0.0066221011
270,0.0060814749
271,0.0080786471
272,0.0153800847
496,0.0155736518
784,0.0047919904
274,0.0107229845
967,0.0643052708
841,0.0183333556
275,0.0048730283
276,0.0057621434
277,0.0149057372
278,0.0146317467
971,0.0207944312
280,0.0024282473
645,0.0050822243
279,0.0003146877
281,0.0011605662
282,0.0004863165
318,0.0013885997
869,0.0038683095
283,0.0003537302
284,0.0011172706
285,0.0009594779
286,0.0061068148
314,0.0012876664
287,0.0163381904
634,0.0074627612
288,0.0139271213
289,0.0183182620
502,0.0878013134
393,0.0045464750
734,0.0033506795
290,0.0075098356
408,0.0232062377
292,0.0054272068
293,0.0047082938
855,0.0029296865
295,0.0029119399
964,0.0054976326
296,0.0020166571
297,0.0021759723
615,0.0094009080
298,0.0013962080
299,0.0047379160
300,0.0028748391
560,0.0155325155
302,0.0025954190
303,0.0029475178
715,0.0030696261
304,0.0003982452
305,0.0004749089
306,0.0002461487
307,0.0002299071
309,0.0001809343
310,0.0001532171
311,0.0001512424
312,0.0002695623
313,0.0003958465
315,0.0004569830
316,0.0006632266
317,0.0006101752
522,0.0034254164
319,0.0008712450
320,0.0030867270
854,0.0025906533
437,0.0022078415
322,0.0030438111
572,0.0038110552
323,0.0013787693
591,0.0014219996
325,0.0064948153
593,0.0033845922
324,0.0017220665
326,0.0095325217
979,0.0036117212
328,0.0074890693
329,0.0045516826
831,0.0023067617
330,0.0004550120
331,0.0006374357
332,0.0008759789
658,0.0053186844
478,0.0024084573
333,0.0007494367
334,0.0009210027
816,0.0028300996
335,0.0008624543
336,0.0026075563
337,0.0003042708
338,0.0023440795
794,0.0027193006
934,0.0165088125
339,0.0017452683
771,0.0008076879
340,0.0016901834
694,0.0090215993
342,0.0016641774
343,0.0029294429
764,0.0039236097
800,0.0079120762
344,0.0019623070
547,0.0086624856
345,0.0014625679
346,0.0010077370
347,0.0022619332
664,0.0036308211
589,0.0021674971
569,0.0024449666
350,0.0042914499
351,0.0055411843
610,0.0241396895
352,0.0015888298
353,0.0019335835
442,0.0064385621
354,0.0006838491
355,0.0016590171
356,0.0017284500
720,0.0018630113
852,0.0062582255
357,0.0014064288
358,0.0020028398
359,0.0041049619
360,0.0060841852
362,0.0049569960
363,0.0034420841
364,0.0015269229
825,0.0015048196
365,0.0018308948
366,0.0023089670
367,0.0011399624
368,0.0016869437
524,0.0087341756
369,0.0010692017
370,0.0015431311
371,0.0024550558
372,0.0037013457
511,0.0045304236
373,0.0036745926
946,0.0087449237
374,0.0033759956
375,0.0023924711
507,0.0070492782
377,0.0065847197
378,0.0019929862
379,0.0036828068
380,0.0067854221
381,0.0104929060
515,0.0161464518
385,0.0016253813
384,0.0000803738
386,0.0009166128
387,0.0015052909
389,0.0028900484
391,0.0045594651
392,0.0053018594
802,0.0160784287
395,0.0021656795
396,0.0043658517
398,0.0041814599
399,0.0029181110
400,0.0012211290
401,0.0026874598
402,0.0022566638
403,0.0017303070
540,0.0010692325
404,0.0029829515
405,0.0042931721
406,0.0069639274
892,0.0067851947
407,0.0119652613
410,0.0099434239
985,0.0039744762
412,0.0014469966
411,0.0002339935
413,0.0012215504
414,0.0009875569
415,0.0063848061
863,0.0156082044
417,0.0078840154
700,0.0294989445
418,0.0071781253
419,0.0039165978
421,0.0085267348
422,0.0107772469
423,0.0143369812
959,0.0271361439
425,0.0338779436
426,0.0484211223
428,0.0383736949
429,0.0234599759
430,0.0065857208
431,0.0053945587
432,0.0042253509
433,0.0056501994
434,0.0110614484
640,0.0541633836
837,0.0046380550
965,0.0061721935
436,0.0000000000
439,0.0020568869
441,0.0063029509
505,0.0330671031
445,0.0021741734
879,0.0012924179
447,0.0002649773
449,0.0003901817
450,0.0007399737
532,0.0004434449
451,0.0015122973
452,0.0033498684
453,0.0082947809
454,0.0111492499
642,0.0161534500
456,0.0060724266
457,0.0168143198
458,0.0038730221
459,0.0134644065
460,0.0039451695
461,0.0048907475
976,0.0053543803
462,0.0041211947
463,0.0037760201
722,0.0022089207
464,0.0032949122
465,0.0028125230
859,0.0038498929
466,0.0029216130
467,0.0063910314
660,0.0057739047
468,0.0041973110
469,0.0414765749
470,0.0624060707
472,0.0173696620
473,0.0225376870
474,0.0068311987
475,0.0053682243
476,0.0032338731
937,0.0051973075
477,0.0026195557
479,0.0041141207
480,0.0085146611
827,0.0057307240
481,0.0070345849
482,0.0520474675
483,0.0465980708
885,0.0947056897
484,0.0121232866
485,0.0039251271
626,0.0047738369
486,0.0027430641
488,0.0010093206
490,0.0006936715
493,0.0036143234
494,0.0046578723
495,0.0053131510
498,0.0033237299
499,0.0140681018
500,0.0371376288
686,0.0891293928
504,0.0028995077
506,0.0035176274
509,0.0015276563
510,0.0023454481
512,0.0082191477
513,0.0117016450
597,0.0120411703
516,0.0075757582
518,0.0035426272
519,0.0026068394
933,0.0090901339
520,0.0015074740
521,0.0003607669
766,0.0016343351
523,0.0056231554
911,0.0043927517
526,0.0063970230
527,0.0030852225
528,0.0005169331
530,0.0002620319
531,0.0001782358
553,0.0020669958
533,0.0001333997
534,0.0000846861
535,0.0001047273
536,0.0001995331
537,0.0003677410
538,0.0008468572
539,0.0012608601
546,0.0045074106
541,0.0011548941
542,0.0055520211
543,0.0026584057
960,0.0182841223
550,0.0134539737
544,0.0012779907
545,0.0025448654
747,0.0010411214
548,0.0110403439
552,0.0027780481
935,0.0047311239
598,0.0023163536
554,0.0014903112
555,0.0013441306
556,0.0015850215
557,0.0015929278
558,0.0042165390
830,0.0020879780
561,0.0051132179
563,0.0017108520
564,0.0009212166
565,0.0003398819
566,0.0003898947
567,0.0005741486
568,0.0009174337
570,0.0021997608
571,0.0055344682
573,0.0062007323
574,0.0028428712
843,0.0065556495
575,0.0015351687
576,0.0008969144
577,0.0007569900
578,0.0010077246
579,0.0017745624
580,0.0035169854
581,0.0029077360
582,0.0087277726
955,0.0129081529
583,0.0122593275
586,0.0078388425
587,0.0063851668
588,0.0044455978
590,0.0020245060
592,0.0013738328
594,0.0054068961
595,0.0069621970
596,0.0090806457
887,0.0210743801
614,0.0209098353
599,0.0024828473
602,0.0013038275
603,0.0072338194
604,0.0010228667
605,0.0017777987
873,0.0026297962
606,0.0016306449
607,0.0025712720
608,0.0056141474
609,0.0079137580
814,0.0060570121
977,0.0062877930
613,0.0201576968
616,0.0066064669
906,0.0049429079
617,0.0008699365
618,0.0010125039
619,0.0004196536
620,0.0003362997
621,0.0003790293
622,0.0005528161
623,0.0008798068
739,0.0004868422
624,0.0018580792
625,0.0025863777
961,0.0052150659
628,0.0018977530
629,0.0013941209
938,0.0036478227
630,0.0007395942
631,0.0011214922
632,0.0019241921
633,0.0038252285
635,0.0009047874
636,0.0028557589
972,0.0031627035
637,0.0076631609
638,0.0076631609
641,0.0149906233
922,0.0190145565
643,0.0050881880
647,0.0054806790
648,0.0066277538
902,0.0066082582
650,0.0049004654
651,0.0023927977
653,0.0006375781
654,0.0009412264
655,0.0012345477
804,0.0023419883
656,0.0017531896
657,0.0038793177
659,0.0050258074
661,0.0051216765
663,0.0043929761
665,0.0017303175
666,0.0009439760
667,0.0027300700
669,0.0029463306
670,0.0056209529
671,0.0128678920
672,0.0146883481
673,0.0147815654
789,0.0137507272
865,0.0489181106
675,0.0050049292
676,0.0022586828
677,0.0009342866
678,0.0017758112
897,0.0021725618
679,0.0029399465
680,0.0054549626
681,0.0122524639
682,0.0191397501
875,0.0121721881
684,0.0360150288
687,0.0300633347
688,0.0145313993
689,0.0139297826
690,0.0196694190
692,0.0173893092
693,0.0096463070
695,0.0113537366
696,0.0226421512
697,0.0338007369
699,0.0340275499
701,0.0041275736
703,0.0021736127
704,0.0012112670
705,0.0026191345
706,0.0028020198
848,0.0042904992
707,0.0022617161
803,0.0032088541
708,0.0003276053
709,0.0004202106
710,0.0003063837
711,0.0004221154
712,0.0008690836
713,0.0011985782
714,0.0014165466
716,0.0007073614
717,0.0004151224
