Node,CoreNumber
1,8
2,8
3,2
4,12
5,5
6,8
7,12
8,12
9,11
10,4
11,9
12,4
13,8
14,12
15,8
16,4
17,4
18,10
19,7
20,6
21,2
22,6
23,4
24,12
25,12
26,2
27,5
28,8
29,12
30,9
31,4
32,9
33,6
34,12
35,12
36,12
37,12
38,12
39,4
40,2
41,7
42,6
43,12
44,5
45,12
46,1
47,10
48,10
49,12
50,2
51,12
52,1
53,12
54,8
55,4
56,12
57,12
58,12
59,5
60,9
61,12
62,12
63,12
64,9
65,7
66,6
67,12
68,12
69,12
70,12
71,12
72,12
73,12
74,12
75,12
76,12
77,12
78,3
79,12
80,4
81,12
82,10
83,12
84,12
85,12
86,7
87,12
88,12
89,12
90,12
91,12
92,12
93,11
94,12
95,12
96,11
97,2
98,12
99,12
100,12
101,6
102,12
103,10
104,12
105,12
106,11
107,12
108,12
109,5
110,12
111,12
112,12
113,6
114,12
115,12
116,11
117,5
118,12
119,12
120,4
121,12
122,10
123,12
124,12
125,12
126,11
127,8
128,9
129,12
130,12
131,6
132,12
133,10
134,1
135,11
136,2
137,11
138,12
139,3
140,1
141,12
142,12
143,12
144,12
145,12
146,12
147,12
148,5
149,12
150,12
151,12
152,12
153,12
154,12
155,12
156,12
157,12
158,10
159,12
160,9
161,11
162,2
163,4
164,3
165,5
166,6
167,11
168,5
169,12
170,12
171,12
172,12
173,4
174,12
175,1
176,6
177,12
178,12
179,1
180,1
181,4
182,12
183,12
184,12
185,12
186,12
187,2
188,11
189,12
190,12
191,11
192,12
193,11
194,11
195,12
196,11
197,12
198,1
199,3
200,12
201,12
202,11
203,12
204,1
205,11
206,12
207,12
208,11
209,2
210,7
211,12
212,5
213,10
214,2
215,7
216,12
217,2
218,8
219,11
220,3
221,4
222,1
223,12
224,6
225,3
226,11
227,1
228,11
229,11
230,9
231,3
232,10
233,2
234,6
235,6
236,10
237,12
238,12
239,1
240,12
241,9
242,11
243,3
244,12
245,12
246,10
247,9
248,10
249,12
250,7
251,2
252,1
253,4
254,9
255,3
256,10
257,5
258,12
259,7
260,10
261,12
262,12
263,11
264,12
265,12
266,12
267,8
268,6
269,11
270,11
271,8
272,9
273,11
274,9
275,11
276,7
277,1
278,2
279,10
280,3
281,5
282,3
283,8
284,12
285,6
286,12
287,12
288,3
289,3
290,10
291,7
292,9
293,10
294,12
295,8
296,12
297,12
298,2
299,9
300,12
301,10
302,2
303,10
304,12
305,12
306,6
307,8
308,12
309,10
310,5
311,10
312,8
313,11
314,10
315,10
316,7
317,1
318,4
319,4
320,12
321,1
322,1
323,3
324,2
325,4
326,4
327,9
328,9
329,12
330,12
331,12
332,12
333,12
334,12
335,5
336,8
337,3
338,5
339,6
340,2
341,4
342,11
343,12
344,12
345,12
346,12
347,2
348,11
349,10
350,12
351,1
352,3
353,12
354,12
355,12
356,12
357,12
358,12
359,12
360,4
361,12
362,12
363,3
364,10
365,12
366,8
367,12
368,6
369,2
370,12
371,4
372,4
373,12
374,12
375,12
376,12
377,4
378,2
379,2
380,2
381,12
382,4
383,6
384,4
385,3
386,3
387,3
388,2
389,3
390,4
391,7
392,6
393,12
394,9
395,12
396,8
397,12
398,12
399,11
400,2
401,4
402,12
403,6
404,12
405,12
406,12
407,7
408,12
409,12
410,11
411,3
412,12
413,12
414,12
415,7
416,11
417,12
418,12
419,11
420,11
421,7
422,11
423,11
424,8
425,9
426,8
427,1
428,5
429,5
430,11
431,8
432,1
433,12
434,8
435,7
436,5
437,12
438,11
439,12
440,11
441,12
442,12
443,12
444,12
445,12
446,7
447,10
448,12
449,5
450,12
451,9
452,12
453,12
454,12
455,7
456,12
457,12
458,10
459,7
460,6
461,11
462,5
463,10
464,6
465,12
466,8
467,8
468,11
469,12
470,3
471,12
472,12
473,12
474,8
475,7
476,8
477,11
478,6
479,2
480,12
481,2
482,12
483,12
484,12
485,12
486,12
487,2
488,12
489,4
490,11
491,12
492,12
493,5
494,12
495,1
496,10
497,12
498,9
499,7
500,11
501,1
502,1
503,12
504,1
505,11
506,11
507,9
508,4
509,1
510,3
511,11
512,11
513,11
514,8
515,12
516,12
517,12
518,8
519,12
520,8
521,12
522,2
523,6
524,1
525,2
526,11
527,3
528,11
529,3
530,8
531,8
532,1
533,2
534,10
535,1
536,9
537,1
538,6
539,1
540,7
541,1
542,3
543,10
544,2
545,8
546,1
547,1
548,8
549,8
550,5
551,9
552,10
553,5
554,4
555,5
556,3
557,2
558,1
559,10
560,6
561,6
562,2
563,12
564,10
565,2
566,5
567,1
568,2
569,5
570,10
571,1
572,6
573,11
574,1
575,11
576,12
577,4
578,12
579,10
580,9
581,1
582,6
583,11
584,12
585,11
586,4
587,12
588,4
589,5
590,1
591,10
592,3
593,2
594,11
595,12
596,7
597,4
598,1
599,8
600,1
601,5
602,5
603,8
604,11
605,5
606,12
607,12
608,12
609,12
610,8
611,11
612,12
613,11
614,3
615,5
616,3
617,3
618,2
619,1
620,9
621,9
622,6
623,12
624,12
625,10
626,3
627,2
628,3
629,1
630,12
631,10
632,2
633,12
634,5
635,7
636,12
637,9
638,10
639,2
640,2
641,1
642,7
643,4
644,2
645,4
646,3
647,4
648,8
649,3
650,8
651,12
652,3
653,1
654,8
655,7
656,8
657,8
658,8
659,10
660,6
661,6
662,2
663,8
664,12
665,3
666,12
667,10
668,1
669,9
670,12
671,8
672,4
673,10
674,12
675,11
676,12
677,10
678,12
679,5
680,3
681,4
682,1
683,10
684,1
685,1
686,1
687,7
688,1
689,5
690,5
691,1
692,1
693,1
694,3
695,2
696,12
697,3
698,12
699,6
700,12
701,11
702,12
703,12
704,2
705,1
706,7
707,7
708,1
709,5
710,5
711,5
712,11
713,3
714,1
715,5
716,1
717,2
718,8
719,1
720,5
721,11
722,10
723,11
724,11
725,10
726,12
727,4
728,7
729,11
730,2
731,9
732,12
733,11
734,2
735,5
736,2
737,5
738,9
739,4
740,12
741,10
742,10
743,7
744,3
745,12
746,7
747,1
748,2
749,1
750,12
751,11
752,12
753,12
754,2
755,10
756,12
757,12
758,1
759,9
760,12
761,10
762,1
763,7
764,12
765,5
766,10
767,12
768,6
769,12
770,7
771,8
772,3
773,8
774,12
775,9
776,6
777,5
778,8
779,4
780,10
781,10
782,4
783,5
784,3
785,3
786,2
787,12
788,1
789,12
790,12
791,3
792,12
793,12
794,3
795,12
796,12
797,10
798,12
799,3
800,3
801,5
802,12
803,12
804,8
805,10
806,10
807,6
808,11
809,11
810,12
811,12
812,12
813,12
814,12
815,8
816,1
817,5
818,10
819,10
820,12
821,10
822,12
823,3
824,8
825,5
826,1
827,4
828,10
829,6
830,12
831,7
832,12
833,4
834,5
835,10
836,12
837,12
838,12
839,12
840,6
841,12
842,2
843,12
844,12
845,12
846,8
847,12
848,12
849,12
850,8
851,5
852,12
853,12
854,4
855,11
856,11
857,12
858,8
859,8
860,8
861,2
862,8
863,1
864,3
865,1
866,2
867,7
868,3
869,2
870,2
871,12
872,3
873,5
874,1
875,8
876,11
877,12
878,3
879,1
880,8
881,12
882,12
883,8
884,12
885,5
886,12
887,10
888,11
889,7
890,12
891,10
892,12
893,12
894,12
895,8
896,12
897,12
898,11
899,11
900,12
901,12
902,12
903,12
904,5
905,12
906,7
907,9
908,1
909,6
910,7
911,10
912,1
913,7
914,2
915,4
916,1
917,2
918,12
919,2
920,4
921,4
922,11
923,3
924,2
925,12
926,5
927,12
928,10
929,12
930,12
931,11
932,9
933,12
934,1
935,5
936,8
937,11
938,10
939,10
940,11
941,4
942,8
943,10
944,12
945,10
946,5
947,11
948,12
949,3
950,12
951,12
952,12
953,6
954,6
955,5
956,2
957,2
958,5
959,3
960,9
961,6
962,5
963,3
964,12
965,9
966,12
967,10
968,11
969,11
970,7
971,12
972,10
973,1
974,11
975,10
976,7
977,2
978,12
979,10
980,7
981,6
982,3
983,7
984,2
985,7
986,4
987,1
988,2
989,8
990,9
991,5
992,7
993,8
994,10
995,8
996,7
997,2
998,2
999,12
1000,7
1001,12
1002,10
1003,8
1004,8
1005,3
1006,2
1007,5
1008,10
1009,12
1010,3
1011,7
1012,12
1013,12
1014,9
1015,12
1016,4
1017,11
1018,9
1019,2
1020,9
1021,10
1022,4
1023,6
1024,3
1025,11
1026,9
1027,9
1028,4
1029,5
1030,11
1031,11
1032,1
1033,1
1034,3
1035,2
1036,4
1037,9
1038,12
1039,4
1040,1
1041,1
1042,2
1043,1
1044,1
1045,8
1046,5
1047,4
1048,2
1049,4
1050,1
1051,5
1052,2
1053,8
1054,12
1055,1
1056,1
1057,1
1058,1
1059,1
1060,11
1061,2
1062,12
1063,10
1064,2
1065,5
1066,12
1067,4
1068,1
1069,5
1070,9
1071,5
1072,5
1073,4
1074,1
1075,3
1076,3
1077,11
1078,7
1079,8
1080,2
1081,1
1082,11
1083,11
1084,7
1085,4
1086,3
1087,2
1088,10
1089,6
1090,12
1091,11
1092,12
1093,12
1094,6
1095,11
1096,12
1097,12
1098,12
1099,12
1100,4
1101,6
1102,6
1103,7
1104,2
1105,1
1106,9
1107,4
1108,4
1109,1
1110,2
1111,12
1112,2
1113,7
1114,8
1115,3
1116,10
1117,3
1118,5
1119,6
1120,8
1121,4
1122,7
1123,2
1124,1
1125,8
1126,8
1127,11
1128,12
1129,12
1130,12
1131,3
1132,4
1133,12
1134,4
1135,3
1136,12
1137,6
1138,3
1139,12
1140,4
1141,4
1142,6
1143,2
1144,5
1145,3
1146,11
1147,11
1148,7
1149,2
1150,8
1151,8
1152,11
1153,1
1154,7
1155,10
1156,6
1157,6
1158,11
1159,6
1160,11
1161,2
1162,12
1163,4
1164,1
1165,3
1166,6
1167,3
1168,10
1169,11
1170,10
1171,12
1172,11
1173,6
1174,11
1175,8
1176,11
1177,11
1178,4
1179,5
1180,5
1181,3
1182,2
1183,5
1184,2
1185,1
1186,1
1187,12
1188,2
1189,8
1190,11
1191,12
1192,12
1193,10
1194,11
1195,12
1196,2
1197,12
1198,10
1199,2
1200,10
1201,3
1202,10
1203,3
1204,11
1205,10
1206,2
1207,6
1208,10
1209,2
1210,10
1211,4
1212,1
1213,12
1214,9
1215,6
1216,2
1217,9
1218,7
1219,12
1220,10
1221,2
1222,11
1223,6
1224,12
1225,11
1226,8
1227,10
1228,8
1229,12
1230,12
1231,11
1232,3
1233,9
1234,2
1235,2
1236,1
1237,1
1238,1
1239,1
1240,2
1241,1
1242,1
1243,1
1244,9
1245,9
1246,5
1247,10
1248,9
1249,1
1250,9
1251,5
1252,8
1253,3
1254,9
1255,10
