Dataset: cit-DBLP
Vertices: 12592
Edges: 49621
Max K-Core: 12
Runtime (seconds): 0.004000
Memory Usage (MB): 0.86

=== Core Distribution ===
Core	Count	Percentage
1	4959	39.38%
2	1756	13.95%
3	905	7.19%
4	713	5.66%
5	531	4.22%
6	462	3.67%
7	446	3.54%
8	515	4.09%
9	375	2.98%
10	536	4.26%
11	478	3.80%
12	916	7.27%

=== Top 100 Vertices by Coreness ===
Rank	Vertex_ID	Coreness
1	4	12
2	7	12
3	8	12
4	14	12
5	24	12
6	25	12
7	29	12
8	34	12
9	35	12
10	36	12
11	37	12
12	38	12
13	43	12
14	45	12
15	49	12
16	51	12
17	53	12
18	56	12
19	57	12
20	58	12
21	61	12
22	62	12
23	63	12
24	67	12
25	68	12
26	69	12
27	70	12
28	71	12
29	72	12
30	73	12
31	74	12
32	75	12
33	76	12
34	77	12
35	79	12
36	81	12
37	83	12
38	84	12
39	85	12
40	87	12
41	88	12
42	89	12
43	90	12
44	91	12
45	92	12
46	94	12
47	95	12
48	98	12
49	99	12
50	100	12
51	102	12
52	104	12
53	105	12
54	107	12
55	108	12
56	110	12
57	111	12
58	112	12
59	114	12
60	115	12
61	118	12
62	119	12
63	121	12
64	123	12
65	124	12
66	125	12
67	129	12
68	130	12
69	132	12
70	138	12
71	141	12
72	142	12
73	143	12
74	144	12
75	145	12
76	146	12
77	147	12
78	149	12
79	150	12
80	151	12
81	152	12
82	153	12
83	154	12
84	155	12
85	156	12
86	157	12
87	159	12
88	169	12
89	170	12
90	171	12
91	172	12
92	174	12
93	177	12
94	178	12
95	182	12
96	183	12
97	184	12
98	185	12
99	186	12
100	189	12
