Node,CoreNumber
1,34
2,30
3,16
4,2
5,17
6,2
7,4
8,6
9,2
10,14
11,23
12,17
13,20
14,7
15,1
16,19
17,10
18,23
19,9
20,1
21,12
22,4
23,10
24,22
25,31
26,6
27,32
28,7
29,29
30,3
31,8
32,23
33,30
34,2
35,20
36,21
37,31
38,2
39,5
40,1
41,31
42,8
43,19
44,3
45,8
46,11
47,4
48,31
49,6
50,23
51,2
52,30
53,33
54,32
55,25
56,27
57,7
58,3
59,17
60,24
61,10
62,20
63,33
64,9
65,21
66,1
67,8
68,30
69,7
70,13
71,9
72,2
73,14
74,34
75,8
76,11
77,30
78,32
79,34
80,11
81,3
82,2
83,3
84,31
85,12
86,5
87,26
88,28
89,11
90,1
91,1
92,7
93,20
94,5
95,18
96,1
97,32
98,15
99,23
100,20
101,4
102,18
103,17
104,25
105,21
106,29
107,16
108,2
109,1
110,4
111,13
112,2
113,11
114,30
115,26
116,11
117,22
118,26
119,25
120,12
121,8
122,13
123,27
124,32
125,29
126,10
127,25
128,5
129,18
130,32
131,8
132,4
133,22
134,32
135,27
136,22
137,2
138,1
139,4
140,19
141,13
142,10
143,2
144,1
145,1
146,2
147,3
148,19
149,7
150,30
151,4
152,11
153,6
154,9
155,7
156,13
157,21
158,25
159,30
160,20
161,28
162,5
163,12
164,14
165,6
166,10
167,13
168,28
169,28
170,18
171,15
172,1
173,31
174,25
175,21
176,12
177,12
178,3
179,18
180,19
181,20
182,3
183,30
184,25
185,17
186,6
187,4
188,30
189,21
190,24
191,32
192,34
193,12
194,26
195,27
196,24
197,30
198,7
199,18
200,26
201,4
202,20
203,34
204,32
205,14
206,32
207,22
208,15
209,14
210,13
211,1
212,5
213,8
214,4
215,26
216,8
217,26
218,13
219,17
220,26
221,23
222,7
223,33
224,27
225,5
226,6
227,5
228,34
229,5
230,7
231,25
232,22
233,3
234,29
235,6
236,17
237,8
238,25
239,30
240,27
241,28
242,14
243,15
244,9
245,15
246,19
247,31
248,14
249,24
250,30
251,2
252,23
253,9
254,27
255,7
256,16
257,19
258,10
259,11
260,4
261,18
262,12
263,29
264,3
265,22
266,26
267,5
268,2
269,11
270,26
271,5
272,4
273,2
274,14
275,29
276,32
277,3
278,7
279,18
280,5
281,29
282,30
283,12
284,32
285,27
286,14
287,12
288,1
289,4
290,11
291,12
292,2
293,31
294,7
295,28
296,22
297,6
298,5
299,28
300,30
301,4
302,13
303,29
304,1
305,3
306,15
307,8
308,24
309,31
310,22
311,34
312,32
313,23
314,3
315,17
316,15
317,4
318,1
319,16
320,24
321,4
322,3
323,8
324,3
325,33
326,34
327,32
328,28
329,5
330,28
331,5
332,3
333,28
334,30
335,22
336,19
337,11
338,30
339,21
340,26
341,14
342,13
343,8
344,6
345,23
346,7
347,25
348,17
349,17
350,29
351,3
352,30
353,22
354,29
355,9
356,31
357,26
358,1
359,19
360,3
361,32
362,12
363,17
364,19
365,32
366,34
367,33
368,28
369,4
370,28
371,24
372,23
373,7
374,2
375,24
376,32
377,31
378,32
379,8
380,29
381,32
382,25
383,3
384,3
385,5
386,25
387,4
388,5
389,18
390,34
391,10
392,32
393,28
394,19
395,21
396,29
397,33
398,28
399,18
400,26
401,4
402,14
403,4
404,31
405,19
406,9
407,2
408,21
409,2
410,16
411,31
412,2
413,5
414,3
415,13
416,23
417,34
418,11
419,12
420,17
421,14
422,10
423,14
424,6
425,12
426,4
427,7
428,33
429,34
430,1
431,11
432,31
433,5
434,29
435,10
436,31
437,14
438,6
439,14
440,7
441,18
442,19
443,34
444,3
445,10
446,17
447,12
448,28
449,5
450,32
451,14
452,11
453,9
454,3
455,13
456,27
457,4
458,6
459,6
460,17
461,21
462,14
463,1
464,7
465,14
466,7
467,12
468,9
469,20
470,32
471,3
472,18
473,4
474,7
475,28
476,4
477,7
478,2
479,4
480,24
481,7
482,27
483,29
484,4
485,30
486,8
487,34
488,33
489,17
490,8
491,2
492,27
493,12
494,34
495,32
496,33
497,3
498,12
499,14
500,32
501,31
502,2
503,3
504,14
505,22
506,9
507,9
508,26
509,9
510,11
511,7
512,6
513,33
514,27
515,30
516,23
517,27
518,27
519,21
520,30
521,11
522,17
523,6
524,24
525,5
526,24
527,12
528,10
529,11
530,28
531,24
532,17
533,13
534,14
535,23
536,7
537,26
538,32
539,30
540,4
541,23
542,1
543,1
544,11
545,5
546,7
547,5
548,30
549,30
550,6
551,2
552,7
553,3
554,8
555,26
556,1
557,7
558,32
559,8
560,7
561,16
562,25
563,34
564,17
565,27
566,1
567,19
568,2
569,6
570,22
571,29
572,4
573,4
574,32
575,9
576,24
577,31
578,27
579,20
580,27
581,12
582,20
583,34
584,14
585,34
586,4
587,2
588,6
589,10
590,18
591,8
592,32
593,4
594,9
595,3
596,9
597,34
598,29
599,6
600,16
601,6
602,8
603,18
604,10
605,9
606,32
607,9
608,31
609,25
610,2
611,2
612,28
613,24
614,8
615,8
616,8
617,14
618,14
619,6
620,13
621,34
622,24
623,22
624,16
625,6
626,6
627,23
628,2
629,23
630,28
631,7
632,13
633,2
634,27
635,18
636,25
637,32
638,19
639,15
640,22
641,32
642,3
643,6
644,33
645,27
646,29
647,3
648,32
649,12
650,2
651,27
652,11
653,13
654,9
655,5
656,5
657,5
658,28
659,34
660,12
661,32
662,2
663,8
664,32
665,30
666,15
667,8
668,28
669,4
670,9
671,29
672,2
673,27
674,8
675,32
676,31
677,12
678,32
679,33
680,34
681,34
682,7
683,21
684,7
685,8
686,25
687,32
688,6
689,5
690,31
691,28
692,20
693,16
694,17
695,23
696,30
697,29
698,1
699,5
700,25
701,20
702,31
703,8
704,8
705,23
706,6
707,6
708,21
709,15
710,4
711,21
712,6
713,4
714,3
715,7
716,28
717,5
718,2
719,5
720,1
721,22
722,24
723,32
724,9
725,22
726,1
727,7
728,6
729,25
730,8
731,13
732,25
733,21
734,1
735,9
736,8
737,10
738,34
739,1
740,30
741,24
742,4
743,2
744,31
745,14
746,30
747,1
748,8
749,32
750,15
751,10
752,7
753,2
754,20
755,15
756,7
757,7
758,31
759,22
760,24
761,8
762,22
763,28
764,13
765,26
766,10
767,2
768,2
769,32
770,8
771,29
772,6
773,32
774,26
775,34
776,1
777,15
778,3
779,17
780,5
781,15
782,19
783,10
784,18
785,13
786,13
787,15
788,26
789,30
790,4
791,10
792,2
793,10
794,26
795,32
796,25
797,30
798,10
799,5
800,6
801,5
802,1
803,11
804,24
805,3
806,10
807,21
808,3
809,7
810,3
811,30
812,26
813,2
814,2
815,2
816,16
817,18
818,32
819,5
820,3
821,11
822,29
823,31
824,3
825,28
826,22
827,28
828,19
829,32
830,19
831,22
832,28
833,11
834,2
835,32
836,17
837,3
838,8
839,7
840,32
841,16
842,28
843,5
844,12
845,21
846,4
847,24
848,29
849,15
850,27
851,12
852,30
853,28
854,6
855,20
856,25
857,32
858,33
859,26
860,7
861,34
862,13
863,6
864,22
865,1
866,31
867,26
868,17
869,26
870,32
871,7
872,20
873,10
874,18
875,19
876,14
877,13
878,24
879,29
880,30
881,30
882,7
883,4
884,6
885,13
886,25
887,3
888,29
889,26
890,9
891,23
892,7
893,4
894,4
895,6
896,29
897,25
898,5
899,9
900,10
901,12
902,32
903,32
904,26
905,4
906,25
907,10
908,6
909,11
910,25
911,10
912,13
913,28
914,29
915,3
916,8
917,9
918,2
919,34
920,29
921,12
922,7
923,2
924,12
925,15
926,10
927,5
928,2
929,2
930,3
931,7
932,14
933,18
934,7
935,12
936,8
937,32
938,8
939,17
940,28
941,32
942,23
943,9
944,3
945,8
946,2
947,1
948,19
949,25
950,24
951,1
952,34
953,20
954,3
955,20
956,1
957,5
958,23
959,5
960,28
961,24
962,9
963,24
964,8
965,23
966,34
967,32
968,23
969,6
970,11
971,7
972,17
