Dataset: cit-HepTh
Vertices: 27769
Edges: 352285
Max K-Core: 37
Runtime (seconds): 0.008000
Memory Usage (MB): 3.76

=== Core Distribution ===
Core	Count	Percentage
1	1676	6.04%
2	1708	6.15%
3	1633	5.88%
4	1572	5.66%
5	1479	5.33%
6	1281	4.61%
7	1501	5.41%
8	1446	5.21%
9	1079	3.89%
10	1117	4.02%
11	1096	3.95%
12	830	2.99%
13	686	2.47%
14	669	2.41%
15	561	2.02%
16	446	1.61%
17	394	1.42%
18	428	1.54%
19	424	1.53%
20	465	1.67%
21	459	1.65%
22	449	1.62%
23	379	1.36%
24	342	1.23%
25	429	1.54%
26	405	1.46%
27	432	1.56%
28	384	1.38%
29	497	1.79%
30	580	2.09%
31	526	1.89%
32	670	2.41%
33	362	1.30%
34	1252	4.51%
35	5	0.02%
36	55	0.20%
37	52	0.19%

=== Top 100 Vertices by Coreness ===
Rank	Vertex_ID	Coreness
1	5518	37
2	5891	37
3	6180	37
4	6386	37
5	6471	37
6	6473	37
7	6512	37
8	6516	37
9	6538	37
10	6545	37
11	6549	37
12	6586	37
13	6596	37
14	6647	37
15	6649	37
16	6660	37
17	6691	37
18	6699	37
19	6705	37
20	6729	37
21	6748	37
22	6789	37
23	6791	37
24	6809	37
25	6815	37
26	6817	37
27	6837	37
28	6838	37
29	6840	37
30	6860	37
31	6867	37
32	6887	37
33	6975	37
34	7003	37
35	7025	37
36	7061	37
37	7095	37
38	7153	37
39	7174	37
40	7193	37
41	7216	37
42	7280	37
43	7339	37
44	7352	37
45	7376	37
46	7384	37
47	7404	37
48	7423	37
49	7455	37
50	7679	37
51	7811	37
52	8868	37
53	7645	36
54	7742	36
55	7963	36
56	8220	36
57	8224	36
58	8234	36
59	8524	36
60	8535	36
61	8569	36
62	8623	36
63	8624	36
64	8664	36
65	8673	36
66	8703	36
67	8711	36
68	8746	36
69	8763	36
70	8769	36
71	8775	36
72	8792	36
73	8814	36
74	8860	36
75	8879	36
76	8892	36
77	8922	36
78	8932	36
79	8940	36
80	8944	36
81	8946	36
82	8955	36
83	8958	36
84	8970	36
85	8974	36
86	8984	36
87	8998	36
88	9005	36
89	9039	36
90	9048	36
91	9051	36
92	9063	36
93	9089	36
94	9178	36
95	9197	36
96	9217	36
97	9237	36
98	9317	36
99	9377	36
100	9440	36
