Dataset: citeseer
Vertices: 3264
Edges: 4536
Max K-Core: 7
Runtime (seconds): 0.000000
Memory Usage (MB): 0.16

=== Core Distribution ===
Core	Count	Percentage
1	1664	50.98%
2	1036	31.74%
3	361	11.06%
4	133	4.07%
5	42	1.29%
6	10	0.31%
7	18	0.55%

=== Top 100 Vertices by Coreness ===
Rank	Vertex_ID	Coreness
1	190	7
2	289	7
3	291	7
4	371	7
5	1558	7
6	2041	7
7	2218	7
8	2517	7
9	2630	7
10	2708	7
11	3036	7
12	3060	7
13	3062	7
14	3063	7
15	3064	7
16	3065	7
17	3066	7
18	3102	7
19	181	6
20	1352	6
21	1973	6
22	2039	6
23	2070	6
24	2134	6
25	2507	6
26	2907	6
27	3087	6
28	3222	6
29	36	5
30	151	5
31	196	5
32	199	5
33	484	5
34	652	5
35	848	5
36	892	5
37	1177	5
38	1214	5
39	1289	5
40	1343	5
41	1351	5
42	1474	5
43	1563	5
44	1580	5
45	1643	5
46	1788	5
47	1793	5
48	1978	5
49	2059	5
50	2127	5
51	2197	5
52	2209	5
53	2307	5
54	2360	5
55	2362	5
56	2502	5
57	2537	5
58	2554	5
59	2555	5
60	2641	5
61	2686	5
62	2689	5
63	2691	5
64	2862	5
65	2912	5
66	2930	5
67	2979	5
68	3075	5
69	3134	5
70	3153	5
71	3	4
72	7	4
73	18	4
74	32	4
75	175	4
76	179	4
77	306	4
78	308	4
79	356	4
80	363	4
81	400	4
82	479	4
83	480	4
84	481	4
85	482	4
86	490	4
87	491	4
88	492	4
89	493	4
90	494	4
91	498	4
92	500	4
93	502	4
94	509	4
95	555	4
96	558	4
97	623	4
98	684	4
99	689	4
100	711	4
