Dataset: cora
Vertices: 2708
Edges: 5278
Max K-Core: 4
Runtime (seconds): 0.000000
Memory Usage (MB): 0.14

=== Core Distribution ===
Core	Count	Percentage
1	572	21.12%
2	879	32.46%
3	1083	39.99%
4	174	6.43%

=== Top 100 Vertices by Coreness ===
Rank	Vertex_ID	Coreness
1	1	4
2	3	4
3	4	4
4	5	4
5	7	4
6	10	4
7	14	4
8	28	4
9	29	4
10	30	4
11	51	4
12	53	4
13	54	4
14	55	4
15	56	4
16	69	4
17	72	4
18	88	4
19	92	4
20	103	4
21	112	4
22	114	4
23	115	4
24	116	4
25	118	4
26	119	4
27	121	4
28	122	4
29	123	4
30	124	4
31	127	4
32	128	4
33	149	4
34	150	4
35	166	4
36	174	4
37	183	4
38	201	4
39	205	4
40	206	4
41	208	4
42	209	4
43	220	4
44	227	4
45	228	4
46	229	4
47	237	4
48	241	4
49	242	4
50	243	4
51	259	4
52	270	4
53	271	4
54	272	4
55	273	4
56	296	4
57	335	4
58	337	4
59	341	4
60	342	4
61	355	4
62	356	4
63	357	4
64	358	4
65	376	4
66	382	4
67	389	4
68	391	4
69	415	4
70	421	4
71	422	4
72	423	4
73	425	4
74	428	4
75	433	4
76	454	4
77	463	4
78	464	4
79	465	4
80	490	4
81	491	4
82	492	4
83	493	4
84	526	4
85	553	4
86	569	4
87	614	4
88	615	4
89	616	4
90	652	4
91	653	4
92	654	4
93	657	4
94	676	4
95	695	4
96	700	4
97	729	4
98	757	4
99	813	4
100	826	4
