Dataset,Vertices,Edges,MaxCore,Runtime_sec,Memory_MB,AvgDegree,Density
cit-DBLP,12592,49621,12,0.003000,0.86,7.8814,6.259513e-04
cit-HepTh,27769,352285,37,0.005000,3.76,25.3725,9.137330e-04
citeseer,3264,4536,7,0.000000,0.16,2.7794,8.517964e-04
cora,2708,5278,4,0.000000,0.14,3.8981,1.440000e-03
cit-DBLP,12592,49621,12,0.002000,0.86,7.8814,6.259513e-04
cit-HepTh,27769,352285,37,0.007000,3.76,25.3725,9.137330e-04
citeseer,3264,4536,7,0.000000,0.16,2.7794,8.517964e-04
cora,2708,5278,4,0.000000,0.14,3.8981,1.440000e-03
cit-DBLP,12592,49621,12,0.002000,0.86,7.8814,6.259513e-04
cit-HepTh,27769,352285,37,0.009000,3.76,25.3725,9.137330e-04
citeseer,3264,4536,7,0.000000,0.16,2.7794,8.517964e-04
cora,2708,5278,4,0.000000,0.14,3.8981,1.440000e-03
cit-DBLP,12592,49621,12,0.002000,0.86,7.8814,6.259513e-04
cit-HepTh,27769,352285,37,0.007000,3.76,25.3725,9.137330e-04
citeseer,3264,4536,7,0.000000,0.16,2.7794,8.517964e-04
cora,2708,5278,4,0.000000,0.14,3.8981,1.440000e-03
cit-DBLP,12592,49621,12,0.002000,0.86,7.8814,6.259513e-04
cit-HepTh,27769,352285,37,0.009000,3.76,25.3725,9.137330e-04
citeseer,3264,4536,7,0.000000,0.16,2.7794,8.517964e-04
cora,2708,5278,4,0.000000,0.14,3.8981,1.440000e-03
cit-DBLP,12592,49621,12,0.003000,0.86,7.8814,6.259513e-04
cit-HepTh,27769,352285,37,0.007000,3.76,25.3725,9.137330e-04
citeseer,3264,4536,7,0.000000,0.16,2.7794,8.517964e-04
cora,2708,5278,4,0.000000,0.14,3.8981,1.440000e-03
cit-DBLP,12592,49621,12,0.002000,0.86,7.8814,6.259513e-04
cit-HepTh,27769,352285,37,0.007000,3.76,25.3725,9.137330e-04
citeseer,3264,4536,7,0.000000,0.16,2.7794,8.517964e-04
cora,2708,5278,4,0.000000,0.14,3.8981,1.440000e-03
cit-DBLP,12592,49621,12,0.000000,0.86,7.8814,6.259513e-04
cit-HepTh,27769,352285,37,0.006000,3.76,25.3725,9.137330e-04
citeseer,3264,4536,7,0.000000,0.16,2.7794,8.517964e-04
cora,2708,5278,4,0.000000,0.14,3.8981,1.440000e-03
cit-DBLP,12592,49621,12,0.003000,0.86,7.8814,6.259513e-04
cit-HepTh,27769,352285,37,0.006000,3.76,25.3725,9.137330e-04
citeseer,3264,4536,7,0.000000,0.16,2.7794,8.517964e-04
cora,2708,5278,4,0.000000,0.14,3.8981,1.440000e-03
cit-DBLP,12592,49621,12,0.002000,0.86,7.8814,6.259513e-04
cit-HepTh,27769,352285,37,0.022000,3.76,25.3725,9.137330e-04
citeseer,3264,4536,7,0.000000,0.16,2.7794,8.517964e-04
cora,2708,5278,4,0.000000,0.14,3.8981,1.440000e-03
cit-DBLP,12592,49621,12,0.004000,0.86,7.8814,6.259513e-04
cit-HepTh,27769,352285,37,0.010000,3.76,25.3725,9.137330e-04
citeseer,3264,4536,7,0.000000,0.16,2.7794,8.517964e-04
cora,2708,5278,4,0.000000,0.14,3.8981,1.440000e-03
cit-DBLP,12592,49621,12,0.003000,0.86,7.8814,6.259513e-04
cit-HepTh,27769,352285,37,0.010000,3.76,25.3725,9.137330e-04
citeseer,3264,4536,7,0.000000,0.16,2.7794,8.517964e-04
cora,2708,5278,4,0.000000,0.14,3.8981,1.440000e-03
cit-DBLP,12592,49621,12,0.003000,0.86,7.8814,6.259513e-04
cit-HepTh,27769,352285,37,0.008000,3.76,25.3725,9.137330e-04
citeseer,3264,4536,7,0.000000,0.16,2.7794,8.517964e-04
cora,2708,5278,4,0.000000,0.14,3.8981,1.440000e-03
