Dataset: cliques_20x10
Vertices: 200
Edges: 950
Max K-Core: 9
Runtime (seconds): 0.000000
Memory Usage (MB): 0.01

=== Core Distribution ===
Core	Count	Percentage
9	200	100.00%

=== Top 100 Vertices by Coreness ===
Rank	Vertex_ID	Coreness
1	1	9
2	2	9
3	3	9
4	4	9
5	5	9
6	6	9
7	7	9
8	8	9
9	9	9
10	10	9
11	11	9
12	12	9
13	13	9
14	14	9
15	15	9
16	16	9
17	17	9
18	18	9
19	19	9
20	20	9
21	21	9
22	22	9
23	23	9
24	24	9
25	25	9
26	26	9
27	27	9
28	28	9
29	29	9
30	30	9
31	31	9
32	32	9
33	33	9
34	34	9
35	35	9
36	36	9
37	37	9
38	38	9
39	39	9
40	40	9
41	41	9
42	42	9
43	43	9
44	44	9
45	45	9
46	46	9
47	47	9
48	48	9
49	49	9
50	50	9
51	51	9
52	52	9
53	53	9
54	54	9
55	55	9
56	56	9
57	57	9
58	58	9
59	59	9
60	60	9
61	61	9
62	62	9
63	63	9
64	64	9
65	65	9
66	66	9
67	67	9
68	68	9
69	69	9
70	70	9
71	71	9
72	72	9
73	73	9
74	74	9
75	75	9
76	76	9
77	77	9
78	78	9
79	79	9
80	80	9
81	81	9
82	82	9
83	83	9
84	84	9
85	85	9
86	86	9
87	87	9
88	88	9
89	89	9
90	90	9
91	91	9
92	92	9
93	93	9
94	94	9
95	95	9
96	96	9
97	97	9
98	98	9
99	99	9
100	100	9
