Dataset: er_100_dense
Vertices: 100
Edges: 982
Max K-Core: 14
Runtime (seconds): 0.000000
Memory Usage (MB): 0.01

=== Core Distribution ===
Core	Count	Percentage
10	2	2.00%
11	1	1.00%
12	1	1.00%
13	10	10.00%
14	86	86.00%

=== Top 100 Vertices by Coreness ===
Rank	Vertex_ID	Coreness
1	1	14
2	2	14
3	3	14
4	4	14
5	5	14
6	6	14
7	7	14
8	8	14
9	9	14
10	10	14
11	11	14
12	12	14
13	13	14
14	14	14
15	15	14
16	16	14
17	18	14
18	19	14
19	20	14
20	21	14
21	22	14
22	23	14
23	24	14
24	25	14
25	26	14
26	27	14
27	28	14
28	29	14
29	30	14
30	31	14
31	33	14
32	34	14
33	35	14
34	36	14
35	37	14
36	39	14
37	40	14
38	43	14
39	44	14
40	45	14
41	46	14
42	47	14
43	48	14
44	49	14
45	50	14
46	51	14
47	52	14
48	54	14
49	55	14
50	56	14
51	57	14
52	58	14
53	59	14
54	60	14
55	61	14
56	62	14
57	63	14
58	64	14
59	65	14
60	66	14
61	67	14
62	68	14
63	69	14
64	70	14
65	72	14
66	73	14
67	74	14
68	76	14
69	77	14
70	78	14
71	79	14
72	80	14
73	81	14
74	82	14
75	83	14
76	84	14
77	86	14
78	87	14
79	89	14
80	91	14
81	94	14
82	95	14
83	96	14
84	97	14
85	98	14
86	100	14
87	17	13
88	32	13
89	38	13
90	41	13
91	53	13
92	88	13
93	90	13
94	92	13
95	93	13
96	99	13
97	75	12
98	71	11
99	42	10
100	85	10
