Node,CoreNumber
1,4
2,4
3,3
4,3
5,4
6,2
7,4
8,3
9,4
10,4
11,4
12,3
13,4
14,4
15,4
16,4
17,3
18,1
19,3
20,4
21,3
22,4
23,4
24,4
25,3
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,2
34,4
35,2
36,4
37,4
38,4
39,4
40,4
41,4
42,4
43,3
44,3
45,4
46,2
47,4
48,1
49,4
50,4
51,4
52,4
53,2
54,2
55,4
56,4
57,4
58,3
59,0
60,1
61,3
62,4
63,2
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,3
76,4
77,1
78,2
79,4
80,4
81,4
82,3
83,4
84,4
85,4
86,2
87,2
88,1
89,4
90,4
91,4
92,4
93,3
94,4
95,4
96,4
97,3
98,4
99,2
100,1
