Dataset: er_100_sparse
Vertices: 100
Edges: 249
Max K-Core: 3
Runtime (seconds): 0.000000
Memory Usage (MB): 0.01

=== Core Distribution ===
Core	Count	Percentage
1	1	1.00%
2	14	14.00%
3	85	85.00%

=== Top 100 Vertices by Coreness ===
Rank	Vertex_ID	Coreness
1	1	3
2	2	3
3	3	3
4	5	3
5	6	3
6	8	3
7	9	3
8	11	3
9	12	3
10	13	3
11	14	3
12	17	3
13	19	3
14	20	3
15	21	3
16	22	3
17	23	3
18	24	3
19	26	3
20	27	3
21	28	3
22	29	3
23	30	3
24	31	3
25	32	3
26	33	3
27	34	3
28	36	3
29	38	3
30	39	3
31	40	3
32	41	3
33	42	3
34	43	3
35	44	3
36	45	3
37	46	3
38	47	3
39	48	3
40	49	3
41	50	3
42	51	3
43	52	3
44	53	3
45	54	3
46	55	3
47	56	3
48	57	3
49	58	3
50	59	3
51	61	3
52	62	3
53	63	3
54	64	3
55	66	3
56	67	3
57	68	3
58	69	3
59	70	3
60	71	3
61	72	3
62	73	3
63	74	3
64	75	3
65	77	3
66	78	3
67	79	3
68	80	3
69	81	3
70	82	3
71	84	3
72	85	3
73	86	3
74	87	3
75	88	3
76	89	3
77	90	3
78	91	3
79	92	3
80	94	3
81	95	3
82	97	3
83	98	3
84	99	3
85	100	3
86	4	2
87	7	2
88	10	2
89	15	2
90	18	2
91	25	2
92	35	2
93	37	2
94	60	2
95	65	2
96	76	2
97	83	2
98	93	2
99	96	2
100	16	1
