Node,CoreNumber
1,7
2,6
3,7
4,7
5,5
6,6
7,6
8,7
9,7
10,6
11,6
12,7
13,7
14,7
15,7
16,7
17,4
18,7
19,5
20,7
21,6
22,6
23,7
24,6
25,7
26,7
27,5
28,7
29,6
30,6
31,7
32,7
33,6
34,7
35,7
36,7
37,6
38,7
39,6
40,7
41,6
42,7
43,4
44,7
45,7
46,7
47,7
48,7
49,7
50,7
51,7
52,7
53,7
54,6
55,7
56,7
57,7
58,7
59,5
60,7
61,7
62,4
63,7
64,4
65,6
66,7
67,7
68,7
69,4
70,7
71,7
72,7
73,7
74,7
75,6
76,6
77,7
78,7
79,6
80,7
81,7
82,7
83,5
84,6
85,7
86,7
87,6
88,7
89,7
90,7
91,6
92,6
93,7
94,7
95,7
96,4
97,7
98,5
99,7
100,6
101,7
102,7
103,7
104,7
105,6
106,7
107,6
108,7
109,7
110,7
111,7
112,6
113,7
114,6
115,7
116,6
117,6
118,6
119,7
120,6
121,7
122,7
123,7
124,7
125,6
126,7
127,6
128,7
129,7
130,7
131,7
132,7
133,6
134,7
135,6
136,7
137,7
138,6
139,7
140,7
141,7
142,7
143,6
144,7
145,7
146,5
147,7
148,7
149,7
150,7
151,7
152,7
153,7
154,7
155,4
156,7
157,7
158,7
159,7
160,7
161,7
162,7
163,7
164,7
165,7
166,7
167,7
168,5
169,7
170,7
171,7
172,7
173,6
174,7
175,7
176,7
177,7
178,3
179,7
180,7
181,7
182,6
183,7
184,5
185,6
186,7
187,7
188,7
189,6
190,7
191,7
192,6
193,7
194,7
195,7
196,6
197,6
198,7
199,7
200,7
201,7
202,7
203,5
204,6
205,7
206,5
207,5
208,7
209,7
210,6
211,7
212,7
213,7
214,7
215,7
216,7
217,7
218,7
219,7
220,6
221,7
222,6
223,7
224,7
225,7
226,7
227,7
228,7
229,6
230,6
231,5
232,7
233,7
234,6
235,7
236,7
237,7
238,7
239,7
240,7
241,5
242,7
243,7
244,6
245,7
246,6
247,6
248,7
249,7
250,7
251,6
252,7
253,7
254,7
255,7
256,7
257,5
258,7
259,7
260,6
261,6
262,7
263,7
264,7
265,6
266,7
267,7
268,7
269,7
270,7
271,7
272,7
273,7
274,7
275,7
276,7
277,6
278,7
279,7
280,6
281,7
282,7
283,7
284,7
285,7
286,7
287,7
288,7
289,7
290,7
291,7
292,7
293,7
294,7
295,7
296,7
297,7
298,7
299,6
300,7
301,7
302,7
303,7
304,7
305,7
306,7
307,7
308,7
309,7
310,7
311,6
312,7
313,7
314,7
315,6
316,5
317,6
318,7
319,6
320,5
321,7
322,6
323,7
324,5
