Dataset: plc_1k_m3_p01
Vertices: 1000
Edges: 2990
Max K-Core: 3
Runtime (seconds): 0.000000
Memory Usage (MB): 0.06

=== Core Distribution ===
Core	Count	Percentage
2	1	0.10%
3	999	99.90%

=== Top 100 Vertices by Coreness ===
Rank	Vertex_ID	Coreness
1	1	3
2	2	3
3	3	3
4	4	3
5	5	3
6	6	3
7	7	3
8	8	3
9	9	3
10	10	3
11	11	3
12	12	3
13	13	3
14	14	3
15	15	3
16	16	3
17	17	3
18	18	3
19	19	3
20	20	3
21	21	3
22	22	3
23	23	3
24	24	3
25	25	3
26	26	3
27	27	3
28	28	3
29	29	3
30	31	3
31	32	3
32	33	3
33	34	3
34	35	3
35	36	3
36	37	3
37	38	3
38	39	3
39	40	3
40	41	3
41	42	3
42	43	3
43	44	3
44	45	3
45	46	3
46	47	3
47	48	3
48	49	3
49	50	3
50	51	3
51	52	3
52	53	3
53	54	3
54	55	3
55	56	3
56	57	3
57	58	3
58	59	3
59	60	3
60	61	3
61	62	3
62	63	3
63	64	3
64	65	3
65	66	3
66	67	3
67	68	3
68	69	3
69	70	3
70	71	3
71	72	3
72	73	3
73	74	3
74	75	3
75	76	3
76	77	3
77	78	3
78	79	3
79	80	3
80	81	3
81	82	3
82	83	3
83	84	3
84	85	3
85	86	3
86	87	3
87	88	3
88	89	3
89	90	3
90	91	3
91	92	3
92	93	3
93	94	3
94	95	3
95	96	3
96	97	3
97	98	3
98	99	3
99	100	3
100	101	3
