Dataset,Vertices,Edges,MaxCore,Runtime_sec,Memory_MB,AvgDegree,Density
verify_complete_7,7,21,6,0.000000,0.00,6.0000,1.000000e+00
verify_cycle_6,6,6,2,0.000000,0.00,2.0000,4.000000e-01
verify_known_structure,20,35,5,0.000000,0.00,3.5000,1.842105e-01
verify_path_5,5,4,1,0.000000,0.00,1.6000,4.000000e-01
verify_star_9,9,8,1,0.000000,0.00,1.7778,2.222222e-01
er_1000_dense,1000,9910,14,0.000000,0.11,19.8200,1.983984e-02
er_1000_sparse,1000,2542,3,0.000000,0.06,5.0840,5.089089e-03
er_100_dense,100,980,14,0.000000,0.01,19.6000,1.979798e-01
er_100_sparse,100,259,3,0.000000,0.01,5.1800,5.232323e-02
er_10k_dense,10000,49956,7,0.003000,0.76,9.9912,9.992199e-04
er_10k_sparse,10000,25024,3,0.001000,0.57,5.0048,5.005301e-04
er_500_dense,500,6192,17,0.000000,0.07,24.7680,4.963527e-02
er_500_sparse,500,1218,3,0.000000,0.03,4.8720,9.763527e-03
er_5k_dense,5000,37678,10,0.001000,0.48,15.0712,3.014843e-03
er_5k_sparse,5000,12635,3,0.000000,0.29,5.0540,1.011002e-03
ba_1k_m3,1000,2991,3,0.000000,0.06,5.9820,5.987988e-03
ba_1k_m5,1000,4975,5,0.000000,0.08,9.9500,9.959960e-03
ws_1k_k10_p03,1000,5000,7,0.000000,0.08,10.0000,1.001001e-02
ws_1k_k6_p01,1000,3000,4,0.000000,0.06,6.0000,6.006006e-03
er_5k_dense,5000,37678,10,0.001000,0.48,15.0712,3.014843e-03
er_5k_sparse,5000,12635,3,0.000000,0.29,5.0540,1.011002e-03
er_10k_dense,10000,49956,7,0.003000,0.76,9.9912,9.992199e-04
er_10k_sparse,10000,25024,3,0.002000,0.57,5.0048,5.005301e-04
ba_5k_m3,5000,14991,3,0.000000,0.31,5.9964,1.199520e-03
ba_5k_m5,5000,24975,5,0.001000,0.38,9.9900,1.998400e-03
ba_10k_m3,10000,29991,3,0.002000,0.61,5.9982,5.998800e-04
ws_5k_k6_p01,5000,15000,4,0.000000,0.31,6.0000,1.200240e-03
cliques_10x15,150,1070,14,0.000000,0.01,14.2667,9.574944e-02
cliques_20x10,200,950,9,0.000000,0.01,9.5000,4.773869e-02
cliques_5x20,100,960,19,0.000000,0.01,19.2000,1.939394e-01
plc_1k_m3_p01,1000,2991,3,0.000000,0.06,5.9820,5.987988e-03
plc_5k_m4_p02,5000,19983,4,0.000000,0.34,7.9932,1.598960e-03
verify_complete_7,7,21,6,0.000000,0.00,6.0000,1.000000e+00
verify_cycle_6,6,6,2,0.000000,0.00,2.0000,4.000000e-01
verify_known_structure,20,35,5,0.000000,0.00,3.5000,1.842105e-01
verify_path_5,5,4,1,0.000000,0.00,1.6000,4.000000e-01
verify_star_9,9,8,1,0.000000,0.00,1.7778,2.222222e-01
er_1000_dense,1000,9865,14,0.000000,0.11,19.7300,1.974975e-02
er_1000_sparse,1000,2492,3,0.000000,0.06,4.9840,4.988989e-03
er_100_dense,100,1046,15,0.000000,0.01,20.9200,2.113131e-01
er_100_sparse,100,253,4,0.000000,0.01,5.0600,5.111111e-02
er_10k_dense,10000,49722,7,0.001000,0.76,9.9444,9.945395e-04
er_10k_sparse,10000,24850,3,0.001000,0.57,4.9700,4.970497e-04
er_500_dense,500,6364,18,0.000000,0.07,25.4560,5.101403e-02
er_500_sparse,500,1280,4,0.000000,0.03,5.1200,1.026052e-02
er_5k_dense,5000,37714,10,0.001000,0.48,15.0856,3.017724e-03
er_5k_sparse,5000,12660,3,0.000000,0.29,5.0640,1.013003e-03
ba_1k_m3,1000,2991,3,0.000000,0.06,5.9820,5.987988e-03
ba_1k_m5,1000,4975,5,0.000000,0.08,9.9500,9.959960e-03
ws_1k_k10_p03,1000,5000,7,0.000000,0.08,10.0000,1.001001e-02
ws_1k_k6_p01,1000,3000,4,0.000000,0.06,6.0000,6.006006e-03
er_5k_dense,5000,37714,10,0.001000,0.48,15.0856,3.017724e-03
er_5k_sparse,5000,12660,3,0.000000,0.29,5.0640,1.013003e-03
er_10k_dense,10000,49722,7,0.002000,0.76,9.9444,9.945395e-04
er_10k_sparse,10000,24850,3,0.001000,0.57,4.9700,4.970497e-04
ba_5k_m3,5000,14991,3,0.000000,0.31,5.9964,1.199520e-03
ba_5k_m5,5000,24975,5,0.001000,0.38,9.9900,1.998400e-03
ba_10k_m3,10000,29991,3,0.001000,0.61,5.9982,5.998800e-04
ws_5k_k6_p01,5000,15000,4,0.000000,0.31,6.0000,1.200240e-03
cliques_10x15,150,1070,14,0.000000,0.01,14.2667,9.574944e-02
cliques_20x10,200,950,9,0.000000,0.01,9.5000,4.773869e-02
cliques_5x20,100,960,19,0.000000,0.01,19.2000,1.939394e-01
plc_1k_m3_p01,1000,2991,3,0.000000,0.06,5.9820,5.987988e-03
plc_5k_m4_p02,5000,19979,4,0.000000,0.34,7.9916,1.598640e-03
verify_complete_7,7,21,6,0.000000,0.00,6.0000,1.000000e+00
verify_cycle_6,6,6,2,0.000000,0.00,2.0000,4.000000e-01
verify_known_structure,20,35,5,0.000000,0.00,3.5000,1.842105e-01
verify_path_5,5,4,1,0.000000,0.00,1.6000,4.000000e-01
verify_star_9,9,8,1,0.000000,0.00,1.7778,2.222222e-01
er_1000_dense,1000,10027,14,0.000000,0.11,20.0540,2.007407e-02
er_1000_sparse,1000,2515,3,0.000000,0.06,5.0300,5.035035e-03
er_100_dense,100,970,14,0.000000,0.01,19.4000,1.959596e-01
er_100_sparse,100,242,3,0.000000,0.01,4.8400,4.888889e-02
er_10k_dense,10000,50338,7,0.001000,0.77,10.0676,1.006861e-03
er_10k_sparse,10000,25236,3,0.001000,0.57,5.0472,5.047705e-04
er_500_dense,500,6277,18,0.000000,0.07,25.1080,5.031663e-02
er_500_sparse,500,1291,4,0.000000,0.03,5.1640,1.034870e-02
er_5k_dense,5000,37512,10,0.001000,0.48,15.0048,3.001560e-03
er_5k_sparse,5000,12440,3,0.000000,0.29,4.9760,9.953991e-04
ba_1k_m3,1000,2991,3,0.000000,0.06,5.9820,5.987988e-03
ba_1k_m5,1000,4975,5,0.000000,0.08,9.9500,9.959960e-03
ws_1k_k10_p03,1000,5000,7,0.000000,0.08,10.0000,1.001001e-02
ws_1k_k6_p01,1000,3000,4,0.000000,0.06,6.0000,6.006006e-03
er_5k_dense,5000,37512,10,0.001000,0.48,15.0048,3.001560e-03
er_5k_sparse,5000,12440,3,0.000000,0.29,4.9760,9.953991e-04
er_10k_dense,10000,50338,7,0.002000,0.77,10.0676,1.006861e-03
er_10k_sparse,10000,25236,3,0.001000,0.57,5.0472,5.047705e-04
ba_5k_m3,5000,14991,3,0.000000,0.31,5.9964,1.199520e-03
ba_5k_m5,5000,24975,5,0.000000,0.38,9.9900,1.998400e-03
ba_10k_m3,10000,29991,3,0.001000,0.61,5.9982,5.998800e-04
ws_5k_k6_p01,5000,15000,4,0.000000,0.31,6.0000,1.200240e-03
cliques_10x15,150,1070,14,0.000000,0.01,14.2667,9.574944e-02
cliques_20x10,200,950,9,0.000000,0.01,9.5000,4.773869e-02
cliques_5x20,100,960,19,0.000000,0.01,19.2000,1.939394e-01
plc_1k_m3_p01,1000,2990,3,0.000000,0.06,5.9800,5.985986e-03
plc_5k_m4_p02,5000,19982,4,0.000000,0.34,7.9928,1.598880e-03
verify_complete_7,7,21,6,0.000000,0.00,6.0000,1.000000e+00
verify_cycle_6,6,6,2,0.000000,0.00,2.0000,4.000000e-01
verify_known_structure,20,35,5,0.000000,0.00,3.5000,1.842105e-01
verify_path_5,5,4,1,0.000000,0.00,1.6000,4.000000e-01
verify_star_9,9,8,1,0.000000,0.00,1.7778,2.222222e-01
er_1000_dense,1000,10077,14,0.000000,0.12,20.1540,2.017417e-02
er_1000_sparse,1000,2489,3,0.000000,0.06,4.9780,4.982983e-03
er_100_dense,100,995,14,0.000000,0.01,19.9000,2.010101e-01
er_100_sparse,100,229,3,0.000000,0.01,4.5800,4.626263e-02
er_10k_dense,10000,50010,7,0.001000,0.76,10.0020,1.000300e-03
er_10k_sparse,10000,24872,3,0.001000,0.57,4.9744,4.974897e-04
er_500_dense,500,6266,18,0.000000,0.07,25.0640,5.022846e-02
er_500_sparse,500,1240,3,0.000000,0.03,4.9600,9.939880e-03
er_5k_dense,5000,37526,10,0.001000,0.48,15.0104,3.002681e-03
er_5k_sparse,5000,12652,3,0.000000,0.29,5.0608,1.012362e-03
ba_1k_m3,1000,2991,3,0.000000,0.06,5.9820,5.987988e-03
ba_1k_m5,1000,4975,5,0.000000,0.08,9.9500,9.959960e-03
ws_1k_k10_p03,1000,5000,7,0.000000,0.08,10.0000,1.001001e-02
ws_1k_k6_p01,1000,3000,4,0.000000,0.06,6.0000,6.006006e-03
er_5k_dense,5000,37526,10,0.001000,0.48,15.0104,3.002681e-03
er_5k_sparse,5000,12652,3,0.000000,0.29,5.0608,1.012362e-03
er_10k_dense,10000,50010,7,0.002000,0.76,10.0020,1.000300e-03
er_10k_sparse,10000,24872,3,0.001000,0.57,4.9744,4.974897e-04
ba_5k_m3,5000,14991,3,0.000000,0.31,5.9964,1.199520e-03
ba_5k_m5,5000,24975,5,0.001000,0.38,9.9900,1.998400e-03
ba_10k_m3,10000,29991,3,0.001000,0.61,5.9982,5.998800e-04
ws_5k_k6_p01,5000,15000,4,0.000000,0.31,6.0000,1.200240e-03
cliques_10x15,150,1070,14,0.000000,0.01,14.2667,9.574944e-02
cliques_20x10,200,950,9,0.000000,0.01,9.5000,4.773869e-02
cliques_5x20,100,960,19,0.000000,0.01,19.2000,1.939394e-01
plc_1k_m3_p01,1000,2991,3,0.000000,0.06,5.9820,5.987988e-03
plc_5k_m4_p02,5000,19975,4,0.000000,0.34,7.9900,1.598320e-03
verify_complete_7,7,21,6,0.000000,0.00,6.0000,1.000000e+00
verify_cycle_6,6,6,2,0.000000,0.00,2.0000,4.000000e-01
verify_known_structure,20,35,5,0.000000,0.00,3.5000,1.842105e-01
verify_path_5,5,4,1,0.000000,0.00,1.6000,4.000000e-01
verify_star_9,9,8,1,0.000000,0.00,1.7778,2.222222e-01
er_1000_dense,1000,10045,14,0.000000,0.11,20.0900,2.011011e-02
