Dataset: ws_1k_k10_p03
Vertices: 1000
Edges: 5000
Max K-Core: 7
Runtime (seconds): 0.000000
Memory Usage (MB): 0.08

=== Core Distribution ===
Core	Count	Percentage
6	11	1.10%
7	989	98.90%

=== Top 100 Vertices by Coreness ===
Rank	Vertex_ID	Coreness
1	1	7
2	2	7
3	3	7
4	4	7
5	5	7
6	6	7
7	7	7
8	8	7
9	9	7
10	10	7
11	11	7
12	12	7
13	13	7
14	14	7
15	15	7
16	16	7
17	17	7
18	18	7
19	19	7
20	20	7
21	21	7
22	22	7
23	23	7
24	24	7
25	25	7
26	26	7
27	27	7
28	28	7
29	29	7
30	30	7
31	31	7
32	32	7
33	33	7
34	34	7
35	35	7
36	36	7
37	37	7
38	38	7
39	39	7
40	40	7
41	41	7
42	42	7
43	43	7
44	44	7
45	45	7
46	46	7
47	47	7
48	48	7
49	49	7
50	50	7
51	51	7
52	52	7
53	53	7
54	54	7
55	55	7
56	56	7
57	57	7
58	58	7
59	59	7
60	60	7
61	61	7
62	62	7
63	63	7
64	64	7
65	65	7
66	66	7
67	67	7
68	68	7
69	69	7
70	70	7
71	71	7
72	72	7
73	73	7
74	74	7
75	75	7
76	76	7
77	77	7
78	78	7
79	79	7
80	80	7
81	81	7
82	82	7
83	83	7
84	84	7
85	85	7
86	86	7
87	87	7
88	88	7
89	89	7
90	90	7
91	91	7
92	92	7
93	93	7
94	94	7
95	95	7
96	96	7
97	97	7
98	98	7
99	99	7
100	100	7
