Node,InDegree,OutDegree,TotalDegree
853114,3,1,4
1140231,0,1,1
1139009,0,1,1
824245,1,0,1
815073,1,0,1
1138619,0,1,1
1137140,0,1,1
762980,2,1,3
1136447,0,4,4
756061,3,0,3
1136040,0,1,1
767763,1,3,4
1136634,0,1,1
1136631,0,2,2
753047,6,3,9
752684,1,0,1
1140548,0,1,1
739280,2,0,2
734406,1,0,1
733534,2,0,2
1154230,0,1,1
1134031,0,1,1
688849,1,0,1
688824,1,0,1
687401,1,0,1
684531,1,0,1
682508,1,1,2
675756,2,0,2
1132443,0,4,4
1132073,0,1,1
662250,1,0,1
654519,1,0,1
654339,2,1,3
1131741,0,2,2
1133930,0,1,1
653628,1,0,1
650807,2,0,2
648121,2,1,3
1131420,0,2,2
648112,4,1,5
648106,2,2,4
1131330,0,1,1
646412,1,0,1
646289,1,0,1
645452,1,0,1
645088,2,0,2
644843,2,0,2
644494,2,2,4
1131314,0,2,2
644427,2,0,2
645016,1,4,5
643735,1,0,1
643777,0,1,1
643695,2,0,2
644577,5,2,7
1131334,0,3,3
1131257,0,2,2
1131192,0,1,1
1131189,0,1,1
642930,1,1,2
646334,1,3,4
643485,1,3,4
1131335,0,2,2
1131180,0,1,1
644441,2,1,3
1131258,0,3,3
642621,3,0,3
672071,4,2,6
633031,1,1,2
628458,1,0,1
626999,2,0,2
626531,2,1,3
1154012,0,2,2
1130454,0,2,2
1130080,0,1,1
617575,1,0,1
1153946,0,1,1
610529,1,0,1
1129369,0,1,1
594511,2,0,2
1129040,0,1,1
594039,1,0,1
593209,1,0,1
593104,3,0,3
593248,0,1,1
592996,2,0,2
1128437,0,2,2
593559,1,2,3
1128943,0,4,4
645870,2,1,3
1128201,0,1,1
576362,3,0,3
1131734,0,1,1
608190,2,1,3
593544,1,1,2
561809,3,0,3
1127541,0,1,1
1126315,0,1,1
529165,1,0,1
523010,2,0,2
683360,1,1,2
1125993,0,1,1
521183,3,0,3
646913,2,3,5
577331,1,2,3
1131374,0,3,3
466170,1,0,1
459206,1,0,1
458439,1,0,1
1123093,0,1,1
671052,1,1,2
1132416,0,1,1
430574,1,0,1
416964,1,0,1
416867,1,0,1
1154173,0,1,1
1135115,0,2,2
384428,1,0,1
1119654,0,1,1
582349,1,0,1
376704,1,0,1
375825,1,1,2
375605,1,0,1
400455,1,1,2
368657,1,1,2
367312,2,2,4
360028,1,0,1
348305,1,0,1
325314,1,0,1
321004,1,0,1
318187,1,0,1
1139195,0,1,1
270085,0,1,1
578845,4,1,5
1153784,0,2,2
278394,2,0,2
270600,2,0,2
264556,3,0,3
263482,3,0,3
263069,2,0,2
258259,1,0,1
255628,3,0,3
646357,1,3,4
594011,2,0,2
253762,1,0,1
248431,1,0,1
1121398,0,1,1
245288,1,0,1
578650,3,0,3
238401,1,0,1
235683,5,0,5
689439,0,3,3
235678,3,2,5
630890,1,1,2
307656,2,0,2
12275,0,1,1
1113084,0,1,1
232860,1,0,1
232606,3,0,3
1153195,0,2,2
696343,1,1,2
1133428,0,2,2
1128946,0,2,2
1122304,0,1,1
738941,2,0,2
226698,2,0,2
219976,1,0,1
1112417,0,1,1
219218,1,0,1
1152663,0,1,1
216878,3,0,3
216877,2,0,2
212107,1,0,1
1112071,0,2,2
1128151,0,1,1
815096,1,2,3
1130586,0,1,1
1130568,0,1,1
205196,8,2,10
1114838,0,1,1
202522,1,0,1
853118,1,1,2
643734,1,2,3
199571,1,0,1
198866,2,0,2
377303,1,1,2
1154520,0,1,1
194609,7,0,7
612306,2,2,4
191216,0,1,1
190698,3,0,3
1134346,0,2,2
1129518,0,2,2
1153014,0,2,2
189566,5,0,5
1125906,0,1,1
1110950,0,1,1
650814,1,1,2
1131301,0,4,4
1120084,0,2,2
1110628,0,1,1
180301,1,0,1
179706,1,0,1
1152859,0,1,1
179702,4,0,4
179180,3,0,3
178718,2,0,2
330208,2,0,2
689152,1,3,4
175548,4,0,4
175256,3,0,3
820662,0,2,2
240321,10,0,10
169280,2,0,2
166420,1,0,1
163235,1,0,1
739707,1,1,2
737204,0,1,1
162080,4,2,6
1109830,0,2,2
1128853,0,1,1
159085,2,2,4
1152711,0,3,3
1118017,0,1,1
155158,2,0,2
154047,3,1,4
154023,3,1,4
561613,2,1,3
561595,2,3,5
561593,1,1,2
561568,1,2,3
987197,0,1,1
1120786,0,1,1
1154076,0,4,4
1109208,0,1,1
294126,1,1,2
595063,0,3,3
302545,1,0,1
1136342,0,1,1
1128975,0,3,3
1127810,0,1,1
1131549,0,2,2
143323,5,0,5
141596,1,0,1
166989,3,0,3
608191,1,3,4
503877,3,1,4
917493,0,1,1
1108841,0,1,1
139738,1,0,1
1118286,0,1,1
135798,1,0,1
817774,1,0,1
1135589,0,2,2
135464,5,0,5
134315,1,0,1
134314,2,0,2
134219,4,0,4
164885,1,2,3
134199,3,0,3
563613,2,1,3
133628,1,0,1
133553,2,1,3
131122,1,0,1
907845,0,1,1
1108363,0,2,2
243274,0,1,1
1114364,0,1,1
1128978,0,4,4
126926,2,0,2
